<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SLDE.US,D,20250618,000000,21,21.43,19.11,20.25,11950499,0
SLDE.US,D,20250620,000000,20.25,25.9,19.5,23.3,6588348,0
SLDE.US,D,20250623,000000,22.8,23.43,21.261,22.34,1232287,0
SLDE.US,D,20250624,000000,22.29,22.68,20.2501,21.74,899791,0
SLDE.US,D,20250625,000000,21.54,22.62,20.5425,21.32,3026928,0
SLDE.US,D,20250626,000000,20.81,21.8,20.33,21.1,683027,0
SLDE.US,D,20250627,000000,20.42,22.15,20.35,20.65,1195675,0
SLDE.US,D,20250630,000000,20.52,21.69,19.225,21.66,1786672,0
SLDE.US,D,20250701,000000,21.59,21.6574,20.53,21.01,951508,0
SLDE.US,D,20250702,000000,21.02,21.02,19.76,20.51,901029,0
SLDE.US,D,20250703,000000,20.46,20.8,20.14,20.79,311172,0
SLDE.US,D,20250707,000000,20.42,20.95,19.3,19.47,885425,0
SLDE.US,D,20250708,000000,19.27,19.49,18.5411,19.1,358870,0
SLDE.US,D,20250709,000000,19,19.45,18.32,18.7,377568,0
SLDE.US,D,20250710,000000,18.65,19.2113,17.77,18.97,358434,0
SLDE.US,D,20250711,000000,18.7,19.645,18.424,19.19,359416,0
SLDE.US,D,20250714,000000,18.87,19.95,18.616,19.44,368574,0
SLDE.US,D,20250715,000000,19.45,19.855,18.23,18.53,592250,0
SLDE.US,D,20250716,000000,18.39,19.01,17.3,18.9,779506,0
SLDE.US,D,20250717,000000,19.05,19.14,17.7701,18.45,473106,0
SLDE.US,D,20250718,000000,18.53,19.05,18.21,18.4,317475,0
SLDE.US,D,20250721,000000,18.38,18.75,17.98,18.4,323673,0
