<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RMSG.US,D,20241121,000000,4.51,4.75,3.26,4.19,4946539,0
RMSG.US,D,20241122,000000,3.71,3.8209,3,3.09,313506,0
RMSG.US,D,20241125,000000,3.09,3.09,2.19,2.46,276602,0
RMSG.US,D,20241126,000000,2.28,2.28,1.85,2.16,161048,0
RMSG.US,D,20241127,000000,2.14,2.3,1.7105,1.785,235363,0
RMSG.US,D,20241129,000000,1.72,1.95,1.72,1.85,51871,0
RMSG.US,D,20241202,000000,1.76,1.79,1.62,1.6777,67981,0
RMSG.US,D,20241203,000000,1.62,1.7,1.5105,1.685,40458,0
RMSG.US,D,20241204,000000,1.6999,1.75,1.62,1.63,23125,0
RMSG.US,D,20241205,000000,1.62,1.62,1.375,1.4318,59701,0
RMSG.US,D,20241206,000000,1.42,1.62,1.38,1.5,60798,0
RMSG.US,D,20241209,000000,1.49,1.67,1.4807,1.6537,41244,0
RMSG.US,D,20241210,000000,1.6201,1.7931,1.62,1.74,637420,0
RMSG.US,D,20241211,000000,1.74,2.38,1.6905,2.1,260256,0
RMSG.US,D,20241212,000000,1.97,2,1.7114,1.87,73419,0
RMSG.US,D,20241213,000000,1.7,1.83,1.5301,1.74,108898,0
RMSG.US,D,20241216,000000,1.7001,1.78,1.62,1.67,35861,0
RMSG.US,D,20241217,000000,1.62,1.7,1.53,1.65,23695,0
RMSG.US,D,20241218,000000,1.7019,1.7499,1.56,1.58,36400,0
RMSG.US,D,20241219,000000,1.55,2.15,1.55,2.06,269999,0
RMSG.US,D,20241220,000000,1.92,2.1,1.9,1.97,39269,0
RMSG.US,D,20241223,000000,2.0283,2.3,1.97,2.265,61697,0
RMSG.US,D,20241224,000000,2.29,2.62,2.2,2.41,50942,0
RMSG.US,D,20241226,000000,2.505,2.5759,2.25,2.32,123773,0
RMSG.US,D,20241227,000000,2.38,2.7,2.15,2.2497,105636,0
RMSG.US,D,20241230,000000,2.39,2.48,2.18,2.33,68186,0
RMSG.US,D,20241231,000000,2.26,2.58,2.182,2.55,52130,0
RMSG.US,D,20250102,000000,2.53,2.53,2.35,2.47,31751,0
RMSG.US,D,20250103,000000,2.41,2.4822,2.31,2.43,52143,0
