<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RGTX.US,D,20250401,000000,18.59,20.29,17.97,19.3033,26554,0
RGTX.US,D,20250402,000000,18.42,24.7784,18.41,22.7727,62865,0
RGTX.US,D,20250403,000000,19.82,21.4135,19.82,21.0097,138972,0
RGTX.US,D,20250404,000000,19.06,19.06,14.925,17.4106,135048,0
RGTX.US,D,20250407,000000,15.89,23.56,15.17,21.2417,231841,0
RGTX.US,D,20250408,000000,24.41,24.62,17.75,18.4,141237,0
RGTX.US,D,20250409,000000,19.47,26.4,18.285,26.1637,148212,0
RGTX.US,D,20250410,000000,24.22,28,23.7,26.25,190799,0
RGTX.US,D,20250411,000000,25.9307,26.79,22.64,24.4862,155582,0
RGTX.US,D,20250414,000000,26.24,27.5,23.0001,23.27,48479,0
RGTX.US,D,20250415,000000,23.16,23.5,21.1154,22.01,62993,0
RGTX.US,D,20250416,000000,20.03,20.81,18.8001,20.16,65561,0
RGTX.US,D,20250417,000000,20.38,21.0305,19.3201,20.46,27098,0
RGTX.US,D,20250421,000000,18.88,19.529,17.95,19.37,40446,0
RGTX.US,D,20250422,000000,19.92,21.53,19.5,21.4615,64576,0
RGTX.US,D,20250423,000000,24.245,25.26,23.15,24.3266,85810,0
RGTX.US,D,20250424,000000,25.09,27.322,24.79,25.23,82996,0
RGTX.US,D,20250425,000000,24.31,27.63,23.5,25.5392,103211,0
RGTX.US,D,20250428,000000,26.59,28.59,23.6465,24.7525,82022,0
RGTX.US,D,20250429,000000,24.93,24.93,22.67,22.8194,75019,0
RGTX.US,D,20250430,000000,21.25,22.92,20.36,22.852,54954,0
RGTX.US,D,20250501,000000,23.599,24.6,23.24,24.1253,54231,0
RGTX.US,D,20250502,000000,25.13,33.3635,25.13,32.07,397963,0
RGTX.US,D,20250505,000000,30.18,30.18,25.26,26.32,377504,0
RGTX.US,D,20250506,000000,25.05,26.94,23.7528,26.92,138653,0
RGTX.US,D,20250507,000000,26.33,26.779,23.3851,23.86,366956,0
RGTX.US,D,20250508,000000,27.07,29.9107,24.02,29.37,299710,0
RGTX.US,D,20250509,000000,29.37,31.15,27.8,30.72,330478,0
RGTX.US,D,20250512,000000,37.8,38.9,33.82,36.69,802616,0
RGTX.US,D,20250513,000000,28.25,31.75,25.75,25.76,1124760,0
RGTX.US,D,20250514,000000,27.72,38.99,27.4811,35,1471590,0
RGTX.US,D,20250515,000000,33.4,36.76,32.32,34.4,850479,0
RGTX.US,D,20250516,000000,37.56,40.26,34.27,36.16,1203468,0
RGTX.US,D,20250519,000000,33.95,38.5,32,37.44,746438,0
RGTX.US,D,20250520,000000,40.2,41.41,34,36.55,1209086,0
RGTX.US,D,20250521,000000,36.15,37.5,29.645,30.74,904740,0
RGTX.US,D,20250522,000000,31.23,50.18,30.65,46.98,2810510,0
RGTX.US,D,20250523,000000,41.44,52.49,39.699,47.82,2006207,0
RGTX.US,D,20250527,000000,54.01,56.7,46.2333,49.15,1197195,0
RGTX.US,D,20250528,000000,46.885,51,46.3409,48.8,625593,0
RGTX.US,D,20250529,000000,50.62,52.85,41.18,42.01,768406,0
RGTX.US,D,20250530,000000,37.615,38.98,32.93,35.06,960543,0
RGTX.US,D,20250602,000000,35.92,37.46,33.545,35.88,429226,0
RGTX.US,D,20250603,000000,37.82,39,33.45,34.795,582471,0
RGTX.US,D,20250604,000000,35.01,35.4,32.5,33.41,393013,0
RGTX.US,D,20250605,000000,33.335,33.335,27.2113,28.29,786340,0
RGTX.US,D,20250606,000000,29.7,32.5,28.625,30.12,608225,0
RGTX.US,D,20250609,000000,32.59,32.74,29.15,30.27,643766,0
RGTX.US,D,20250610,000000,31.49,34.51,29.05,29.94,751948,0
RGTX.US,D,20250611,000000,34.94,42.09,33.31,36.51,3336636,0
RGTX.US,D,20250612,000000,37.4,41.64,34.16,34.16,2011937,0
RGTX.US,D,20250613,000000,31.45,33.12,29.69,30.32,1001187,0
RGTX.US,D,20250616,000000,31.38,34.72,30.6138,34.07,1199006,0
RGTX.US,D,20250617,000000,33.72,34.3,29.8122,30.46,766426,0
RGTX.US,D,20250618,000000,31.02,31.74,28.57,29.57,824489,0
RGTX.US,D,20250620,000000,30.54,30.62,27.85,28.18,720546,0
RGTX.US,D,20250623,000000,26.52,27.71,24.27,26.8,856777,0
RGTX.US,D,20250624,000000,29,30.74,28.7,30.04,849086,0
RGTX.US,D,20250625,000000,31.6,32.84,27.76,27.76,591395,0
RGTX.US,D,20250626,000000,28.75,30.06,27.92,28.15,488586,0
RGTX.US,D,20250627,000000,28.94,29.5,26.43,27.96,718514,0
RGTX.US,D,20250630,000000,28.3,32.85,28.2,31.59,988015,0
RGTX.US,D,20250701,000000,30.42,30.8593,28.38,28.93,389723,0
RGTX.US,D,20250702,000000,29.48,37.7785,29.47,37.67,1160873,0
RGTX.US,D,20250703,000000,36.95,39.9289,36.47,39.8,555521,0
RGTX.US,D,20250707,000000,38.51,42.0699,33.6302,41.52,761550,0
RGTX.US,D,20250708,000000,41.99,44.09,38.64,39.36,606503,0
RGTX.US,D,20250709,000000,40.85,42,36.23,40.08,620780,0
RGTX.US,D,20250710,000000,40.08,41,37.27,37.34,370005,0
RGTX.US,D,20250711,000000,36.49,37.34,31.748,32.36,759914,0
RGTX.US,D,20250714,000000,33.1,36.0715,32.3,35.35,511688,0
RGTX.US,D,20250715,000000,36.425,36.71,33.85,35.05,441610,0
RGTX.US,D,20250716,000000,41,57.7301,41,56.32,3240003,0
RGTX.US,D,20250717,000000,53.095,60.35,50.7,60.35,1223370,0
RGTX.US,D,20250718,000000,57.36,61.8142,51.79,60,701294,0
RGTX.US,D,20250721,000000,59.9,61.7,52.38,52.72,643132,0
