<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLTZ.US,D,20250610,000000,16.49,16.81,15.75,16.07,245354,0
PLTZ.US,D,20250611,000000,15.75,15.98,14.5,15.13,530296,0
PLTZ.US,D,20250612,000000,15.34,15.524,15.06,15.4436,253400,0
PLTZ.US,D,20250613,000000,15.89,15.89,14.34,14.9103,681140,0
PLTZ.US,D,20250616,000000,14.39,14.39,13.35,14.1,1002475,0
PLTZ.US,D,20250617,000000,14.08,15.12,14.0305,14.69,701635,0
PLTZ.US,D,20250618,000000,14.295,14.8105,14.275,14.36,276607,0
PLTZ.US,D,20250620,000000,14.11,14.9953,13.9592,14.87,270303,0
PLTZ.US,D,20250623,000000,14.5,15.11,13.83,14.37,605879,0
PLTZ.US,D,20250624,000000,13.99,14.65,13.5436,13.67,538564,0
PLTZ.US,D,20250625,000000,13.42,13.9301,12.8,13.68,801600,0
PLTZ.US,D,20250626,000000,13.28,13.66,12.68,13.41,536877,0
PLTZ.US,D,20250627,000000,13.3,15.97,13.3,15.92,1174307,0
PLTZ.US,D,20250630,000000,14.24,14.9704,14.01,14.61,1331107,0
PLTZ.US,D,20250701,000000,14.91,16.24,14.66,15.84,852878,0
PLTZ.US,D,20250702,000000,15.68,15.9061,15.13,15.44,346090,0
PLTZ.US,D,20250703,000000,14.89,15.37,14.6632,14.94,331855,0
PLTZ.US,D,20250707,000000,14.97,15.4,13.85,13.87,527849,0
PLTZ.US,D,20250708,000000,13.98,14.54,13.76,13.76,311886,0
PLTZ.US,D,20250709,000000,13.87,14.23,13.11,13.11,674456,0
PLTZ.US,D,20250710,000000,13.02,13.7609,12.755,13.22,566000,0
PLTZ.US,D,20250711,000000,13.3,13.3487,12.845,13.28,451260,0
PLTZ.US,D,20250714,000000,13.21,13.21,11.915466,11.98,1400364,0
PLTZ.US,D,20250715,000000,12,12.25,11.76,12.08,781705,0
PLTZ.US,D,20250716,000000,12.02,12.2246,11.6085,11.68,748058,0
PLTZ.US,D,20250717,000000,11.6,11.7,10.9796,11.19,1103863,0
PLTZ.US,D,20250718,000000,11.155,11.52,11.11,11.28,790195,0
PLTZ.US,D,20250721,000000,11.21,11.5804,11.01,11.52,768582,0
