<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LFSC.US,D,20241101,000000,25.31,25.31,25.1155,25.17,10684,0
LFSC.US,D,20241104,000000,25.1,26.4,25.1,26.4,12215,0
LFSC.US,D,20241105,000000,25.19,25.6288,24.5,25.5997,21483,0
LFSC.US,D,20241106,000000,26.25,26.3044,26.22,26.3044,2174,0
LFSC.US,D,20241107,000000,26.64,26.78,26.5855,26.5997,1221,0
LFSC.US,D,20241108,000000,26.54,27.0193,26.54,27.0193,1993,0
LFSC.US,D,20241111,000000,27.72,27.76,27.3074,27.3074,2601,0
LFSC.US,D,20241112,000000,27.37,27.37,26.613,26.613,2962,0
LFSC.US,D,20241113,000000,26.7415,26.7415,26.2486,26.2486,5783,0
LFSC.US,D,20241115,000000,25.6,25.6,24.5909,24.5909,506,0
LFSC.US,D,20241118,000000,24.4499,24.54,24.37,24.4579,1610,0
LFSC.US,D,20241119,000000,24.47,25.0279,24.47,25.0279,2847,0
LFSC.US,D,20241120,000000,25.05,25.2038,25.04,25.2038,4031,0
LFSC.US,D,20241121,000000,25.23,25.55,25.23,25.4353,5125,0
LFSC.US,D,20241122,000000,25.46,25.71,25.46,25.6715,652,0
LFSC.US,D,20241125,000000,26.23,26.23,25.98,25.985,1101,0
LFSC.US,D,20241126,000000,26.01,26.25,26.01,26.1878,7003,0
LFSC.US,D,20241127,000000,26.42,26.54,26.4199,26.5028,1578,0
LFSC.US,D,20241202,000000,26.4436,26.4436,26.3443,26.3443,316,0
LFSC.US,D,20241203,000000,26.01,26.01,25.8665,25.8665,410,0
LFSC.US,D,20241204,000000,26.1,26.34,26.0762,26.22,303,0
LFSC.US,D,20241205,000000,25.77,25.8,25.6726,25.6726,1174,0
LFSC.US,D,20241206,000000,26.08,26.1901,26.08,26.1888,913,0
LFSC.US,D,20241212,000000,25.1,25.1,24.7607,24.7607,1179,0
LFSC.US,D,20241213,000000,24.6765,24.6765,24.51,24.5317,1103,0
LFSC.US,D,20241216,000000,24.7349,24.82,24.7349,24.8056,2201,0
LFSC.US,D,20241217,000000,24.9,24.9,24.78,24.836,387,0
LFSC.US,D,20241218,000000,24.01,24.01,23.6748,23.6748,995,0
LFSC.US,D,20241219,000000,23.875,23.875,23.46,23.5227,2135,0
LFSC.US,D,20241220,000000,23.69,23.7498,23.69,23.7498,1813,0
