<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OUSTZ.US,D,20241224,000000,0.1,0.1067,0.0883,0.0883,29949,0
OUSTZ.US,D,20241226,000000,0.11,0.11,0.08,0.1095,29818,0
OUSTZ.US,D,20241227,000000,0.11,0.12,0.0323,0.09,51780,0
OUSTZ.US,D,20241230,000000,0.09,0.1082,0.09,0.1038,35600,0
OUSTZ.US,D,20241231,000000,0.1,0.13,0.1,0.1064,78452,0
OUSTZ.US,D,20250102,000000,0.1074,0.1225,0.08,0.1139,38660,0
OUSTZ.US,D,20250103,000000,0.11,0.1355,0.11,0.1355,20932,0
OUSTZ.US,D,20250106,000000,0.14,0.1875,0.135,0.1662,59031,0
OUSTZ.US,D,20250107,000000,0.1857,0.1869,0.140001,0.145,163907,0
OUSTZ.US,D,20250108,000000,0.126,0.1485,0.06,0.0694,86129,0
OUSTZ.US,D,20250110,000000,0.0909,0.13,0.0802,0.11,183870,0
OUSTZ.US,D,20250113,000000,0.1,0.11,0.085,0.1,17648,0
OUSTZ.US,D,20250114,000000,0.1089,0.11,0.0881,0.0881,3360,0
OUSTZ.US,D,20250115,000000,0.115,0.115,0.0981,0.099,37697,0
OUSTZ.US,D,20250116,000000,0.099,0.1,0.09,0.0931,54790,0
OUSTZ.US,D,20250117,000000,0.1,0.11,0.09,0.099999,19625,0
OUSTZ.US,D,20250121,000000,0.115,0.115,0.1037,0.109899,929,0
OUSTZ.US,D,20250122,000000,0.1045,0.109,0.1045,0.105,27098,0
OUSTZ.US,D,20250123,000000,0.1089,0.11,0.1089,0.11,3034,0
OUSTZ.US,D,20250128,000000,0.101,0.11,0.0801,0.0801,30783,0
OUSTZ.US,D,20250129,000000,0.0809,0.095,0.08,0.08,22340,0
OUSTZ.US,D,20250130,000000,0.099,0.099,0.0801,0.0801,460,0
OUSTZ.US,D,20250203,000000,0.08,0.08,0.08,0.08,10200,0
OUSTZ.US,D,20250204,000000,0.0751,0.08,0.07,0.08,64711,0
OUSTZ.US,D,20250205,000000,0.09,0.090001,0.08,0.08,33850,0
OUSTZ.US,D,20250206,000000,0.085,0.100001,0.0842,0.0994,15085,0
OUSTZ.US,D,20250207,000000,0.0995,0.1,0.087,0.0939,66355,0
OUSTZ.US,D,20250210,000000,0.087,0.098001,0.087,0.0888,12950,0
OUSTZ.US,D,20250211,000000,0.1,0.1,0.09,0.09,10510,0
OUSTZ.US,D,20250212,000000,0.087,0.09,0.087,0.0899,21030,0
OUSTZ.US,D,20250213,000000,0.087001,0.103472,0.087,0.09,16772,0
OUSTZ.US,D,20250214,000000,0.1009,0.1009,0.087,0.1,7028,0
OUSTZ.US,D,20250218,000000,0.11,0.11,0.09,0.0909,5614,0
OUSTZ.US,D,20250219,000000,0.09,0.0978,0.09,0.09,110865,0
OUSTZ.US,D,20250220,000000,0.09,0.09,0.087,0.087,49782,0
OUSTZ.US,D,20250221,000000,0.09,0.11,0.087,0.087,4050,0
OUSTZ.US,D,20250224,000000,0.0878,0.09,0.087,0.0886,14422,0
OUSTZ.US,D,20250225,000000,0.087,0.0874,0.0841,0.0841,30419,0
OUSTZ.US,D,20250226,000000,0.084,0.09,0.084,0.084,11000,0
OUSTZ.US,D,20250227,000000,0.0848,0.0848,0.0848,0.0848,100,0
OUSTZ.US,D,20250228,000000,0.0848,0.0848,0.08,0.08,1765,0
OUSTZ.US,D,20250303,000000,0.075,0.08,0.075,0.08,10207,0
OUSTZ.US,D,20250304,000000,0.0796,0.08,0.079,0.0791,1689,0
OUSTZ.US,D,20250305,000000,0.075051,0.08,0.075051,0.075051,73650,0
OUSTZ.US,D,20250306,000000,0.08,0.08,0.0701,0.0701,46486,0
