<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SOLZ.US,D,20250320,000000,15.09,15.22,14.61,14.7352,83105,0
SOLZ.US,D,20250321,000000,14.54,14.8647,14.42,14.7527,27851,0
SOLZ.US,D,20250324,000000,16.59,16.71,16.33,16.4489,102459,0
SOLZ.US,D,20250325,000000,16.8,16.89,16.5,16.7032,111810,0
SOLZ.US,D,20250326,000000,16.61,16.61,15.62,15.7901,140437,0
SOLZ.US,D,20250327,000000,15.7301,16.03,15.58,15.93,57426,0
SOLZ.US,D,20250328,000000,15.11,15.11,14.77,14.8149,40777,0
SOLZ.US,D,20250331,000000,14.4,14.6369,14.1702,14.34,58262,0
SOLZ.US,D,20250401,000000,14.59,14.89,14.3,14.56,64043,0
SOLZ.US,D,20250402,000000,14.34,15.06,14.34,15.01,53891,0
SOLZ.US,D,20250403,000000,13.04,13.25,12.831,13.17,239014,0
SOLZ.US,D,20250404,000000,13.15,14.1,13.07,14.04,189079,0
SOLZ.US,D,20250407,000000,11.73,12.7,11.55,12.07,165187,0
SOLZ.US,D,20250408,000000,12.77,12.77,11.8,11.8905,126382,0
SOLZ.US,D,20250409,000000,12.03,13.8,12.03,13.6059,128003,0
SOLZ.US,D,20250410,000000,13,13.0993,12.4973,12.7572,45051,0
SOLZ.US,D,20250411,000000,13.64,13.952,13.56,13.84,73516,0
SOLZ.US,D,20250414,000000,15.35,15.45,14.73,15.08,110180,0
SOLZ.US,D,20250415,000000,15.17,15.37,14.61,14.66,52282,0
SOLZ.US,D,20250416,000000,14.29,15.25,14.29,15.09,40839,0
SOLZ.US,D,20250417,000000,15.32,15.54,14.985,15.2,81935,0
SOLZ.US,D,20250421,000000,15.91,16.0078,15.33,15.61,52169,0
SOLZ.US,D,20250422,000000,16.15,16.66,16.15,16.49,230602,0
SOLZ.US,D,20250423,000000,17.53,17.53,16.9201,17.17,75728,0
SOLZ.US,D,20250424,000000,16.94,17.3,16.86,17.28,152180,0
SOLZ.US,D,20250425,000000,17.41,17.7002,17.1476,17.23,90926,0
SOLZ.US,D,20250428,000000,17.01,17.01,16.53,16.82,112782,0
SOLZ.US,D,20250429,000000,16.75,17.029,16.69,16.96,71811,0
SOLZ.US,D,20250430,000000,16.24,16.55,15.95,16.51,90928,0
SOLZ.US,D,20250501,000000,17.27,17.38,17.03,17.05,125197,0
SOLZ.US,D,20250502,000000,17.09,17.2197,16.75,16.8,113934,0
SOLZ.US,D,20250505,000000,16.35,16.6463,16.23,16.6,72330,0
SOLZ.US,D,20250506,000000,16.04,16.41,16.03,16.41,80889,0
SOLZ.US,D,20250507,000000,16.57,16.69,16.3683,16.47,29239,0
SOLZ.US,D,20250508,000000,17.55,18.4,17.47,18.18,241602,0
SOLZ.US,D,20250509,000000,19.47,19.6589,18.96,19.51,271935,0
