<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IPOD.US,D,20250612,000000,10.09,10.09,10,10.035,49326,0
IPOD.US,D,20250613,000000,10.02,10.02,10.02,10.02,204216,0
IPOD.US,D,20250616,000000,10.03,10.03,10,10,348,0
IPOD.US,D,20250618,000000,10,10.02,10,10.01,97902,0
IPOD.US,D,20250620,000000,10.03,10.05,10.03,10.04,43697,0
IPOD.US,D,20250623,000000,10.04,10.04,10.04,10.04,45602,0
IPOD.US,D,20250624,000000,10.03,10.04,10.03,10.04,41436,0
IPOD.US,D,20250625,000000,10.04,10.04,10.04,10.04,147417,0
IPOD.US,D,20250626,000000,10.04,10.04,10.03,10.035,21290,0
IPOD.US,D,20250627,000000,10.045,10.045,10.04,10.04,1306,0
IPOD.US,D,20250630,000000,10.05,10.06,10.035,10.05,53507,0
IPOD.US,D,20250702,000000,10.04,10.04,10.04,10.04,220500,0
IPOD.US,D,20250703,000000,10.05,10.05,10.04,10.05,209675,0
IPOD.US,D,20250707,000000,10.05,10.05,10.05,10.05,5014,0
IPOD.US,D,20250708,000000,10.05,10.05,10.0477,10.0477,6431,0
IPOD.US,D,20250709,000000,10.04,10.05,10.04,10.05,5415,0
IPOD.US,D,20250710,000000,10.05,10.06,10.05,10.06,226,0
IPOD.US,D,20250711,000000,10.05,10.06,10.05,10.05,59270,0
IPOD.US,D,20250714,000000,10.06,10.06,10.06,10.06,806,0
IPOD.US,D,20250716,000000,10.0596,10.06,10.0596,10.06,1146,0
IPOD.US,D,20250717,000000,10.05,10.05,10.045,10.045,1008,0
IPOD.US,D,20250718,000000,10.03,10.03,10.03,10.03,210,0
IPOD.US,D,20250721,000000,10.06,10.06,10.06,10.06,2905,0
