<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PFAI.US,D,20250422,000000,4,4.4,3.24,3.35,916015,0
PFAI.US,D,20250423,000000,3.25,3.45,3.1,3.21,182827,0
PFAI.US,D,20250424,000000,3.15,3.33,3,3.115,95853,0
PFAI.US,D,20250425,000000,3.07,3.2276,3.02,3.02,43052,0
PFAI.US,D,20250428,000000,3.02,3.161,3.02,3.11,11223,0
PFAI.US,D,20250429,000000,3.04,3.16,3.04,3.11,18797,0
PFAI.US,D,20250430,000000,3.15,3.2406,3.04,3.18,29848,0
PFAI.US,D,20250501,000000,3.15,3.24,3.15,3.15,5813,0
PFAI.US,D,20250502,000000,3.2,3.25,3.18,3.18,8874,0
PFAI.US,D,20250505,000000,3.1116,3.1273,3.03,3.0426,10359,0
PFAI.US,D,20250506,000000,3.03,3.188,3.03,3.1,17531,0
PFAI.US,D,20250507,000000,3.07,3.25,3.05,3.17,19645,0
PFAI.US,D,20250508,000000,3.25,3.53,3.1673,3.28,55854,0
PFAI.US,D,20250509,000000,3.1001,3.5,3.1,3.1289,16341,0
PFAI.US,D,20250512,000000,3.19,3.29,3.1,3.1676,9446,0
PFAI.US,D,20250513,000000,3.25,3.3428,3.05,3.22,19892,0
PFAI.US,D,20250514,000000,3.06,3.34,3.06,3.17,7449,0
PFAI.US,D,20250515,000000,3.08,3.24,3.05,3.23,12073,0
PFAI.US,D,20250516,000000,3.05,3.39,3.05,3.23,5893,0
PFAI.US,D,20250519,000000,3.21,3.3,3.0834,3.0834,1084,0
PFAI.US,D,20250520,000000,3.0501,3.28,3.05,3.1449,8120,0
PFAI.US,D,20250521,000000,3.09,3.25,3.05,3.05,4901,0
PFAI.US,D,20250522,000000,3.13,3.4,3.1122,3.1601,32885,0
PFAI.US,D,20250523,000000,3.16,3.39,3.03,3.25,30760,0
PFAI.US,D,20250527,000000,3.2,3.2948,3.05,3.12,14685,0
PFAI.US,D,20250528,000000,3.1,3.155,2.58,2.58,22712,0
PFAI.US,D,20250529,000000,2.6241,2.685,1.7001,2.13,103777,0
PFAI.US,D,20250530,000000,2.1501,2.3,2.025,2.3,39676,0
PFAI.US,D,20250602,000000,2.18,2.7,2.07,2.7,25727,0
PFAI.US,D,20250603,000000,2.8,2.8257,2.04,2.65,22647,0
PFAI.US,D,20250604,000000,2.66,2.88,2.61,2.7105,11066,0
PFAI.US,D,20250605,000000,2.31,2.9,2.31,2.7,9593,0
PFAI.US,D,20250606,000000,2.5354,2.7515,2.5354,2.65,5065,0
PFAI.US,D,20250609,000000,2.68,2.81,2.51,2.735,15425,0
PFAI.US,D,20250610,000000,2.67,2.805,2.615,2.65,6168,0
PFAI.US,D,20250611,000000,2.51,2.89,2.51,2.63,14639,0
PFAI.US,D,20250612,000000,2.6408,2.831,2.4,2.6908,25232,0
PFAI.US,D,20250613,000000,2.61,2.7,2.5,2.51,2621,0
PFAI.US,D,20250616,000000,2.52,2.7,1.9,2.33,29756,0
PFAI.US,D,20250617,000000,2.41,2.585,2.1629,2.32,21214,0
PFAI.US,D,20250618,000000,2.38,2.4619,2.37,2.42,5035,0
PFAI.US,D,20250620,000000,2.43,2.525,2.43,2.525,2995,0
PFAI.US,D,20250623,000000,2.5007,2.68,2.5007,2.6799,4104,0
PFAI.US,D,20250624,000000,2.66,2.66,2.2,2.31,29546,0
PFAI.US,D,20250625,000000,2.31,2.49,2.15,2.36,15774,0
PFAI.US,D,20250626,000000,2.36,2.37,2.125,2.25,15199,0
PFAI.US,D,20250627,000000,2.39,2.47,2.18,2.32,12771,0
PFAI.US,D,20250630,000000,2.1,2.61,2.1,2.3671,23580,0
PFAI.US,D,20250701,000000,2.38,2.58,2.3486,2.43,5898,0
PFAI.US,D,20250702,000000,1.89,1.92,1.5733,1.79,3726632,0
PFAI.US,D,20250703,000000,1.68,1.732,1.5801,1.64,99641,0
PFAI.US,D,20250707,000000,1.59,1.77,1.55,1.76,74079,0
PFAI.US,D,20250708,000000,1.66,1.9,1.6301,1.79,143840,0
PFAI.US,D,20250709,000000,1.77,1.8777,1.66,1.72,35992,0
PFAI.US,D,20250710,000000,1.68,1.9,1.6506,1.78,50146,0
PFAI.US,D,20250711,000000,1.73,1.8291,1.7,1.71,11784,0
PFAI.US,D,20250714,000000,1.71,1.8199,1.63,1.7153,69093,0
PFAI.US,D,20250715,000000,1.73,1.8497,1.7011,1.8,58343,0
PFAI.US,D,20250716,000000,1.91,2.17,1.8207,2.11,72114,0
PFAI.US,D,20250717,000000,2.1195,2.2524,1.99,2.02,100069,0
PFAI.US,D,20250718,000000,1.8,2,1.7496,1.805,97742,0
PFAI.US,D,20250721,000000,1.8,2.11,1.74,1.75,87294,0
