<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MDCXW.US,D,20241115,000000,0.48,0.48,0.4,0.45,17047,0
MDCXW.US,D,20241118,000000,0.44,0.5,0.43,0.5,1968,0
MDCXW.US,D,20241119,000000,0.73,0.75,0.43,0.43,11450,0
MDCXW.US,D,20241120,000000,0.42,0.4502,0.4101,0.42,3452,0
MDCXW.US,D,20241121,000000,0.747,0.747,0.5,0.5,4071,0
MDCXW.US,D,20241125,000000,0.47,0.48,0.41,0.465,7508,0
MDCXW.US,D,20241126,000000,0.49,0.5,0.49,0.5,520,0
MDCXW.US,D,20241127,000000,0.4965,0.5865,0.4965,0.5865,3388,0
MDCXW.US,D,20241129,000000,0.6224,0.7624,0.6224,0.7524,2229,0
MDCXW.US,D,20241203,000000,0.7,0.7,0.5,0.605,6049,0
MDCXW.US,D,20241204,000000,0.4,0.605,0.35,0.595,11932,0
MDCXW.US,D,20241209,000000,0.585,0.585,0.472999,0.585,1816,0
MDCXW.US,D,20241211,000000,0.61,0.725001,0.6,0.6,2420,0
MDCXW.US,D,20241212,000000,0.6,0.76,0.6,0.74,1908,0
MDCXW.US,D,20241216,000000,0.649,0.66,0.649,0.66,3437,0
MDCXW.US,D,20241217,000000,0.78,0.88,0.6688,0.72,26905,0
MDCXW.US,D,20241218,000000,0.879,0.879,0.79,0.79,2991,0
MDCXW.US,D,20241220,000000,0.8,0.96,0.8,0.96,534,0
MDCXW.US,D,20241223,000000,0.88,0.88,0.88,0.88,268,0
MDCXW.US,D,20241226,000000,0.88,0.88,0.88,0.88,100,0
MDCXW.US,D,20241230,000000,0.8,0.8717,0.8,0.8717,6993,0
MDCXW.US,D,20250103,000000,0.85,0.85,0.85,0.85,114,0
MDCXW.US,D,20250106,000000,0.96,1.25,0.86,0.86,17144,0
MDCXW.US,D,20250107,000000,1.75,1.75,0.9,1.45,12179,0
MDCXW.US,D,20250108,000000,1.29,1.51,1.05,1.2,13289,0
MDCXW.US,D,20250110,000000,1.4,1.4,1.05,1.05,6095,0
