<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ORCX.US,D,20250211,000000,21.3,21.48,20.96,21.17,26122,0
ORCX.US,D,20250212,000000,20.47,20.47,19.58,19.98,30349,0
ORCX.US,D,20250213,000000,20.13,20.34,19.88,20.34,16195,0
ORCX.US,D,20250214,000000,20.28,20.41,20.01,20.29,14064,0
ORCX.US,D,20250218,000000,20.87,22.06,20.8138,21.65,28454,0
ORCX.US,D,20250219,000000,21.32,22,20.694,21.95,21596,0
ORCX.US,D,20250220,000000,21.45,21.45,20.3807,20.7,14336,0
ORCX.US,D,20250221,000000,20.65,20.65,18.7,18.76,15436,0
ORCX.US,D,20250224,000000,20.19,20.19,18.215,19.23,67244,0
ORCX.US,D,20250225,000000,19.02,19.26,18.0657,18.9,51393,0
ORCX.US,D,20250226,000000,19.47,20.05,19.14,19.82,17937,0
ORCX.US,D,20250227,000000,19.94,19.94,18.01,18.01,10125,0
ORCX.US,D,20250228,000000,17.62,18.28,17.1401,18.28,8742,0
ORCX.US,D,20250303,000000,18.35,18.35,17.17,17.39,12030,0
ORCX.US,D,20250304,000000,16.53,16.805,15.64,16.39,13812,0
ORCX.US,D,20250305,000000,16.47,17.318,16.395,17.26,15093,0
ORCX.US,D,20250306,000000,15.95,16.18,14.765,14.98,19634,0
ORCX.US,D,20250307,000000,14.89,15.91,14.45,15.76,22121,0
ORCX.US,D,20250310,000000,14.78,15.11,14.1487,14.52,122329,0
ORCX.US,D,20250311,000000,13.22,13.7445,12.3601,13.55,63135,0
ORCX.US,D,20250312,000000,14.09,15.089,13.72,14.83,36548,0
ORCX.US,D,20250313,000000,14.349,14.4,14,14.18,16073,0
ORCX.US,D,20250314,000000,14.51,14.66,14.4303,14.49,22319,0
ORCX.US,D,20250317,000000,14.86,15.6455,14.86,15.41,63000,0
ORCX.US,D,20250318,000000,15.05,15.05,14.39,14.49,14242,0
ORCX.US,D,20250319,000000,14.64,15.263,14.62,15.06,8853,0
ORCX.US,D,20250320,000000,14.83,15.379,14.73,15.03,12887,0
ORCX.US,D,20250321,000000,14.64,15.2,14.64,15,14952,0
ORCX.US,D,20250324,000000,15.9,15.9,15.37,15.49,30933,0
ORCX.US,D,20250325,000000,15.52,15.52,15.1501,15.3,22811,0
ORCX.US,D,20250326,000000,15.0083,15.0083,13.85,14.08,12350,0
ORCX.US,D,20250327,000000,13.71,13.83,13.651,13.69,9819,0
ORCX.US,D,20250328,000000,13.35,13.46,12.42,12.77,23074,0
ORCX.US,D,20250331,000000,12.1,12.6,12.0675,12.56,14739,0
ORCX.US,D,20250401,000000,12.58,13.105,12.38,12.94,10338,0
ORCX.US,D,20250402,000000,12.77,14,12.77,13.64,53091,0
ORCX.US,D,20250403,000000,12.715,12.759,11.92,12.04,37612,0
ORCX.US,D,20250404,000000,11.37,11.37,10.3701,10.46,58684,0
ORCX.US,D,20250407,000000,9.26,11.22,9.05,10.15,47634,0
ORCX.US,D,20250408,000000,11.25,11.25,9.5,9.79,34739,0
ORCX.US,D,20250409,000000,10.23,12.32,10.19,12.16,94956,0
ORCX.US,D,20250410,000000,11.52,11.52,10.98,11.19,11252,0
ORCX.US,D,20250411,000000,10.97,10.9895,10.63,10.9669,6045,0
ORCX.US,D,20250414,000000,11.5614,11.58,11.2,11.35,27341,0
ORCX.US,D,20250415,000000,11.6,11.67,11.24,11.24,22127,0
ORCX.US,D,20250416,000000,10.73,10.8647,10.31,10.52,9870,0
ORCX.US,D,20250417,000000,10.655,10.655,10.39,10.39,576,0
ORCX.US,D,20250421,000000,9.85,9.9399,9.21,9.36,15617,0
ORCX.US,D,20250422,000000,9.64,10.049,9.6,9.88,8741,0
ORCX.US,D,20250423,000000,11.38,11.3999,10.7254,10.7519,12682,0
ORCX.US,D,20250424,000000,11.1811,11.75,11.05,11.7456,27067,0
ORCX.US,D,20250425,000000,11.7873,11.97,11.6773,11.97,15974,0
ORCX.US,D,20250428,000000,12.18,12.23,11.79,12.14,29560,0
ORCX.US,D,20250429,000000,12.32,12.34,12.0268,12.34,30626,0
ORCX.US,D,20250430,000000,11.6,12.32,11.45,12.32,35894,0
ORCX.US,D,20250501,000000,13.4,13.61,13.03,13.03,45714,0
ORCX.US,D,20250502,000000,13.8108,14.4,13.8108,14.0075,37430,0
ORCX.US,D,20250505,000000,13.7,13.9444,13.6,13.7229,12487,0
ORCX.US,D,20250506,000000,13.22,13.56,13.1001,13.4764,8322,0
ORCX.US,D,20250507,000000,13.72,13.77,13.4,13.7166,10255,0
ORCX.US,D,20250508,000000,13.96,14.1462,13.59,13.96,15276,0
ORCX.US,D,20250509,000000,13.94,14.15,13.75,13.93,9887,0
ORCX.US,D,20250512,000000,14.6228,15.165,14.6228,15.04,20770,0
ORCX.US,D,20250513,000000,15.24,16.2924,15.24,16.2,33758,0
ORCX.US,D,20250514,000000,16.48,16.48,15.89,16.34,46626,0
ORCX.US,D,20250515,000000,16.15,16.15,15.46,15.65,28172,0
ORCX.US,D,20250516,000000,15.87,15.87,15.4,15.78,13846,0
ORCX.US,D,20250519,000000,15.5,16.23,15.5,15.62,17846,0
ORCX.US,D,20250520,000000,15.4,15.73,15.141,15.73,33405,0
ORCX.US,D,20250521,000000,15.4,15.79,14.961,15.13,9572,0
ORCX.US,D,20250522,000000,14.97,15.46,14.97,15.14,8379,0
ORCX.US,D,20250523,000000,14.59,15.0877,14.58,14.92,21555,0
ORCX.US,D,20250527,000000,15.4619,16.01,15.4619,15.98,26217,0
ORCX.US,D,20250528,000000,16.0193,16.41,15.82,16.35,38573,0
ORCX.US,D,20250529,000000,16.83,16.83,15.86,16.14,34765,0
ORCX.US,D,20250530,000000,15.99,16.67,15.93,16.66,27592,0
ORCX.US,D,20250602,000000,16.3701,16.93,16.06,16.93,28707,0
ORCX.US,D,20250603,000000,17.01,17.36,16.86,17.3,38575,0
ORCX.US,D,20250604,000000,17.45,17.569,17.01,17.17,36226,0
ORCX.US,D,20250605,000000,17.35,17.979,17.3406,17.71,22152,0
ORCX.US,D,20250606,000000,18.3,18.47,18.08,18.31,54647,0
ORCX.US,D,20250609,000000,18.45,19.34,18.28,19.08,109449,0
ORCX.US,D,20250610,000000,19.18,19.18,18.27,19.08,136294,0
ORCX.US,D,20250611,000000,19.1,19.49,18.76,19.2,373001,0
ORCX.US,D,20250612,000000,21.59,24.35,21.44,23.79,539956,0
ORCX.US,D,20250613,000000,24.24,27.73,24.24,27.29,624703,0
ORCX.US,D,20250616,000000,26.79,27.31,26.09,26.34,392079,0
ORCX.US,D,20250617,000000,26.18,27.519,25.43,25.57,196995,0
ORCX.US,D,20250618,000000,26.38,27.1998,25.95,26.25,161958,0
ORCX.US,D,20250620,000000,26.99,26.99,24.6606,24.89,96841,0
ORCX.US,D,20250623,000000,24.75,25.33,24.17,25.26,217492,0
ORCX.US,D,20250624,000000,25.99,27.57,25.75,27.2,178037,0
ORCX.US,D,20250625,000000,27.2,27.51,25.96,26.16,154625,0
ORCX.US,D,20250626,000000,26.32,27.01,26,26.58,130718,0
ORCX.US,D,20250627,000000,26.93,27.07,25.87,25.95,128349,0
ORCX.US,D,20250630,000000,30.25,30.3,27.97,28.01,697735,0
ORCX.US,D,20250701,000000,28.11,29.22,27.44,28.2,1065576,0
ORCX.US,D,20250702,000000,27.92,31.0786,27.545,30.96,376351,0
ORCX.US,D,20250703,000000,31.75,32.989,31.13,32.79,291268,0
ORCX.US,D,20250707,000000,32.41,32.41,30.6859,31.36,340093,0
ORCX.US,D,20250708,000000,32.79,33.799,31.5746,31.98,463660,0
ORCX.US,D,20250709,000000,32.43,32.47,31.23,32.31,244409,0
ORCX.US,D,20250710,000000,33.51,33.61,31.845,32.21,395122,0
ORCX.US,D,20250711,000000,31.51,31.8198,30.49,30.98,292209,0
ORCX.US,D,20250714,000000,30.72,30.96,29.461,30.6,325292,0
ORCX.US,D,20250715,000000,31.52,32.27,30.66,32.11,282705,0
ORCX.US,D,20250716,000000,32.36,33.819,31.61,33.8,278051,0
ORCX.US,D,20250717,000000,34.19,36.6185,34.05,35.99,499468,0
ORCX.US,D,20250718,000000,35.75,36.109,34.79,34.89,307865,0
ORCX.US,D,20250721,000000,35.18,35.18,34.29,34.3,170524,0
