<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LDRX.US,D,20250505,000000,26.94,26.94,26.8993,26.8993,117,0
LDRX.US,D,20250508,000000,27.15,27.2,27.018,27.018,216,0
LDRX.US,D,20250512,000000,27.7174,27.7648,27.64,27.7648,501,0
LDRX.US,D,20250514,000000,27.66,27.7202,27.66,27.7202,7300,0
LDRX.US,D,20250523,000000,27.385,27.4067,27.385,27.4067,181,0
LDRX.US,D,20250527,000000,27.74,27.8906,27.73,27.8906,11757,0
LDRX.US,D,20250528,000000,27.82,27.82,27.724,27.724,143,0
LDRX.US,D,20250602,000000,27.68,27.8824,27.68,27.8824,1938,0
LDRX.US,D,20250605,000000,27.9335,27.9752,27.9335,27.9752,4780,0
LDRX.US,D,20250609,000000,28.34,28.4,28.34,28.3571,800,0
LDRX.US,D,20250611,000000,28.53,28.59,28.4314,28.4314,832,0
LDRX.US,D,20250613,000000,28.54,28.54,28.5003,28.5003,3058,0
LDRX.US,D,20250617,000000,28.4124,28.4124,28.4009,28.4009,252,0
LDRX.US,D,20250620,000000,28.615,28.615,28.36,28.4203,587,0
LDRX.US,D,20250623,000000,28.4924,28.6802,28.4924,28.6802,301,0
LDRX.US,D,20250625,000000,28.97,28.97,28.94,28.9529,452,0
LDRX.US,D,20250626,000000,29,29.092,29,29.092,100,0
LDRX.US,D,20250627,000000,29.3,29.3,29.11,29.2056,280,0
LDRX.US,D,20250630,000000,29.4267,29.4267,29.32,29.4064,5078,0
LDRX.US,D,20250701,000000,29.62,29.63,29.61,29.617,349,0
LDRX.US,D,20250702,000000,29.55,29.7859,29.55,29.7859,4282,0
LDRX.US,D,20250707,000000,29.949,29.949,29.7933,29.7933,400,0
LDRX.US,D,20250708,000000,29.86,29.86,29.8157,29.8157,112,0
LDRX.US,D,20250709,000000,29.925,29.9616,29.79,29.9616,594,0
LDRX.US,D,20250710,000000,30.1,30.1,30.0424,30.0424,140,0
LDRX.US,D,20250711,000000,29.88,29.88,29.8569,29.8569,170,0
LDRX.US,D,20250714,000000,29.7878,29.9174,29.7878,29.9174,200,0
LDRX.US,D,20250715,000000,29.74,29.75,29.72,29.72,11946,0
LDRX.US,D,20250716,000000,29.88,29.88,29.73,29.8755,5411,0
LDRX.US,D,20250717,000000,29.95,30.0005,29.95,30.0005,1744,0
LDRX.US,D,20250718,000000,29.93,29.9301,29.89,29.91,2384,0
LDRX.US,D,20250721,000000,30.06,30.06,30.06,30.06,108,0
