<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QQDN.US,D,20250612,000000,40.0936,40.32,40.04,40.0936,674,0
QQDN.US,D,20250613,000000,40.979,41.14,40.76,41.1201,497,0
QQDN.US,D,20250616,000000,39.78,39.9474,39.78,39.9474,3450,0
QQDN.US,D,20250617,000000,40.13,40.58,40.13,40.5386,1192,0
QQDN.US,D,20250624,000000,38.9825,39.0536,38.9825,39.0536,230,0
QQDN.US,D,20250625,000000,38.4868,38.4868,38.4484,38.4484,338,0
QQDN.US,D,20250626,000000,38.06,38.06,37.39,37.5129,2609,0
QQDN.US,D,20250627,000000,36.58,37.5,36.58,36.9343,652,0
QQDN.US,D,20250630,000000,36.26,37.12,36.26,36.6174,1112,0
QQDN.US,D,20250701,000000,37.1801,38.04,36.9539,37.7813,1309,0
QQDN.US,D,20250702,000000,37.42,37.42,36.7424,36.7988,1331,0
QQDN.US,D,20250703,000000,36.2501,36.2501,35.945,36.0146,1785,0
QQDN.US,D,20250707,000000,36.52,36.7884,36.51,36.7884,2998,0
QQDN.US,D,20250708,000000,36.88,36.9231,36.88,36.9231,364,0
QQDN.US,D,20250709,000000,35.75,36.0925,35.75,35.9363,464,0
QQDN.US,D,20250710,000000,35.69,35.7329,35.69,35.7329,578,0
QQDN.US,D,20250711,000000,36.3,36.3,35.5444,35.5444,1033,0
QQDN.US,D,20250715,000000,34.72,34.8559,34.52,34.8559,1593,0
QQDN.US,D,20250716,000000,34.87,34.87,34.8128,34.8128,160,0
QQDN.US,D,20250717,000000,34.3396,34.3725,34.19,34.3725,1098,0
QQDN.US,D,20250718,000000,34.065,34.2184,34.065,34.2184,1597,0
QQDN.US,D,20250721,000000,33.85,33.85,33.57,33.64,2069,0
