<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NAMI.US,D,20241206,000000,4.25,7.75,4.01,4.44,2687919,0
NAMI.US,D,20241209,000000,4,4.72,3.9,4.32,532623,0
NAMI.US,D,20241210,000000,4.3,4.98,4.01,4.21,261779,0
NAMI.US,D,20241211,000000,4.3,4.53,4.2,4.22,140493,0
NAMI.US,D,20241212,000000,4.22,4.35,4.01,4.02,142792,0
NAMI.US,D,20241213,000000,4.07,4.1899,3.75,3.92,176352,0
NAMI.US,D,20241216,000000,3.86,4.5,3.7821,4.2,105443,0
NAMI.US,D,20241217,000000,3.95,5.17,3.95,5.17,218168,0
NAMI.US,D,20241218,000000,5.28,6,5.03,5.31,250750,0
NAMI.US,D,20241219,000000,5.25,5.26,4.2,4.43,190495,0
NAMI.US,D,20241220,000000,4.25,5.16,4.25,4.56,143377,0
NAMI.US,D,20241223,000000,4.63,4.93,4.3925,4.49,46138,0
NAMI.US,D,20241224,000000,4.81,4.81,4.33,4.371,22340,0
NAMI.US,D,20241226,000000,4.5,4.75,4.35,4.38,25488,0
NAMI.US,D,20241227,000000,4.38,4.58,4.001,4.18,39453,0
NAMI.US,D,20241230,000000,4.06,4.36,3.7,4.3,89605,0
NAMI.US,D,20241231,000000,4.33,4.8,4.08,4.08,72963,0
NAMI.US,D,20250102,000000,4.21,4.27,4,4,151607,0
NAMI.US,D,20250103,000000,4.12,4.4,3.87,4.025,91552,0
NAMI.US,D,20250106,000000,4.05,4.2493,3.97,4.07,86258,0
NAMI.US,D,20250107,000000,4.08,4.58,4.04,4.08,132182,0
NAMI.US,D,20250108,000000,4.15,4.33,3.93,3.97,254002,0
NAMI.US,D,20250110,000000,3.992,4.46,3.992,4.12,68738,0
NAMI.US,D,20250113,000000,4.12,4.38,4,4.19,56782,0
NAMI.US,D,20250114,000000,4.4,4.799,4.3,4.721,137099,0
NAMI.US,D,20250115,000000,4.76,4.8,4.1,4.22,97854,0
NAMI.US,D,20250116,000000,4.16,4.28,3.88,4.02,56427,0
NAMI.US,D,20250117,000000,4.1,4.19,3.4,3.79,84690,0
NAMI.US,D,20250121,000000,3.76,3.8,3.32,3.33,199789,0
NAMI.US,D,20250122,000000,3.35,3.36,2.255,2.49,206167,0
NAMI.US,D,20250123,000000,2.52,2.9799,2.52,2.86,143964,0
NAMI.US,D,20250124,000000,2.88,3.36,2.88,3.1,30040,0
NAMI.US,D,20250127,000000,3.11,3.44,2.7001,2.95,195854,0
NAMI.US,D,20250128,000000,2.92,3.15,2.695,2.9,58284,0
NAMI.US,D,20250129,000000,2.9999,3,2.61,2.61,26887,0
NAMI.US,D,20250130,000000,2.81,3.0136,2.53,2.55,74225,0
NAMI.US,D,20250131,000000,2.63,2.81,2.56,2.56,9274,0
NAMI.US,D,20250203,000000,2.5,2.55,2.35,2.41,22690,0
NAMI.US,D,20250204,000000,2.4901,2.89,2.4901,2.868,53123,0
NAMI.US,D,20250205,000000,2.98,3.1761,2.684,2.908,104926,0
NAMI.US,D,20250206,000000,2.9073,3.31,2.85,3.1392,21698,0
NAMI.US,D,20250207,000000,3.22,3.96,3.22,3.96,79384,0
NAMI.US,D,20250210,000000,4.13,4.2,3.4085,3.7,66225,0
NAMI.US,D,20250211,000000,3.87,3.905,3.17,3.53,48373,0
NAMI.US,D,20250212,000000,3.63,4.1998,3.09,3.22,190026,0
NAMI.US,D,20250213,000000,3.35,3.97,3.35,3.75,89346,0
NAMI.US,D,20250214,000000,3.76,4.12,3.76,4.05,59932,0
NAMI.US,D,20250218,000000,4.41,4.608,3.96,3.98,79426,0
NAMI.US,D,20250219,000000,3.98,4.2749,2.61,3.62,438584,0
NAMI.US,D,20250220,000000,3.68,3.7,2.91,3.35,183986,0
NAMI.US,D,20250221,000000,3.59,3.63,3.12,3.25,34479,0
NAMI.US,D,20250224,000000,3.1,3.1455,2.7,2.83,109857,0
NAMI.US,D,20250225,000000,3.1762,3.29,2.7,3.06,74577,0
NAMI.US,D,20250226,000000,3.22,3.475,2.83,2.9,146684,0
NAMI.US,D,20250227,000000,2.9,3.1,2.7115,2.9,62476,0
NAMI.US,D,20250228,000000,2.94,2.94,2.6004,2.61,62986,0
NAMI.US,D,20250303,000000,2.86,3.9,2.82,3.27,1209490,0
NAMI.US,D,20250304,000000,3.18,3.35,2.96,3.2,173882,0
NAMI.US,D,20250305,000000,3.18,3.69,3.1,3.51,168678,0
NAMI.US,D,20250306,000000,3.61,3.9,3.55,3.68,92783,0
NAMI.US,D,20250307,000000,3.4016,3.58,3.27,3.4,34616,0
NAMI.US,D,20250310,000000,3.23,3.23,2.75,2.75,54502,0
NAMI.US,D,20250311,000000,2.7404,3.22,2.7404,3.012,161645,0
NAMI.US,D,20250312,000000,3.1107,3.1107,2.8,2.81,39171,0
NAMI.US,D,20250313,000000,2.84,2.911,2.6815,2.89,17632,0
NAMI.US,D,20250314,000000,2.91,2.92,2.68,2.768,41931,0
NAMI.US,D,20250317,000000,2.8013,3.192,2.8,3.192,25057,0
NAMI.US,D,20250318,000000,3.2,3.4979,3.06,3.2,66365,0
NAMI.US,D,20250319,000000,3.21,3.26,3.0181,3.04,11870,0
NAMI.US,D,20250320,000000,2.91,3.04,2.7751,2.83,8974,0
NAMI.US,D,20250321,000000,3.015,3.09,2.81,2.908,25280,0
NAMI.US,D,20250324,000000,2.84,3.0638,2.8,2.895,9929,0
NAMI.US,D,20250325,000000,3.0226,3.0226,2.8,2.91,49983,0
NAMI.US,D,20250326,000000,3.0572,3.13,2.85,3,26081,0
NAMI.US,D,20250327,000000,2.89,2.99,2.83,2.94,29432,0
NAMI.US,D,20250328,000000,2.82,2.92,2.7,2.912,47087,0
NAMI.US,D,20250331,000000,2.92,3.2,2.775,2.78,491685,0
NAMI.US,D,20250401,000000,2.78,2.91,2.44,2.5,71381,0
NAMI.US,D,20250402,000000,2.6591,2.95,2.65,2.95,52625,0
NAMI.US,D,20250403,000000,2.94,2.95,2.62,2.85,42015,0
NAMI.US,D,20250404,000000,2.57,2.9788,2.52,2.92,39906,0
NAMI.US,D,20250407,000000,2.74,2.96,2.74,2.943,33449,0
NAMI.US,D,20250408,000000,2.9,3.11,2.845,2.85,76529,0
NAMI.US,D,20250409,000000,2.95,3.13,2.81,3.01,80050,0
NAMI.US,D,20250410,000000,3,3.13,2.7,2.7,17612,0
NAMI.US,D,20250411,000000,2.97,3,2.76,2.87,28137,0
NAMI.US,D,20250414,000000,2.98,3.05,2.8386,3.03,16908,0
NAMI.US,D,20250415,000000,2.8515,3,2.83,2.9,9179,0
NAMI.US,D,20250416,000000,2.95,3.105,2.81,3.09,23346,0
NAMI.US,D,20250417,000000,3.06,3.6,3.06,3.59,74923,0
NAMI.US,D,20250421,000000,3.5,3.8573,3.4,3.42,95450,0
NAMI.US,D,20250422,000000,3.46,3.59,3.19,3.54,92560,0
NAMI.US,D,20250423,000000,3.6,3.85,3.4518,3.8,119542,0
NAMI.US,D,20250424,000000,3.8,4.59,3.13,3.18,354973,0
NAMI.US,D,20250425,000000,3,3.4,2.94,2.94,187805,0
NAMI.US,D,20250428,000000,2.94,3.1,2.88,3.1,16155,0
