<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SDHI.US,D,20250605,000000,10.06,10.08,10.06,10.06,17154,0
SDHI.US,D,20250606,000000,10.08,10.08,10.07,10.07,150193,0
SDHI.US,D,20250609,000000,10.1,10.14,10.075,10.14,371142,0
SDHI.US,D,20250610,000000,10.14,10.14,10.14,10.14,687,0
SDHI.US,D,20250612,000000,10.13,10.14,10.12,10.12,141754,0
SDHI.US,D,20250613,000000,10.12,10.12,10.12,10.12,31004,0
SDHI.US,D,20250616,000000,10.13,10.13,10.12,10.12,552661,0
SDHI.US,D,20250617,000000,10.1,10.12,10.1,10.12,3591,0
SDHI.US,D,20250618,000000,10.12,10.12,10.1,10.1,186061,0
SDHI.US,D,20250620,000000,10.11,10.12,10.11,10.11,9527,0
SDHI.US,D,20250623,000000,10.12,10.12,10.12,10.12,272,0
SDHI.US,D,20250624,000000,10.1297,10.1297,10.11,10.11,201742,0
SDHI.US,D,20250625,000000,10.1,10.1,10.1,10.1,12141,0
SDHI.US,D,20250626,000000,10.11,10.13,10.11,10.13,633,0
SDHI.US,D,20250627,000000,10.12,10.12,10.12,10.12,25576,0
SDHI.US,D,20250630,000000,10.1,10.11,10.1,10.11,2339,0
SDHI.US,D,20250701,000000,10.12,10.12,10.12,10.12,5138,0
SDHI.US,D,20250702,000000,10.1,10.1,10.09,10.09,314728,0
SDHI.US,D,20250708,000000,10.1,10.1,10.1,10.1,17173,0
SDHI.US,D,20250709,000000,10.1,10.1,10.09,10.09,7578,0
SDHI.US,D,20250710,000000,10.1,10.1,10.1,10.1,2052,0
SDHI.US,D,20250711,000000,10.09,10.095,10.09,10.09,5142,0
SDHI.US,D,20250715,000000,10.1,10.1,10.09,10.09,123100,0
SDHI.US,D,20250716,000000,10.09,10.09,10.09,10.09,5237,0
SDHI.US,D,20250717,000000,10.09,10.09,10.09,10.09,12276,0
SDHI.US,D,20250718,000000,10.09,10.09,10.085,10.085,10953,0
SDHI.US,D,20250721,000000,10.0879,10.11,10.0867,10.11,13401,0
