<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PMIO.US,60,20240814,210000,50.58,50.915,50.56,50.915,1480,0
PMIO.US,60,20240828,220000,51.11,51.11,51.11,51.11,200,0
PMIO.US,60,20240829,160000,51.1289,51.1289,51.1289,51.1289,100,0
PMIO.US,60,20240830,170000,51.21,51.21,51.21,51.21,100,0
PMIO.US,60,20240909,210000,51.31,51.31,51.31,51.31,100,0
PMIO.US,60,20240911,170000,51.3587,51.3587,51.3587,51.3587,132,0
PMIO.US,60,20240917,190000,51.2844,51.2844,51.25,51.25,894,0
PMIO.US,60,20240924,200000,51.291,51.3399,51.2858,51.3399,3050,0
PMIO.US,60,20240925,190000,51.3015,51.3015,51.3015,51.3015,100,0
PMIO.US,60,20240926,210000,51.3676,51.38,51.3676,51.38,300,0
PMIO.US,60,20241001,180000,51.23,51.23,51.23,51.23,100,0
PMIO.US,60,20241003,210000,51.34,51.34,51.34,51.34,100,0
PMIO.US,60,20241007,170000,51.134,51.134,51.134,51.134,196,0
PMIO.US,60,20241009,160000,51.13,51.13,51.13,51.13,100,0
PMIO.US,60,20241009,220000,51.12,51.12,51.12,51.12,200,0
PMIO.US,60,20241017,170000,51.19,51.2,51.1765,51.1765,2600,0
PMIO.US,60,20241021,220000,51.08,51.08,51.08,51.08,100,0
PMIO.US,60,20241022,170000,50.9801,50.9801,50.98,50.98,238,0
PMIO.US,60,20241023,160000,50.89,50.8901,50.69,50.8385,1800,0
PMIO.US,60,20241122,170000,51.05,51.09,51.05,51.09,1239,0
PMIO.US,60,20241211,190000,51.205,51.205,51.205,51.205,200,0
PMIO.US,60,20241212,220000,50.995,50.995,50.995,50.995,100,0
PMIO.US,60,20241213,170000,50.9996,50.9996,50.9801,50.9801,200,0
PMIO.US,60,20241213,210000,50.9386,50.9386,50.9386,50.9386,100,0
PMIO.US,60,20241217,220000,50.94,50.94,50.94,50.94,100,0
PMIO.US,60,20241218,180000,50.83,50.83,50.83,50.83,200,0
PMIO.US,60,20241218,220000,50.73,50.7347,50.73,50.7347,200,0
PMIO.US,60,20241220,190000,50.4497,50.59,50.4497,50.5899,2244,0
PMIO.US,60,20250102,220000,50.565,50.565,50.51,50.51,400,0
PMIO.US,60,20250103,190000,50.558,50.558,50.5498,50.55,1056,0
PMIO.US,60,20250103,200000,50.52,50.52,50.52,50.52,200,0
PMIO.US,60,20250108,180000,50.37,50.49,50.37,50.38,1500,0
PMIO.US,60,20250108,190000,50.35,50.35,50.35,50.35,292,0
PMIO.US,60,20250108,200000,50.33,50.33,50.33,50.33,100,0
PMIO.US,60,20250108,220000,50.34,50.34,50.34,50.34,768,0
PMIO.US,60,20250129,180000,50.33,50.6554,50.33,50.6554,602,0
PMIO.US,60,20250131,220000,50.73,50.73,50.73,50.73,100,0
PMIO.US,60,20250204,170000,50.64,50.64,50.64,50.64,100,0
PMIO.US,60,20250204,180000,50.68,50.68,50.68,50.68,225,0
PMIO.US,60,20250206,190000,50.8249,50.8249,50.8249,50.8249,500,0
PMIO.US,60,20250211,160000,50.76,50.76,50.76,50.76,200,0
PMIO.US,60,20250225,220000,51.16,51.25,51.15,51.15,1427,0
PMIO.US,60,20250303,190000,50.89,50.89,50.89,50.89,100,0
PMIO.US,60,20250304,180000,50.9,50.9,50.9,50.9,100,0
PMIO.US,60,20250305,190000,50.74,50.74,50.74,50.74,100,0
PMIO.US,60,20250307,200000,50.66,50.66,50.66,50.66,100,0
PMIO.US,60,20250321,150000,50.5,50.5,50.5,50.5,400,0
PMIO.US,60,20250324,160000,50.38,50.38,50.38,50.38,100,0
PMIO.US,60,20250324,180000,50.31,50.3436,50.31,50.3436,200,0
PMIO.US,60,20250324,200000,50.29,50.29,50.2,50.2,600,0
PMIO.US,60,20250325,180000,50.28,50.306,50.19,50.306,2600,0
PMIO.US,60,20250326,160000,50.26,50.26,50.26,50.26,700,0
PMIO.US,60,20250326,170000,50.27,50.27,50.2699,50.2699,1200,0
PMIO.US,60,20250326,180000,50.26,50.26,50.26,50.26,300,0
PMIO.US,60,20250401,190000,50.16,50.34,50.16,50.34,13600,0
PMIO.US,60,20250404,210000,50.6761,50.6761,50.6761,50.6761,2000,0
PMIO.US,60,20250408,180000,49.62,49.62,49.62,49.62,100,0
PMIO.US,60,20250408,190000,49.61,49.61,49.61,49.61,100,0
PMIO.US,60,20250411,170000,49.76,49.76,48.8,48.8,400,0
PMIO.US,60,20250411,190000,48.82,48.88,48.8199,48.879,2422,0
PMIO.US,60,20250411,200000,48.95,48.96,48.95,48.96,300,0
PMIO.US,60,20250416,170000,49.61,49.61,49.6099,49.6099,200,0
PMIO.US,60,20250416,220000,49.64,49.64,49.64,49.64,100,0
PMIO.US,60,20250417,170000,49.64,49.64,49.635,49.635,200,0
PMIO.US,60,20250417,180000,49.69,49.69,49.69,49.69,100,0
PMIO.US,60,20250417,190000,49.665,49.665,49.665,49.665,100,0
PMIO.US,60,20250417,220000,49.57,49.57,49.57,49.57,100,0
PMIO.US,60,20250423,170000,49.76,49.7601,49.72,49.72,400,0
PMIO.US,60,20250423,220000,49.525,49.525,49.525,49.525,298,0
PMIO.US,60,20250424,160000,49.6584,49.6584,49.6584,49.6584,100,0
PMIO.US,60,20250429,210000,49.87,49.87,49.865,49.865,200,0
PMIO.US,60,20250501,220000,49.76,49.76,49.76,49.76,800,0
PMIO.US,60,20250505,160000,49.63,49.63,49.58,49.58,2000,0
PMIO.US,60,20250505,170000,49.58,49.58,49.58,49.58,200,0
PMIO.US,60,20250512,180000,49.6,49.79,49.6,49.74,13127,0
PMIO.US,60,20250513,210000,49.838,49.838,49.838,49.838,200,0
PMIO.US,60,20250514,190000,49.82,49.9,49.82,49.9,400,0
PMIO.US,60,20250515,210000,49.98,49.98,49.98,49.98,100,0
PMIO.US,60,20250515,220000,49.98,49.99,49.98,49.99,300,0
PMIO.US,60,20250516,160000,49.95,49.95,49.95,49.95,100,0
PMIO.US,60,20250519,170000,49.7795,49.7795,49.7795,49.7795,100,0
PMIO.US,60,20250519,220000,49.855,49.91,49.855,49.91,1502,0
PMIO.US,60,20250520,190000,49.83,49.88,49.83,49.8785,3062,0
PMIO.US,60,20250521,200000,49.76,49.76,49.75,49.75,200,0
PMIO.US,60,20250603,210000,49.69,49.69,49.62,49.62,1100,0
PMIO.US,60,20250604,180000,49.73,49.73,49.64,49.64,200,0
PMIO.US,60,20250605,170000,49.85,49.85,49.85,49.85,100,0
PMIO.US,60,20250605,200000,49.85,49.85,49.85,49.85,120,0
PMIO.US,60,20250609,220000,49.78,49.78,49.71,49.7793,2444,0
PMIO.US,60,20250611,180000,49.8097,49.8097,49.8097,49.8097,124,0
PMIO.US,60,20250611,190000,49.8199,49.8199,49.8199,49.8199,191,0
PMIO.US,60,20250612,170000,49.87,49.87,49.87,49.87,100,0
PMIO.US,60,20250612,180000,49.8899,49.9,49.8899,49.8999,1329,0
PMIO.US,60,20250612,200000,49.9192,49.93,49.884,49.9199,3473,0
PMIO.US,60,20250612,210000,49.96,49.97,49.9199,49.97,821,0
PMIO.US,60,20250617,170000,49.81,49.81,49.75,49.79,2301,0
PMIO.US,60,20250617,180000,49.7999,49.7999,49.7999,49.7999,100,0
PMIO.US,60,20250617,190000,49.79,49.8,49.79,49.8,1644,0
PMIO.US,60,20250617,200000,49.81,49.81,49.81,49.81,100,0
PMIO.US,60,20250620,170000,49.855,49.855,49.81,49.83,906,0
PMIO.US,60,20250620,180000,49.7847,49.7847,49.7847,49.7847,131,0
PMIO.US,60,20250620,200000,49.8711,49.8711,49.75,49.8711,2760,0
PMIO.US,60,20250620,210000,49.93,49.93,49.93,49.93,100,0
PMIO.US,60,20250625,200000,50,50,49.9999,49.9999,200,0
PMIO.US,60,20250627,220000,50.1099,50.1099,50.1099,50.1099,199,0
PMIO.US,60,20250630,160000,50.11,50.11,50.11,50.11,100,0
PMIO.US,60,20250630,170000,50.19,50.19,50.17,50.17,500,0
PMIO.US,60,20250630,210000,50.1635,50.19,50.1635,50.19,1084,0
PMIO.US,60,20250701,180000,49.97,49.97,49.94,49.94,1100,0
PMIO.US,60,20250703,170000,49.9,49.9,49.9,49.9,100,0
PMIO.US,60,20250707,210000,49.912,49.912,49.912,49.912,108,0
PMIO.US,60,20250714,160000,49.85,49.851,49.85,49.85,400,0
PMIO.US,60,20250716,170000,49.86,49.86,49.83,49.83,550,0
PMIO.US,60,20250716,200000,49.7699,49.7699,49.7699,49.7699,2000,0
PMIO.US,60,20250718,190000,49.5201,49.5201,49.52,49.52,200,0
PMIO.US,60,20250721,220000,49.68,49.7,49.68,49.69,700,0
