<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MVO.US,60,20240411,160000,10.49,10.49,10.23,10.26,14617,0
MVO.US,60,20240411,170000,10.3,10.3828,10.2301,10.29,14204,0
MVO.US,60,20240411,180000,10.23,10.2899,10.23,10.26,1940,0
MVO.US,60,20240411,190000,10.3,10.3,10.25,10.28,5591,0
MVO.US,60,20240411,200000,10.3,10.36,10.29,10.3229,5533,0
MVO.US,60,20240411,210000,10.32,10.32,10.15,10.2245,18222,0
MVO.US,60,20240411,220000,10.185,10.24,10.14,10.24,24344,0
MVO.US,60,20240412,160000,9.89,10.15,9.67,9.8,27280,0
MVO.US,60,20240412,170000,9.8,9.9,9.78,9.9,11054,0
MVO.US,60,20240412,180000,9.9,9.99,9.9,9.9,15110,0
MVO.US,60,20240412,190000,9.9495,9.95,9.77,9.91,17107,0
MVO.US,60,20240412,200000,9.92,9.92,9.78,9.85,11620,0
MVO.US,60,20240412,210000,9.8725,9.94,9.83,9.87,11344,0
MVO.US,60,20240412,220000,9.8981,9.91,9.76,9.81,10264,0
MVO.US,60,20240415,160000,9.75,9.85,9.75,9.815,9751,0
MVO.US,60,20240415,170000,9.8,9.89,9.76,9.85,12101,0
MVO.US,60,20240415,180000,9.85,9.87,9.75,9.7701,11214,0
MVO.US,60,20240415,190000,9.85,9.85,9.75,9.8,7242,0
MVO.US,60,20240415,200000,9.85,9.89,9.81,9.86,3958,0
MVO.US,60,20240415,210000,9.86,9.95,9.85,9.95,3738,0
MVO.US,60,20240415,220000,9.95,9.95,9.85,9.93,11463,0
MVO.US,60,20240416,160000,9.75,9.99,9.75,9.99,5346,0
MVO.US,60,20240416,170000,9.87,9.99,9.8,9.86,8465,0
MVO.US,60,20240416,180000,9.94,9.95,9.925,9.95,500,0
MVO.US,60,20240416,190000,9.91,9.91,9.9,9.9,421,0
MVO.US,60,20240416,200000,9.9,9.9,9.8425,9.8425,1015,0
MVO.US,60,20240416,210000,9.93,9.93,9.92,9.92,624,0
MVO.US,60,20240416,220000,9.895,9.94,9.86,9.93,3148,0
MVO.US,60,20240417,160000,9.82,9.83,9.82,9.82,2704,0
MVO.US,60,20240417,170000,9.86,9.9,9.76,9.84,9881,0
MVO.US,60,20240417,180000,9.81,9.8397,9.61,9.81,18836,0
MVO.US,60,20240417,190000,9.75,9.75,9.52,9.52,5040,0
MVO.US,60,20240417,200000,9.69,9.6999,9.6128,9.6128,1886,0
MVO.US,60,20240417,210000,9.55,9.6892,9.46,9.4601,9026,0
MVO.US,60,20240417,220000,9.4883,9.5599,9.47,9.53,8279,0
MVO.US,60,20240418,160000,9.56,9.67,9.55,9.67,10236,0
MVO.US,60,20240418,170000,9.66,9.87,9.65,9.7798,5808,0
MVO.US,60,20240418,180000,9.85,9.87,9.7,9.795,1200,0
MVO.US,60,20240418,190000,9.83,9.83,9.7,9.71,4211,0
MVO.US,60,20240418,200000,9.66,9.675,9.595,9.6,1360,0
MVO.US,60,20240418,210000,9.5848,9.5848,9.57,9.57,1568,0
MVO.US,60,20240418,220000,9.686,9.7,9.57,9.63,4224,0
MVO.US,60,20240419,160000,9.79,9.798,9.65,9.798,7487,0
MVO.US,60,20240419,170000,9.6271,9.72,9.62,9.6501,8403,0
MVO.US,60,20240419,180000,9.78,9.79,9.69,9.77,1689,0
MVO.US,60,20240419,190000,9.715,9.77,9.715,9.7288,6490,0
MVO.US,60,20240419,200000,9.7576,9.76,9.73,9.73,981,0
MVO.US,60,20240419,210000,9.7467,9.77,9.67,9.67,4505,0
MVO.US,60,20240419,220000,9.6858,9.8,9.65,9.8,4512,0
MVO.US,60,20240422,160000,9.81,9.81,9.7,9.8,3801,0
MVO.US,60,20240422,170000,9.7246,9.79,9.7,9.74,25193,0
MVO.US,60,20240422,180000,9.67,9.7011,9.62,9.645,4654,0
MVO.US,60,20240422,190000,9.5,9.5973,9.5,9.5001,894,0
MVO.US,60,20240422,200000,9.5,9.58,9.5,9.5,4940,0
MVO.US,60,20240422,210000,9.53,9.54,9.5,9.525,5757,0
MVO.US,60,20240422,220000,9.51,9.525,9.43,9.5,4441,0
MVO.US,60,20240423,160000,9.5,9.58,9.4,9.43,16165,0
MVO.US,60,20240423,170000,9.435,9.555,9.4,9.555,4325,0
MVO.US,60,20240423,180000,9.57,9.68,9.55,9.65,5614,0
MVO.US,60,20240423,190000,9.65,9.65,9.495,9.58,7788,0
MVO.US,60,20240423,200000,9.57,9.61,9.51,9.51,1940,0
MVO.US,60,20240423,210000,9.6,9.64,9.5,9.64,12849,0
MVO.US,60,20240423,220000,9.63,9.63,9.5,9.55,6384,0
MVO.US,60,20240424,160000,9.55,9.55,9.54,9.54,839,0
MVO.US,60,20240424,170000,9.4893,9.57,9.4,9.57,2402,0
MVO.US,60,20240424,180000,9.57,9.66,9.4714,9.62,3367,0
MVO.US,60,20240424,190000,9.575,9.61,9.54,9.59,3393,0
MVO.US,60,20240424,200000,9.6,9.7,9.6,9.69,6908,0
MVO.US,60,20240424,210000,9.76,9.8597,9.6669,9.85,7954,0
MVO.US,60,20240424,220000,9.86,9.9,9.71,9.9,3589,0
MVO.US,60,20240425,160000,9.94,9.9528,9.82,9.82,8484,0
MVO.US,60,20240425,170000,9.91,10.1,9.885,9.9207,25403,0
MVO.US,60,20240425,180000,9.98,9.98,9.98,9.98,100,0
MVO.US,60,20240425,190000,9.92,9.97,9.92,9.96,1022,0
MVO.US,60,20240425,200000,9.93,9.93,9.93,9.93,488,0
MVO.US,60,20240425,210000,9.9,9.94,9.9,9.94,1894,0
MVO.US,60,20240425,220000,9.94,9.94,9.81,9.89,16567,0
MVO.US,60,20240426,160000,9.91,9.99,9.8823,9.8991,8415,0
MVO.US,60,20240426,170000,9.81,9.9505,9.7367,9.8692,12834,0
MVO.US,60,20240426,180000,9.9399,9.9399,9.83,9.88,3783,0
MVO.US,60,20240426,190000,9.89,9.9499,9.89,9.9499,658,0
MVO.US,60,20240426,200000,9.93,9.93,9.84,9.84,300,0
MVO.US,60,20240426,210000,9.8689,9.87,9.72,9.84,2925,0
MVO.US,60,20240426,220000,9.77,9.84,9.71,9.73,6168,0
MVO.US,60,20240429,160000,9.8,9.91,9.8,9.91,4614,0
MVO.US,60,20240429,170000,9.93,10,9.9,9.97,4750,0
MVO.US,60,20240429,180000,9.94,9.9957,9.94,9.9957,3475,0
MVO.US,60,20240429,190000,9.94,10,9.94,9.9999,2061,0
MVO.US,60,20240429,200000,10.01,10.09,9.98,10.05,2473,0
MVO.US,60,20240429,210000,10.0934,10.15,10.08,10.1,5403,0
MVO.US,60,20240429,220000,10.08,10.12,10.01,10.12,7211,0
MVO.US,60,20240430,160000,10.15,10.1899,10.15,10.1824,1913,0
MVO.US,60,20240430,170000,10.145,10.1629,10.1,10.1,3969,0
MVO.US,60,20240430,180000,10.025,10.025,9.9706,9.99,2535,0
MVO.US,60,20240430,190000,9.965,9.965,9.95,9.95,6581,0
MVO.US,60,20240430,200000,9.9175,9.9175,9.825,9.86,2653,0
MVO.US,60,20240430,210000,9.8939,9.99,9.875,9.94,1515,0
MVO.US,60,20240430,220000,9.97,10.01,9.8801,9.94,3340,0
MVO.US,60,20240501,160000,9.94,10.02,9.9151,9.935,5609,0
MVO.US,60,20240501,170000,9.97,9.9821,9.8001,9.96,2130,0
MVO.US,60,20240501,190000,9.8423,9.8799,9.735,9.747,7237,0
MVO.US,60,20240501,200000,9.74,9.74,9.7,9.7,886,0
MVO.US,60,20240501,210000,9.73,9.825,9.71,9.72,10754,0
MVO.US,60,20240501,220000,9.7471,9.7899,9.66,9.69,13018,0
MVO.US,60,20240502,160000,9.69,9.8099,9.685,9.7,2246,0
MVO.US,60,20240502,170000,9.74,9.824,9.675,9.77,2303,0
MVO.US,60,20240502,180000,9.74,9.805,9.74,9.7759,1853,0
MVO.US,60,20240502,190000,9.79,9.848,9.79,9.848,291,0
MVO.US,60,20240502,200000,9.85,9.85,9.8208,9.8208,450,0
MVO.US,60,20240502,210000,9.9729,9.9729,9.9729,9.9729,100,0
MVO.US,60,20240502,220000,9.94,10.02,9.93,9.98,3152,0
MVO.US,60,20240507,160000,9.87,9.95,9.8402,9.905,3476,0
MVO.US,60,20240507,170000,9.85,9.9784,9.84,9.9,2132,0
MVO.US,60,20240507,180000,9.89,9.92,9.89,9.91,1262,0
MVO.US,60,20240507,190000,9.9416,9.9416,9.89,9.9327,3250,0
MVO.US,60,20240507,200000,9.93,10.0644,9.93,10.01,3762,0
MVO.US,60,20240507,210000,9.9653,9.97,9.94,9.95,2479,0
MVO.US,60,20240507,220000,10,10,9.93,9.93,6233,0
MVO.US,60,20240508,160000,10.06,10.1273,10.0119,10.1273,6013,0
MVO.US,60,20240508,170000,10.05,10.0912,9.9801,10.0912,3180,0
MVO.US,60,20240508,180000,10.075,10.15,10.06,10.105,10605,0
MVO.US,60,20240508,190000,10.115,10.12,10.07,10.07,1107,0
MVO.US,60,20240508,200000,10.09,10.12,10.09,10.0913,8784,0
MVO.US,60,20240508,210000,10.06,10.06,10,10.025,1956,0
MVO.US,60,20240508,220000,10.085,10.095,10.01,10.05,3485,0
MVO.US,60,20240509,160000,9.92,10.0998,9.92,10.08,3037,0
MVO.US,60,20240509,170000,10.065,10.0987,10.0104,10.0987,2878,0
MVO.US,60,20240509,180000,10.035,10.1,10.005,10.0999,9674,0
MVO.US,60,20240509,190000,10.04,10.05,10.0151,10.04,1834,0
MVO.US,60,20240509,200000,10.01,10.01,9.8543,9.93,4541,0
MVO.US,60,20240509,210000,9.89,9.91,9.89,9.89,3333,0
