<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RWTP.US,60,20250205,160000,24.7,24.74,24.68,24.725,8678,0
RWTP.US,60,20250205,170000,24.74,24.79,24.738,24.7801,22456,0
RWTP.US,60,20250205,180000,24.785,24.7899,24.76,24.77,2719,0
RWTP.US,60,20250205,190000,24.78,24.79,24.75,24.79,8634,0
RWTP.US,60,20250205,200000,24.8228,24.8299,24.8161,24.8299,1200,0
RWTP.US,60,20250205,210000,24.79,24.83,24.79,24.82,4145,0
RWTP.US,60,20250205,220000,24.82,24.8399,24.79,24.8,2793,0
RWTP.US,60,20250206,160000,24.8162,24.84,24.8,24.8,5029,0
RWTP.US,60,20250206,170000,24.8,24.8,24.75,24.7699,7514,0
RWTP.US,60,20250206,180000,24.77,24.79,24.73,24.75,19956,0
RWTP.US,60,20250206,190000,24.75,24.76,24.745,24.76,7318,0
RWTP.US,60,20250206,200000,24.77,24.78,24.74,24.75,13375,0
RWTP.US,60,20250206,210000,24.765,24.78,24.75,24.78,8050,0
RWTP.US,60,20250206,220000,24.75,24.8,24.75,24.76,6647,0
RWTP.US,60,20250207,160000,24.78,24.8,24.7657,24.8,5385,0
RWTP.US,60,20250207,170000,24.79,24.805,24.78,24.7806,11787,0
RWTP.US,60,20250207,180000,24.84,24.84,24.78,24.8055,3059,0
RWTP.US,60,20250207,190000,24.795,24.795,24.795,24.795,740,0
RWTP.US,60,20250207,200000,24.78,24.83,24.78,24.8299,6337,0
RWTP.US,60,20250207,210000,24.82,24.825,24.8,24.8,5368,0
RWTP.US,60,20250207,220000,24.8,24.84,24.79,24.83,15826,0
RWTP.US,60,20250210,170000,24.89,24.89,24.846,24.846,300,0
RWTP.US,60,20250210,180000,24.846,24.8632,24.83,24.83,1400,0
RWTP.US,60,20250210,190000,24.83,24.83,24.8,24.815,638,0
RWTP.US,60,20250210,200000,24.83,24.83,24.83,24.83,1000,0
RWTP.US,60,20250210,210000,24.815,24.815,24.78,24.79,3743,0
RWTP.US,60,20250210,220000,24.78,24.85,24.74,24.79,5089,0
RWTP.US,60,20250211,160000,24.835,24.835,24.835,24.835,500,0
RWTP.US,60,20250211,170000,24.765,24.765,24.765,24.765,120,0
RWTP.US,60,20250211,180000,24.78,24.8,24.75,24.78,4950,0
RWTP.US,60,20250211,190000,24.8,24.8,24.76,24.7999,11279,0
RWTP.US,60,20250211,200000,24.77,24.7999,24.74,24.7999,6005,0
RWTP.US,60,20250211,210000,24.765,24.77,24.75,24.76,700,0
RWTP.US,60,20250211,220000,24.78,24.7999,24.73,24.75,9138,0
RWTP.US,60,20250212,160000,24.74,24.74,24.67,24.67,4270,0
RWTP.US,60,20250212,170000,24.67,24.75,24.67,24.75,8293,0
RWTP.US,60,20250212,180000,24.746,24.788,24.745,24.754,2800,0
RWTP.US,60,20250212,190000,24.77,24.79,24.75,24.76,2700,0
RWTP.US,60,20250212,200000,24.775,24.7897,24.7,24.765,2543,0
RWTP.US,60,20250212,210000,24.7899,24.7899,24.74,24.75,3523,0
RWTP.US,60,20250212,220000,24.76,24.76,24.7,24.75,2827,0
RWTP.US,60,20250213,160000,24.77,24.77,24.77,24.77,200,0
RWTP.US,60,20250213,170000,24.75,24.7999,24.75,24.77,700,0
RWTP.US,60,20250213,180000,24.77,24.8,24.77,24.77,8498,0
RWTP.US,60,20250213,190000,24.77,24.79,24.77,24.79,3817,0
RWTP.US,60,20250213,200000,24.765,24.7899,24.74,24.74,4045,0
RWTP.US,60,20250213,210000,24.74,24.79,24.74,24.74,5071,0
RWTP.US,60,20250213,220000,24.75,24.7899,24.74,24.74,1586,0
RWTP.US,60,20250214,160000,24.7612,24.7612,24.7612,24.7612,2000,0
RWTP.US,60,20250214,170000,24.82,24.82,24.76,24.786,2800,0
RWTP.US,60,20250214,180000,24.786,24.84,24.76,24.79,6374,0
RWTP.US,60,20250214,190000,24.795,24.81,24.79,24.79,3100,0
RWTP.US,60,20250214,200000,24.79,24.81,24.78,24.808,2554,0
RWTP.US,60,20250214,210000,24.783,24.783,24.783,24.783,1600,0
RWTP.US,60,20250214,220000,24.783,24.81,24.783,24.786,4804,0
RWTP.US,60,20250218,170000,24.83,24.87,24.83,24.83,346,0
RWTP.US,60,20250218,180000,24.78,24.82,24.77,24.77,600,0
RWTP.US,60,20250218,190000,24.77,24.8199,24.77,24.79,3804,0
RWTP.US,60,20250218,200000,24.79,24.79,24.77,24.784,1437,0
RWTP.US,60,20250218,210000,24.791,24.82,24.791,24.82,3257,0
RWTP.US,60,20250218,220000,24.83,24.8301,24.79,24.79,11595,0
RWTP.US,60,20250219,160000,24.88,24.88,24.8,24.8048,808,0
RWTP.US,60,20250219,170000,24.805,24.82,24.795,24.8,2542,0
RWTP.US,60,20250219,180000,24.8,24.8,24.8,24.8,372,0
RWTP.US,60,20250219,190000,24.8,24.8,24.8,24.8,1862,0
RWTP.US,60,20250219,200000,24.8099,24.8099,24.79,24.8,2580,0
RWTP.US,60,20250219,210000,24.7999,24.8,24.7968,24.8,1330,0
RWTP.US,60,20250219,220000,24.8,24.8,24.77,24.772,3075,0
RWTP.US,60,20250220,160000,24.82,24.82,24.82,24.82,600,0
RWTP.US,60,20250220,170000,24.82,24.84,24.78,24.81,1106,0
RWTP.US,60,20250220,180000,24.81,24.82,24.81,24.82,3800,0
RWTP.US,60,20250220,190000,24.8399,24.8399,24.8099,24.81,7636,0
RWTP.US,60,20250220,200000,24.81,24.81,24.8035,24.8035,4314,0
RWTP.US,60,20250220,210000,24.81,24.81,24.8,24.81,11313,0
RWTP.US,60,20250220,220000,24.81,24.81,24.8,24.8,8850,0
RWTP.US,60,20250221,160000,24.85,24.85,24.85,24.85,1600,0
RWTP.US,60,20250221,170000,24.82,24.82,24.82,24.82,100,0
RWTP.US,60,20250221,180000,24.82,24.82,24.8,24.8,5548,0
RWTP.US,60,20250221,190000,24.81,24.81,24.8,24.8,5068,0
RWTP.US,60,20250221,200000,24.8,24.81,24.8,24.8,1098,0
RWTP.US,60,20250221,210000,24.8,24.81,24.77,24.77,5491,0
RWTP.US,60,20250221,220000,24.7952,24.8,24.77,24.77,2124,0
