<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RMD.US,60,20240411,160000,195.14,195.14,192.45,193.14,22947,0
RMD.US,60,20240411,170000,192.98,192.98,191,191.105,31697,0
RMD.US,60,20240411,180000,191.09,191.5,190.72,191.11,41917,0
RMD.US,60,20240411,190000,191.11,191.26,190.19,190.56,25842,0
RMD.US,60,20240411,200000,190.63,192.09,190.48,192.075,23014,0
RMD.US,60,20240411,210000,192.1075,192.9662,191.775,191.805,26722,0
RMD.US,60,20240411,220000,191.75,191.75,189.4,189.51,272550,0
RMD.US,60,20240412,160000,188.62,189.41,188,188.495,48796,0
RMD.US,60,20240412,170000,188.69,188.7,186.58,186.945,74528,0
RMD.US,60,20240412,180000,187.075,187.44,186.29,186.55,30975,0
RMD.US,60,20240412,190000,186.51,186.85,184.78,184.78,21047,0
RMD.US,60,20240412,200000,184.77,185.285,184.39,185.03,18721,0
RMD.US,60,20240412,210000,184.97,185.63,184.825,184.9125,24098,0
RMD.US,60,20240412,220000,184.91,185.9,184.85,185.86,209629,0
RMD.US,60,20240415,160000,187.95,189.29,187.54,188.195,76645,0
RMD.US,60,20240415,170000,188.35,188.47,187.245,187.245,42086,0
RMD.US,60,20240415,180000,187.1,188.73,186.915,188.69,13655,0
RMD.US,60,20240415,190000,188.68,188.77,187.15,187.22,10643,0
RMD.US,60,20240415,200000,187.15,187.36,186.25,186.56,13477,0
RMD.US,60,20240415,210000,186.535,186.535,185.13,185.54,16140,0
RMD.US,60,20240415,220000,185.57,185.61,184.78,185.09,191862,0
RMD.US,60,20240416,160000,184.46,184.77,183.37,184.16,18316,0
RMD.US,60,20240416,170000,184.15,185.77,183.69,184.57,23400,0
RMD.US,60,20240416,180000,184.64,185.85,184.52,185.64,13699,0
RMD.US,60,20240416,190000,185.465,185.765,185.12,185.555,9236,0
RMD.US,60,20240416,200000,185.45,186.09,185.085,185.625,13317,0
RMD.US,60,20240416,210000,185.54,186.715,185.01,186.715,11304,0
RMD.US,60,20240416,220000,186.61,186.61,184.61,184.86,153030,0
RMD.US,60,20240417,160000,182,183.4,172.19,177,611010,0
RMD.US,60,20240417,170000,177,178.705,173.55,174.2,278837,0
RMD.US,60,20240417,180000,174.06,175.61,172.77,173.72,202727,0
RMD.US,60,20240417,190000,173.52,174.69,172.75,174.27,110341,0
RMD.US,60,20240417,200000,174.265,175.17,173.56,173.94,57932,0
RMD.US,60,20240417,210000,173.86,174.7,172.85,173.19,92448,0
RMD.US,60,20240417,220000,173.1,174.81,172.935,173.83,546962,0
RMD.US,60,20240418,160000,177.4,179.26,176.38,178.47,135895,0
RMD.US,60,20240418,170000,178.65,179.49,177.4,179.49,175588,0
RMD.US,60,20240418,180000,179.5988,179.8,177.23,177.485,93787,0
RMD.US,60,20240418,190000,177.56,177.67,176.73,176.89,56726,0
RMD.US,60,20240418,200000,176.94,177.43,176.45,177.235,55441,0
RMD.US,60,20240418,210000,177.11,177.64,176.57,177.13,66645,0
RMD.US,60,20240418,220000,177.185,177.81,176.78,177.61,406364,0
RMD.US,60,20240419,160000,179.15,179.15,177.55,178.495,87601,0
RMD.US,60,20240419,170000,178.485,179.43,178.35,179.18,77094,0
RMD.US,60,20240419,180000,179.1075,179.115,177.93,178.24,43620,0
RMD.US,60,20240419,190000,178.31,179.16,177.99,178.635,54662,0
RMD.US,60,20240419,200000,178.62,178.66,177.33,177.83,70736,0
RMD.US,60,20240419,210000,177.955,177.955,176.9225,177.83,116461,0
RMD.US,60,20240419,220000,177.73,179.22,177.53,178.905,230264,0
RMD.US,60,20240422,160000,180,180.31,178.52,180.13,50660,0
RMD.US,60,20240422,170000,180.125,180.125,179.085,179.63,41057,0
RMD.US,60,20240422,180000,179.525,179.765,179.06,179.395,37600,0
RMD.US,60,20240422,190000,179.36,180.32,179.3,179.99,44480,0
RMD.US,60,20240422,200000,180.05,180.81,179.93,180.3,123989,0
RMD.US,60,20240422,210000,180.3,180.67,179.33,179.87,93458,0
RMD.US,60,20240422,220000,179.86,180.44,179.12,180.35,372253,0
RMD.US,60,20240423,160000,182.59,183.77,181.7,183.0427,86716,0
RMD.US,60,20240423,170000,182.99,184.445,182.44,184.01,122315,0
RMD.US,60,20240423,180000,184.125,184.125,182.78,183.09,49211,0
RMD.US,60,20240423,190000,183.015,184.21,182.98,184.005,30032,0
RMD.US,60,20240423,200000,183.89,184.71,183.51,184.65,34606,0
RMD.US,60,20240423,210000,184.655,184.83,184.23,184.55,37254,0
RMD.US,60,20240423,220000,184.56,184.56,183.8604,184.25,338430,0
RMD.US,60,20240424,160000,185.88,186.7,184.46,184.55,65050,0
RMD.US,60,20240424,170000,184.5375,184.79,183.4,183.86,67310,0
RMD.US,60,20240424,180000,183.94,184.51,183.7,184.2,44965,0
RMD.US,60,20240424,190000,184.1,184.49,183.02,183.89,42833,0
RMD.US,60,20240424,200000,183.865,185.31,183.73,184.67,33012,0
RMD.US,60,20240424,210000,184.79,184.83,183.82,184.37,45285,0
RMD.US,60,20240424,220000,184.37,184.84,183.74,183.78,243877,0
RMD.US,60,20240425,160000,183.07,184.02,180.73,181.33,32918,0
RMD.US,60,20240425,170000,181.42,181.43,179,179.57,76439,0
RMD.US,60,20240425,180000,179.46,180.96,179.46,180.96,45712,0
RMD.US,60,20240425,190000,180.985,181.72,180.29,181.72,47117,0
RMD.US,60,20240425,200000,181.735,183.07,181.33,182.875,32625,0
RMD.US,60,20240425,210000,182.825,184.3,182.66,183.31,61655,0
RMD.US,60,20240425,220000,183.33,183.93,182.89,183.42,276781,0
RMD.US,60,20240426,160000,203.02,211.06,201.86,207.93,412376,0
RMD.US,60,20240426,170000,207.95,216.89,207.56,216.52,505153,0
RMD.US,60,20240426,180000,216.3,218.36,211,211.84,534107,0
RMD.US,60,20240426,190000,211.93,217.95,211.58,216.89,160555,0
RMD.US,60,20240426,200000,216.97,218.12,215.755,216.295,131678,0
RMD.US,60,20240426,210000,216.28,217.8,215.94,217.58,153442,0
RMD.US,60,20240426,220000,217.67,218.38,216.88,218.06,686476,0
