<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NOVP.US,60,20240620,220000,25.34,25.34,25.34,25.34,700,0
NOVP.US,60,20240807,210000,24.94,24.94,24.925,24.925,400,0
NOVP.US,60,20240814,170000,25.44,25.4535,25.44,25.4535,400,0
NOVP.US,60,20241029,160000,26.5352,26.56,26.5352,26.56,3000,0
NOVP.US,60,20241029,180000,26.55,26.55,26.55,26.55,1000,0
NOVP.US,60,20241029,200000,26.56,26.56,26.56,26.56,522,0
NOVP.US,60,20241031,210000,26.56,26.6,26.5432,26.5999,5638,0
NOVP.US,60,20241101,150000,26.73,26.73,26.727,26.727,339,0
NOVP.US,60,20241101,160000,26.75,26.76,26.75,26.76,400,0
NOVP.US,60,20241101,170000,26.75,26.75,26.75,26.75,200,0
NOVP.US,60,20241101,200000,26.68,26.68,26.66,26.68,3945,0
NOVP.US,60,20241101,210000,26.67,26.67,26.67,26.67,200,0
NOVP.US,60,20241104,160000,26.64,26.64,26.64,26.64,3800,0
NOVP.US,60,20241104,180000,26.64,26.64,26.59,26.59,400,0
NOVP.US,60,20241105,190000,26.7404,26.76,26.7404,26.76,374,0
NOVP.US,60,20241105,220000,26.77,26.79,26.77,26.79,400,0
NOVP.US,60,20241106,170000,27.08,27.09,27.08,27.09,10000,0
NOVP.US,60,20241106,180000,27.075,27.075,27.075,27.075,400,0
NOVP.US,60,20241106,190000,27.11,27.11,27.0875,27.0875,852,0
NOVP.US,60,20241106,220000,27.15,27.21,27.15,27.18,10038,0
NOVP.US,60,20241107,160000,27.21,27.21,27.21,27.21,600,0
NOVP.US,60,20241107,170000,27.2557,27.2557,27.255,27.255,500,0
NOVP.US,60,20241107,180000,27.24,27.24,27.24,27.24,100,0
NOVP.US,60,20241107,200000,27.24,27.24,27.24,27.24,600,0
NOVP.US,60,20241107,210000,27.25,27.25,27.25,27.25,100,0
NOVP.US,60,20241107,220000,27.26,27.3088,27.26,27.3088,200,0
NOVP.US,60,20241108,170000,27.3561,27.3561,27.32,27.32,3600,0
NOVP.US,60,20241108,180000,27.31,27.31,27.31,27.31,100,0
NOVP.US,60,20241108,210000,27.39,27.39,27.38,27.38,361,0
NOVP.US,60,20241111,200000,27.34,27.34,27.31,27.31,1600,0
NOVP.US,60,20241114,220000,27.2,27.2,27.2,27.2,500,0
NOVP.US,60,20241115,200000,27.07,27.07,27.07,27.07,700,0
NOVP.US,60,20241119,210000,27.1799,27.27,27.1799,27.27,1526,0
NOVP.US,60,20241119,220000,27.13,27.19,27.13,27.13,2600,0
NOVP.US,60,20241120,170000,27.0113,27.0113,27.0113,27.0113,148,0
NOVP.US,60,20241120,200000,27.06,27.06,27.06,27.06,375,0
NOVP.US,60,20241121,210000,27.06,27.23,27.06,27.2225,400,0
NOVP.US,60,20241121,220000,27.23,27.23,27.2225,27.23,500,0
NOVP.US,60,20241122,200000,27.26,27.26,27.26,27.26,100,0
NOVP.US,60,20241122,210000,27.26,27.26,27.26,27.26,401,0
NOVP.US,60,20241202,220000,27.39,27.52,27.39,27.52,3834,0
NOVP.US,60,20241203,180000,27.48,27.49,27.48,27.49,200,0
NOVP.US,60,20241203,190000,27.48,27.49,27.48,27.49,200,0
NOVP.US,60,20241203,200000,27.51,27.51,27.5,27.5,252,0
NOVP.US,60,20241203,210000,27.5,27.51,27.5,27.51,252,0
NOVP.US,60,20241204,220000,27.52,27.54,27.51,27.54,3631,0
NOVP.US,60,20241205,200000,27.54,27.54,27.52,27.52,800,0
NOVP.US,60,20241205,220000,27.51,27.52,27.51,27.52,300,0
