<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NBFC.US,60,20240709,190000,50.3993,50.3993,50.3993,50.3993,1500,0
NBFC.US,60,20240716,160000,50.7,50.7,50.7,50.7,100,0
NBFC.US,60,20240815,180000,50.91,50.91,50.91,50.91,4000,0
NBFC.US,60,20240904,190000,51.1,51.1,51.1,51.1,7900,0
NBFC.US,60,20240916,180000,51.49,51.49,51.49,51.49,875,0
NBFC.US,60,20240925,200000,51.68,51.6885,51.655,51.6798,1999,0
NBFC.US,60,20241003,170000,51.44,51.44,51.44,51.44,500,0
NBFC.US,60,20241003,180000,51.441,51.441,51.441,51.441,190,0
NBFC.US,60,20241008,200000,51.18,51.18,51.18,51.18,100,0
NBFC.US,60,20241009,190000,51.22,51.22,51.22,51.22,100,0
NBFC.US,60,20241028,160000,51.189,51.189,51.17,51.17,200,0
NBFC.US,60,20241028,210000,51.14,51.14,51.14,51.14,100,0
NBFC.US,60,20241106,160000,50.78,50.78,50.76,50.76,640,0
NBFC.US,60,20241106,200000,50.8457,50.8457,50.83,50.83,200,0
NBFC.US,60,20241202,220000,51.26,51.2814,51.26,51.26,450,0
NBFC.US,60,20250110,200000,50.5,50.5,50.4999,50.4999,200,0
NBFC.US,60,20250115,210000,50.73,50.73,50.73,50.73,1585,0
NBFC.US,60,20250117,190000,50.86,50.86,50.86,50.86,1500,0
NBFC.US,60,20250204,170000,50.91,51.18,50.91,50.93,4915,0
NBFC.US,60,20250227,200000,51.0877,51.0877,51.0877,51.0877,395,0
NBFC.US,60,20250303,210000,51.12,51.12,51.12,51.12,100,0
NBFC.US,60,20250319,200000,50.75,50.75,50.75,50.75,975,0
NBFC.US,60,20250326,190000,50.39,50.39,50.39,50.39,104,0
NBFC.US,60,20250326,200000,50.39,50.39,50.39,50.39,103,0
NBFC.US,60,20250404,180000,49.71,49.71,49.71,49.71,100,0
NBFC.US,60,20250409,190000,48.76,48.76,48.76,48.76,2041,0
NBFC.US,60,20250416,170000,49.35,49.35,49.35,49.35,375,0
NBFC.US,60,20250423,210000,49.73,49.73,49.73,49.73,595,0
NBFC.US,60,20250423,220000,49.7,49.74,49.65,49.691,2930,0
NBFC.US,60,20250521,180000,50.39,50.39,50.39,50.39,1785,0
NBFC.US,60,20250528,210000,50.18,50.18,50.18,50.18,1992,0
NBFC.US,60,20250603,160000,50.3,50.3501,50.2999,50.3501,300,0
NBFC.US,60,20250613,190000,50.69,50.69,50.63,50.63,200,0
NBFC.US,60,20250613,220000,50.63,50.63,50.63,50.63,1974,0
NBFC.US,60,20250620,160000,50.785,50.8793,50.75,50.8793,450,0
NBFC.US,60,20250701,170000,50.98,50.98,50.98,50.98,981,0
NBFC.US,60,20250703,160000,51.05,51.05,51.05,51.05,190,0
NBFC.US,60,20250707,190000,50.98,50.985,50.94,50.985,545,0
NBFC.US,60,20250710,220000,51.04,51.08,51.04,51.05,2740,0
NBFC.US,60,20250711,210000,50.89,50.89,50.89,50.89,100,0
NBFC.US,60,20250714,170000,50.97,50.97,50.97,50.97,100,0
NBFC.US,60,20250714,220000,50.9899,50.99,50.9899,50.99,800,0
NBFC.US,60,20250715,180000,50.89,50.89,50.89,50.89,200,0
NBFC.US,60,20250716,220000,50.855,50.978,50.855,50.95,3532,0
NBFC.US,60,20250718,180000,51.2,51.315,51.1744,51.18,2350,0
NBFC.US,60,20250721,170000,51.37,51.37,51.37,51.37,100,0
NBFC.US,60,20250721,210000,51.359,51.51,51.359,51.51,350,0
