<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QS.US,60,20240411,160000,5.94,6.02,5.84,5.87,552988,0
QS.US,60,20240411,170000,5.86,5.865,5.76,5.76,958566,0
QS.US,60,20240411,180000,5.765,5.86,5.76,5.86,590893,0
QS.US,60,20240411,190000,5.86,5.88,5.835,5.87,525859,0
QS.US,60,20240411,200000,5.8799,5.95,5.87,5.9325,392959,0
QS.US,60,20240411,210000,5.9397,6.03,5.935,5.965,689199,0
QS.US,60,20240411,220000,5.96,6.06,5.94,6.05,1422361,0
QS.US,60,20240412,160000,5.98,6.03,5.91,5.935,537071,0
QS.US,60,20240412,170000,5.93,5.95,5.86,5.915,712518,0
QS.US,60,20240412,180000,5.915,5.94,5.91,5.925,293551,0
QS.US,60,20240412,190000,5.925,5.9299,5.87,5.885,331605,0
QS.US,60,20240412,200000,5.8869,5.89,5.82,5.865,671078,0
QS.US,60,20240412,210000,5.8699,5.87,5.82,5.83,462942,0
QS.US,60,20240412,220000,5.825,5.83,5.78,5.81,1833896,0
QS.US,60,20240415,160000,5.81,5.855,5.67,5.72,810328,0
QS.US,60,20240415,170000,5.715,5.725,5.634,5.6599,1003361,0
QS.US,60,20240415,180000,5.655,5.66,5.58,5.6,1526453,0
QS.US,60,20240415,190000,5.6001,5.61,5.4601,5.47,1439865,0
QS.US,60,20240415,200000,5.4799,5.48,5.38,5.415,1305340,0
QS.US,60,20240415,210000,5.4199,5.43,5.345,5.355,821632,0
QS.US,60,20240415,220000,5.36,5.44,5.32,5.41,2452201,0
QS.US,60,20240416,160000,5.36,5.49,5.32,5.3905,885583,0
QS.US,60,20240416,170000,5.39,5.525,5.375,5.415,1268878,0
QS.US,60,20240416,180000,5.415,5.53,5.41,5.485,864560,0
QS.US,60,20240416,190000,5.48,5.52,5.47,5.5,530916,0
QS.US,60,20240416,200000,5.505,5.54,5.44,5.52,648192,0
QS.US,60,20240416,210000,5.52,5.6,5.481,5.515,910580,0
QS.US,60,20240416,220000,5.515,5.52,5.45,5.45,1572107,0
QS.US,60,20240417,160000,5.49,5.73,5.48,5.665,1191128,0
