<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NGL_C.US,60,20240411,160000,28.88,28.88,26.88,26.88,2393,0
NGL_C.US,60,20240411,170000,27.03,27.105,26.97,26.97,1725,0
NGL_C.US,60,20240411,180000,26.85,26.85,26.75,26.804,4309,0
NGL_C.US,60,20240411,190000,26.835,26.91,26.8,26.91,5595,0
NGL_C.US,60,20240411,200000,26.915,26.915,26.85,26.885,1964,0
NGL_C.US,60,20240411,210000,26.9,26.9,26.9,26.9,465,0
NGL_C.US,60,20240411,220000,26.83,26.83,26.83,26.83,400,0
NGL_C.US,60,20240412,160000,26.81,26.87,26.81,26.83,8220,0
NGL_C.US,60,20240412,170000,26.85,26.85,26.81,26.825,1603,0
NGL_C.US,60,20240412,180000,26.8199,26.85,26.81,26.84,1050,0
NGL_C.US,60,20240412,190000,26.85,26.85,26.84,26.84,1200,0
NGL_C.US,60,20240412,200000,26.825,26.85,26.8222,26.84,6500,0
NGL_C.US,60,20240412,210000,26.8228,26.94,26.8222,26.94,8860,0
NGL_C.US,60,20240412,220000,26.95,26.95,26.82,26.82,300,0
NGL_C.US,60,20240415,160000,26.82,26.82,26.82,26.82,700,0
NGL_C.US,60,20240415,170000,26.835,26.835,26.835,26.835,300,0
NGL_C.US,60,20240415,180000,26.84,26.84,26.84,26.84,500,0
NGL_C.US,60,20240415,190000,26.84,26.84,26.84,26.84,200,0
NGL_C.US,60,20240415,200000,26.84,26.85,26.83,26.84,5589,0
NGL_C.US,60,20240415,210000,26.84,26.85,26.84,26.8499,5320,0
NGL_C.US,60,20240415,220000,26.84,26.85,26.84,26.8433,1259,0
NGL_C.US,60,20240416,170000,26.808,26.84,26.808,26.81,700,0
NGL_C.US,60,20240416,180000,26.8192,26.84,26.8192,26.825,325,0
NGL_C.US,60,20240416,190000,26.84,26.84,26.8252,26.8252,356,0
NGL_C.US,60,20240416,200000,26.83,26.84,26.83,26.84,1099,0
NGL_C.US,60,20240416,210000,26.84,26.85,26.84,26.85,1600,0
