<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSSM.US,60,20241211,160000,50,50,49.45,49.45,300,0
MSSM.US,60,20241211,170000,49.5,49.5808,49.5,49.5724,621,0
MSSM.US,60,20241211,180000,49.6,49.615,49.6,49.615,600,0
MSSM.US,60,20241211,190000,49.715,49.76,49.69,49.72,69664,0
MSSM.US,60,20241211,200000,49.7728,49.8262,49.7728,49.82,2183,0
MSSM.US,60,20241211,210000,49.75,49.86,49.75,49.85,2602,0
MSSM.US,60,20241211,220000,49.7716,49.7716,49.73,49.73,385,0
MSSM.US,60,20241212,170000,49.71,49.72,49.48,49.48,2864,0
MSSM.US,60,20241212,180000,49.5368,49.5368,49.5368,49.5368,134,0
MSSM.US,60,20241212,190000,49.505,49.64,49.505,49.51,31299,0
MSSM.US,60,20241212,210000,49.5134,49.5444,49.5134,49.5444,992,0
MSSM.US,60,20241212,220000,49.424,49.424,49.424,49.424,104,0
MSSM.US,60,20241213,160000,49.33,49.33,49.33,49.33,733,0
MSSM.US,60,20241213,170000,49,49,49,49,100,0
MSSM.US,60,20241213,180000,48.9478,49.0661,48.9478,49.0661,794,0
MSSM.US,60,20241213,190000,48.985,48.985,48.77,48.84,2102,0
MSSM.US,60,20241213,200000,48.95,48.99,48.85,48.8535,12404,0
MSSM.US,60,20241213,210000,48.9799,48.9799,48.85,48.88,531,0
MSSM.US,60,20241213,220000,48.9539,48.9539,48.93,48.93,647,0
MSSM.US,60,20241216,180000,49.25,49.265,49.2,49.2,634,0
MSSM.US,60,20241216,190000,49.285,49.285,49.21,49.23,3093,0
MSSM.US,60,20241216,200000,49.28,49.28,49.23,49.26,19882,0
MSSM.US,60,20241216,220000,49.27,49.3,49.1457,49.1457,12019,0
MSSM.US,60,20241217,170000,48.8469,48.8469,48.6465,48.71,1083,0
MSSM.US,60,20241217,190000,48.8036,48.83,48.7,48.795,3104,0
MSSM.US,60,20241217,200000,48.815,48.84,48.75,48.84,10743,0
MSSM.US,60,20241217,210000,48.795,48.795,48.73,48.73,600,0
MSSM.US,60,20241217,220000,48.56,48.63,48.52,48.6215,1542,0
MSSM.US,60,20241218,160000,48.806,48.806,48.806,48.806,135,0
MSSM.US,60,20241218,170000,48.8049,48.8049,48.8049,48.8049,117,0
MSSM.US,60,20241218,180000,48.78,48.8,48.7506,48.7506,742,0
MSSM.US,60,20241218,190000,48.77,48.77,48.7196,48.77,15827,0
MSSM.US,60,20241218,200000,48.726,48.82,48.726,48.82,1140,0
MSSM.US,60,20241218,210000,48.49,48.51,48.49,48.51,1079,0
MSSM.US,60,20241218,220000,47.4844,47.4844,46.7723,46.7723,1326,0
MSSM.US,60,20241219,160000,47.1917,47.1917,47.1917,47.1917,130,0
MSSM.US,60,20241219,170000,47.02,47.03,46.5916,46.5916,10000,0
MSSM.US,60,20241219,180000,46.85,46.85,46.795,46.81,577,0
MSSM.US,60,20241219,190000,46.675,46.73,46.675,46.71,14390,0
MSSM.US,60,20241219,210000,46.9533,46.9533,46.9533,46.9533,110,0
MSSM.US,60,20241219,220000,46.8569,46.8569,46.68,46.68,304,0
MSSM.US,60,20241220,160000,46.6786,46.6786,46.6786,46.6786,187,0
MSSM.US,60,20241220,170000,46.9958,47.095,46.86,47.095,3670,0
MSSM.US,60,20241220,190000,47.4436,47.4436,47.4245,47.44,569,0
MSSM.US,60,20241220,200000,47.37,47.43,47.1999,47.1999,15525,0
MSSM.US,60,20241220,210000,47.33,47.33,47.28,47.28,2934,0
MSSM.US,60,20241220,220000,47.13,47.13,47.035,47.035,500,0
MSSM.US,60,20241223,170000,46.725,46.9821,46.6416,46.85,1665,0
MSSM.US,60,20241223,180000,46.74,46.92,46.74,46.9,739,0
