<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TPTA.US,60,20240411,170000,12.705,12.705,12.705,12.705,110,0
TPTA.US,60,20240411,200000,12.0501,12.0501,12.0501,12.0501,100,0
TPTA.US,60,20240411,210000,12.5,12.68,12.5,12.68,2194,0
TPTA.US,60,20240411,220000,12.59,12.59,12.59,12.59,291,0
TPTA.US,60,20240412,190000,12.06,12.06,12.06,12.06,100,0
TPTA.US,60,20240412,210000,12.05,12.05,12.05,12.05,195,0
TPTA.US,60,20240412,220000,12.15,12.15,12.15,12.15,300,0
TPTA.US,60,20240415,180000,12.05,12.05,12.05,12.05,100,0
TPTA.US,60,20240415,190000,12.273,12.273,12.273,12.273,138,0
TPTA.US,60,20240415,200000,12.36,12.36,12.36,12.36,200,0
TPTA.US,60,20240415,220000,12.05,12.05,12.05,12.05,300,0
TPTA.US,60,20240416,160000,12.15,12.189,12.15,12.16,1275,0
TPTA.US,60,20240416,190000,12.05,12.05,12.05,12.05,900,0
TPTA.US,60,20240416,200000,11.86,11.86,11.86,11.86,961,0
TPTA.US,60,20240416,220000,11.99,12,11.9,11.91,1241,0
TPTA.US,60,20240417,170000,11.84,11.84,11.5,11.5,2059,0
TPTA.US,60,20240417,190000,11.89,11.89,11.89,11.89,302,0
TPTA.US,60,20240417,200000,12.02,12.02,12.02,12.02,2098,0
TPTA.US,60,20240417,220000,12.25,12.25,12.15,12.24,6185,0
TPTA.US,60,20240418,210000,12.25,12.25,12.25,12.25,100,0
TPTA.US,60,20240418,220000,12.25,12.25,12.12,12.1239,621,0
TPTA.US,60,20240419,170000,12.15,12.15,12.15,12.15,300,0
TPTA.US,60,20240419,180000,12.16,12.16,12.05,12.05,500,0
TPTA.US,60,20240419,210000,12.05,12.05,12.05,12.05,495,0
TPTA.US,60,20240423,170000,12.2,12.2,12.2,12.2,1428,0
TPTA.US,60,20240423,180000,12.168,12.168,12.168,12.168,643,0
TPTA.US,60,20240423,200000,12.15,12.2499,12.15,12.2499,779,0
TPTA.US,60,20240423,210000,12.25,12.25,12.25,12.25,100,0
TPTA.US,60,20240424,220000,12.3001,12.66,12.3,12.3,500,0
TPTA.US,60,20240425,200000,12.6,12.6,12.6,12.6,100,0
TPTA.US,60,20240425,220000,12.6,12.68,12.6,12.68,1190,0
TPTA.US,60,20240426,180000,12.41,12.41,12.4,12.4,600,0
TPTA.US,60,20240426,220000,12.27,12.39,12.27,12.39,300,0
TPTA.US,60,20240430,160000,12.45,12.45,12.412,12.412,300,0
TPTA.US,60,20240430,170000,12.512,12.512,12.51,12.51,300,0
TPTA.US,60,20240430,180000,12.37,12.37,12.35,12.35,1175,0
TPTA.US,60,20240430,190000,12.16,12.16,12.16,12.16,100,0
