<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NMR.US,60,20240411,160000,6.21,6.26,6.21,6.23,87277,0
NMR.US,60,20240411,170000,6.23,6.23,6.17,6.17,159975,0
NMR.US,60,20240411,180000,6.17,6.21,6.165,6.2099,242908,0
NMR.US,60,20240411,190000,6.21,6.22,6.205,6.22,101712,0
NMR.US,60,20240411,200000,6.215,6.24,6.21,6.236,194872,0
NMR.US,60,20240411,210000,6.235,6.25,6.23,6.23,255855,0
NMR.US,60,20240411,220000,6.23,6.25,6.23,6.24,213828,0
NMR.US,60,20240412,160000,6.18,6.1962,6.16,6.165,75672,0
NMR.US,60,20240412,170000,6.17,6.17,6.13,6.13,224158,0
NMR.US,60,20240412,180000,6.135,6.15,6.12,6.15,135179,0
NMR.US,60,20240412,190000,6.145,6.145,6.13,6.13,361130,0
NMR.US,60,20240412,200000,6.1375,6.1375,6.1,6.12,385222,0
NMR.US,60,20240412,210000,6.12,6.14,6.1,6.1,310206,0
NMR.US,60,20240412,220000,6.1,6.12,6.09,6.11,704610,0
NMR.US,60,20240415,160000,6.19,6.24,6.19,6.215,54474,0
NMR.US,60,20240415,170000,6.22,6.23,6.185,6.185,162327,0
NMR.US,60,20240415,180000,6.185,6.22,6.1714,6.22,207363,0
NMR.US,60,20240415,190000,6.215,6.22,6.18,6.19,65760,0
NMR.US,60,20240415,200000,6.18,6.19,6.125,6.14,673732,0
NMR.US,60,20240415,210000,6.1413,6.15,6.125,6.14,429500,0
NMR.US,60,20240415,220000,6.14,6.14,6.12,6.13,338593,0
NMR.US,60,20240416,160000,5.93,5.97,5.88,5.9,105849,0
NMR.US,60,20240416,170000,5.9,5.93,5.88,5.9025,259856,0
NMR.US,60,20240416,180000,5.905,5.95,5.905,5.935,275008,0
NMR.US,60,20240416,190000,5.935,5.9375,5.92,5.93,143714,0
NMR.US,60,20240416,200000,5.93,5.945,5.905,5.935,296526,0
NMR.US,60,20240416,210000,5.94,5.9584,5.9125,5.935,292055,0
NMR.US,60,20240416,220000,5.935,5.94,5.915,5.92,397349,0
NMR.US,60,20240417,160000,5.86,5.885,5.84,5.87,237079,0
NMR.US,60,20240417,170000,5.87,5.885,5.85,5.855,222043,0
NMR.US,60,20240417,180000,5.855,5.87,5.8421,5.86,166872,0
NMR.US,60,20240417,190000,5.855,5.86,5.84,5.85,194212,0
NMR.US,60,20240417,200000,5.85,5.87,5.845,5.87,212824,0
NMR.US,60,20240417,210000,5.87,5.9,5.87,5.87,454774,0
NMR.US,60,20240417,220000,5.87,5.88,5.86,5.86,689743,0
NMR.US,60,20240418,160000,5.89,5.92,5.87,5.88,160763,0
NMR.US,60,20240418,170000,5.8803,5.91,5.88,5.895,153458,0
NMR.US,60,20240418,180000,5.895,5.915,5.895,5.8998,69420,0
NMR.US,60,20240418,190000,5.895,5.91,5.87,5.8775,102445,0
NMR.US,60,20240418,200000,5.875,5.88,5.85,5.865,379193,0
NMR.US,60,20240418,210000,5.87,5.88,5.855,5.86,202197,0
NMR.US,60,20240418,220000,5.855,5.88,5.855,5.87,309767,0
NMR.US,60,20240419,160000,5.75,5.8,5.7033,5.795,266175,0
NMR.US,60,20240419,170000,5.79,5.8,5.77,5.795,264576,0
NMR.US,60,20240419,180000,5.79,5.795,5.77,5.775,253023,0
NMR.US,60,20240419,190000,5.775,5.78,5.7401,5.775,313108,0
NMR.US,60,20240419,200000,5.775,5.79,5.765,5.785,234250,0
NMR.US,60,20240419,210000,5.785,5.785,5.75,5.755,222407,0
NMR.US,60,20240419,220000,5.755,5.78,5.7501,5.775,493946,0
NMR.US,60,20240422,160000,5.848,5.865,5.83,5.855,110860,0
NMR.US,60,20240422,170000,5.855,5.89,5.85,5.865,269847,0
NMR.US,60,20240422,180000,5.865,5.875,5.8425,5.87,377830,0
NMR.US,60,20240422,190000,5.88,5.89,5.87,5.875,326428,0
NMR.US,60,20240422,200000,5.875,5.92,5.875,5.92,238237,0
NMR.US,60,20240422,210000,5.915,5.92,5.895,5.895,243508,0
NMR.US,60,20240422,220000,5.9,5.9,5.87,5.88,362544,0
NMR.US,60,20240423,160000,5.91,5.91,5.88,5.9,79898,0
NMR.US,60,20240423,170000,5.905,5.91,5.89,5.905,92844,0
NMR.US,60,20240423,180000,5.9075,5.91,5.885,5.89,132756,0
NMR.US,60,20240423,190000,5.89,5.92,5.885,5.9,227861,0
