<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TOV.US,60,20250303,160000,25.1156,25.1156,24.99,25.0166,3645,0
TOV.US,60,20250303,170000,24.9,24.9999,24.87,24.91,18775,0
TOV.US,60,20250303,180000,24.91,24.92,24.85,24.906,15501,0
TOV.US,60,20250303,190000,24.94,24.94,24.91,24.91,800,0
TOV.US,60,20250303,200000,24.84,24.84,24.71,24.74,5693,0
TOV.US,60,20250303,210000,24.78,24.79,24.65,24.65,2450,0
TOV.US,60,20250303,220000,24.6,24.6,24.42,24.47,8005,0
TOV.US,60,20250304,160000,24.35,24.359,24.239,24.239,1328,0
TOV.US,60,20250304,170000,24.13,24.13,24.11,24.11,823,0
TOV.US,60,20250304,180000,24.105,24.21,24.0831,24.21,1270,0
TOV.US,60,20250304,190000,24.27,24.2972,24.255,24.27,3769,0
TOV.US,60,20250304,200000,24.215,24.3862,24.215,24.3862,4555,0
TOV.US,60,20250304,210000,24.46,24.46,24.4298,24.4298,1200,0
TOV.US,60,20250304,220000,24.5,24.58,24.19,24.23,45460,0
TOV.US,60,20250305,160000,24.28,24.28,24.24,24.24,4163,0
TOV.US,60,20250305,170000,24.27,24.33,24.2,24.2,500,0
TOV.US,60,20250305,180000,24.19,24.19,24.11,24.11,2156,0
TOV.US,60,20250305,190000,24.2216,24.35,24.2216,24.33,5213,0
TOV.US,60,20250305,200000,24.4,24.4,24.393,24.393,200,0
TOV.US,60,20250305,210000,24.51,24.51,24.47,24.5,3501,0
TOV.US,60,20250305,220000,24.5547,24.56,24.47,24.47,3800,0
TOV.US,60,20250306,170000,24.32,24.38,24.27,24.2899,23210,0
TOV.US,60,20250306,180000,24.33,24.37,24.21,24.21,671020,0
TOV.US,60,20250306,190000,24.08,24.08,24.02,24.03,6730,0
TOV.US,60,20250306,200000,24.08,24.09,23.97,24.04,6782,0
TOV.US,60,20250306,210000,24,24,23.97,23.97,767,0
TOV.US,60,20250306,220000,24.08,24.08,24.03,24.07,1400,0
TOV.US,60,20250307,160000,24.16,24.16,24.16,24.16,1500,0
TOV.US,60,20250307,170000,24.1148,24.1198,24,24,960,0
TOV.US,60,20250307,180000,23.95,23.95,23.7405,23.7405,253709,0
TOV.US,60,20250307,190000,23.91,24.05,23.91,24.05,500,0
TOV.US,60,20250307,210000,24.22,24.22,24.14,24.14,822,0
TOV.US,60,20250307,220000,24.1602,24.21,24.1602,24.2,1706,0
TOV.US,60,20250310,150000,23.83,23.83,23.83,23.83,500,0
TOV.US,60,20250310,160000,23.74,23.74,23.74,23.74,200,0
TOV.US,60,20250310,170000,23.7,23.722,23.7,23.722,200,0
TOV.US,60,20250310,190000,23.6,23.62,23.5,23.52,11186,0
TOV.US,60,20250310,200000,23.52,23.53,23.51,23.51,1100,0
TOV.US,60,20250310,210000,23.51,23.57,23.47,23.53,6507,0
TOV.US,60,20250311,170000,23.3465,23.4,23.3465,23.4,300,0
TOV.US,60,20250311,180000,23.3599,23.3599,23.3599,23.3599,213,0
TOV.US,60,20250311,190000,23.235,23.235,23.235,23.235,200,0
TOV.US,60,20250311,210000,23.36,23.36,23.36,23.36,100,0
TOV.US,60,20250312,150000,23.5246,23.5246,23.5246,23.5246,257,0
TOV.US,60,20250312,160000,23.48,23.48,23.35,23.35,450,0
TOV.US,60,20250312,170000,23.25,23.25,23.25,23.25,5000,0
TOV.US,60,20250312,190000,23.539,23.539,23.4441,23.4441,606,0
TOV.US,60,20250312,200000,23.4635,23.53,23.43,23.53,824,0
TOV.US,60,20250312,210000,23.48,23.49,23.45,23.49,700,0
TOV.US,60,20250313,160000,23.3835,23.3835,23.34,23.34,519,0
TOV.US,60,20250313,170000,23.3599,23.3599,23.25,23.25,780,0
TOV.US,60,20250313,180000,23.205,23.205,23.2,23.2,700,0
TOV.US,60,20250313,190000,23.15,23.1598,23.15,23.1598,900,0
TOV.US,60,20250313,200000,23.1585,23.2248,23.1585,23.2248,315,0
TOV.US,60,20250313,210000,23.17,23.17,23.12,23.13,699,0
TOV.US,60,20250314,160000,23.4,23.4,23.33,23.35,1801,0
TOV.US,60,20250314,170000,23.5096,23.5396,23.5096,23.5396,774,0
TOV.US,60,20250314,180000,23.52,23.56,23.52,23.56,2202,0
TOV.US,60,20250314,190000,23.56,23.589,23.56,23.589,3535,0
TOV.US,60,20250314,200000,23.5033,23.568,23.5033,23.568,275,0
TOV.US,60,20250314,210000,23.57,23.57,23.53,23.53,600,0
TOV.US,60,20250317,150000,23.5999,23.71,23.5999,23.71,200,0
TOV.US,60,20250317,170000,23.63,23.65,23.63,23.65,523,0
TOV.US,60,20250317,180000,23.6675,23.6675,23.6675,23.6675,422,0
TOV.US,60,20250317,210000,23.85,23.85,23.8085,23.8085,310,0
TOV.US,60,20250318,160000,23.54,23.54,23.54,23.54,100,0
TOV.US,60,20250318,170000,23.46,23.46,23.4353,23.455,550,0
TOV.US,60,20250318,190000,23.46,23.5393,23.46,23.5393,406,0
TOV.US,60,20250318,210000,23.495,23.495,23.495,23.495,150,0
TOV.US,60,20250319,150000,23.5959,23.5959,23.5959,23.5959,423,0
TOV.US,60,20250319,160000,23.64,23.64,23.64,23.64,3385,0
TOV.US,60,20250319,170000,23.69,23.69,23.6899,23.69,392,0
TOV.US,60,20250319,180000,23.685,23.685,23.677,23.677,823,0
TOV.US,60,20250319,190000,23.688,23.688,23.5896,23.5896,396,0
TOV.US,60,20250319,200000,23.65,23.7,23.65,23.7,300,0
TOV.US,60,20250319,210000,23.79,23.79,23.78,23.78,238,0
TOV.US,60,20250320,150000,23.6577,23.72,23.6577,23.71,2710,0
TOV.US,60,20250320,160000,23.81,23.81,23.81,23.81,100,0
TOV.US,60,20250320,170000,23.86,23.86,23.86,23.86,100,0
TOV.US,60,20250320,180000,23.8,23.8,23.75,23.75,730,0
TOV.US,60,20250320,190000,23.7374,23.7374,23.7,23.7,4771,0
TOV.US,60,20250320,200000,23.6637,23.68,23.6637,23.68,300,0
TOV.US,60,20250320,210000,23.71,23.76,23.71,23.76,2180,0
