<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XYZG.US,D,20250404,000000,12.89,12.9,12.84,12.8806,390,0
XYZG.US,D,20250407,000000,11.49,14.14,11.49,13.0194,3444,0
XYZG.US,D,20250408,000000,14.26,14.26,12.2529,12.2529,2569,0
XYZG.US,D,20250409,000000,12.868,15.77,12.2,15.7658,8528,0
XYZG.US,D,20250410,000000,13.59,14.0458,13.59,14.0458,11421,0
XYZG.US,D,20250411,000000,13.474452,14.69,13.474452,14.5048,3540,0
XYZG.US,D,20250414,000000,15.56,15.56,14.83,14.935,21879,0
XYZG.US,D,20250415,000000,15.365202,15.59,15.12,15.1597,1612,0
XYZG.US,D,20250416,000000,14.82,14.82,13.931,14.3734,1360,0
XYZG.US,D,20250417,000000,14.36,14.61,14.36,14.4181,765,0
XYZG.US,D,20250421,000000,14.06,14.06,13.3336,13.6193,1026,0
XYZG.US,D,20250422,000000,14.205,14.87,14.205,14.6313,2991,0
XYZG.US,D,20250423,000000,16.24,16.8282,15.36,15.3946,5669,0
XYZG.US,D,20250424,000000,15.16,16.2954,15.16,16.2954,783,0
XYZG.US,D,20250425,000000,16.66,16.6827,16.41,16.6827,1527,0
XYZG.US,D,20250428,000000,16.55,16.8892,16.55,16.8892,1246,0
XYZG.US,D,20250429,000000,17.071,17.5163,17.071,17.5163,1253,0
XYZG.US,D,20250430,000000,16.18,16.8393,16.18,16.8393,533,0
XYZG.US,D,20250501,000000,17.42,17.42,16.914,16.9175,34123,0
XYZG.US,D,20250502,000000,9.4,10.249,8.91,9.99,553490,0
XYZG.US,D,20250505,000000,9.71,10.1096,9.27,10.03,154337,0
XYZG.US,D,20250506,000000,9.591,10.58,9.58,10.28,108492,0
XYZG.US,D,20250507,000000,10.42,10.59,10.3,10.58,54774,0
XYZG.US,D,20250508,000000,10.71,11.71,10.69,11.49,154703,0
XYZG.US,D,20250509,000000,11.66,11.955,11.5,11.56,72579,0
XYZG.US,D,20250512,000000,12.97,13.74,12.97,13.74,41807,0
XYZG.US,D,20250513,000000,13.85,15.4801,13.75,15.25,55242,0
XYZG.US,D,20250514,000000,16,16.06,15.0404,15.4781,11047,0
XYZG.US,D,20250515,000000,14.778,15.053,14.3815,14.6716,17613,0
XYZG.US,D,20250516,000000,14.499,15,14.499,14.9782,8841,0
XYZG.US,D,20250519,000000,14.63,15.33,14.63,15.33,6744,0
XYZG.US,D,20250520,000000,15.4,15.4,14.671,14.8,14266,0
XYZG.US,D,20250521,000000,14.49,14.55,13.7,13.83,12485,0
XYZG.US,D,20250522,000000,14.3,15.565,14.3,15.35,27881,0
XYZG.US,D,20250523,000000,14.63,15.5,14.48,15.5,12848,0
XYZG.US,D,20250527,000000,16.32,17.38,16.27,17.3,24296,0
XYZG.US,D,20250528,000000,17.27,17.35,16.78,17.07,9274,0
XYZG.US,D,20250529,000000,17.275,17.7296,16.94,17.17,13146,0
XYZG.US,D,20250530,000000,16.92,17.05,16.54,16.95,5968,0
XYZG.US,D,20250602,000000,16.509,17.07,16.25,17.07,5487,0
