<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TDACU.US,D,20241224,000000,10.01,10.02,10.01,10.01,211927,0
TDACU.US,D,20241226,000000,10.01,10.03,10.01,10.01,73343,0
TDACU.US,D,20241230,000000,10.018,10.03,10.018,10.03,2138,0
TDACU.US,D,20241231,000000,10.01,10.02,10.01,10.02,53784,0
TDACU.US,D,20250102,000000,10.04,10.04,10.03,10.03,1109,0
TDACU.US,D,20250103,000000,10.022,10.03,10.022,10.03,2183,0
TDACU.US,D,20250106,000000,10.05,10.05,10.03,10.04,851,0
TDACU.US,D,20250107,000000,10.01,10.03,10.01,10.03,85626,0
TDACU.US,D,20250110,000000,10.02,10.0386,10.02,10.0386,310,0
TDACU.US,D,20250113,000000,10.03,10.04,10.03,10.04,132425,0
TDACU.US,D,20250114,000000,10.01,10.04,10.01,10.04,641,0
TDACU.US,D,20250115,000000,10.01,10.04,10.01,10.04,500,0
TDACU.US,D,20250116,000000,10.04,10.04,10.02,10.04,1858,0
TDACU.US,D,20250121,000000,10.0004,10.04,10,10.04,4423,0
TDACU.US,D,20250122,000000,10.01,10.04,10.01,10.04,385,0
TDACU.US,D,20250123,000000,10.04,10.04,10.02,10.04,9548,0
TDACU.US,D,20250124,000000,10.04,10.04,10.04,10.04,15041,0
TDACU.US,D,20250127,000000,10,10.05,10,10.05,523,0
TDACU.US,D,20250128,000000,10.05,10.05,10.0348,10.04,1016,0
TDACU.US,D,20250129,000000,10.05,10.05,10.0349,10.05,116558,0
TDACU.US,D,20250130,000000,10.0499,10.05,10.0449,10.05,5459,0
TDACU.US,D,20250131,000000,10.05,10.05,10.05,10.05,7051,0
TDACU.US,D,20250203,000000,10.05,10.05,10.0449,10.0499,26334,0
TDACU.US,D,20250204,000000,10.05,10.0606,10.05,10.06,201709,0
TDACU.US,D,20250205,000000,10.07,10.07,10.07,10.07,268,0
TDACU.US,D,20250207,000000,10.06,10.075,10.0599,10.06,25716,0
TDACU.US,D,20250210,000000,10.07,10.07,10.07,10.07,414,0
