<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VAPEW.US,D,20250616,000000,0.0479,0.0479,0.0304,0.0304,757,0
VAPEW.US,D,20250617,000000,0.026,0.0296,0.026,0.0261,1292,0
VAPEW.US,D,20250618,000000,0.0399,0.0399,0.028,0.0398,2311,0
VAPEW.US,D,20250623,000000,0.0396,0.0396,0.0396,0.0396,208,0
VAPEW.US,D,20250626,000000,0.0375,0.037683,0.0263,0.0263,1679,0
VAPEW.US,D,20250627,000000,0.037,0.037,0.037,0.037,252,0
VAPEW.US,D,20250701,000000,0.037,0.037,0.026,0.026,19330,0
VAPEW.US,D,20250702,000000,0.0226,0.0228,0.0226,0.0228,3435,0
VAPEW.US,D,20250707,000000,0.0344,0.0344,0.0344,0.0344,800,0
VAPEW.US,D,20250708,000000,0.0343,0.0343,0.0343,0.0343,100,0
VAPEW.US,D,20250714,000000,0.0281,0.0295,0.0281,0.0281,8049,0
VAPEW.US,D,20250715,000000,0.0326,0.0326,0.022201,0.0226,75956,0
VAPEW.US,D,20250718,000000,0.0369,0.037,0.03,0.0325,8446,0
