<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STAI.US,D,20250106,000000,2.45,2.9,2.23,2.23,1603221,0
STAI.US,D,20250107,000000,2.25,3.34,2.2,2.77,3304808,0
STAI.US,D,20250108,000000,2.7,2.8,1.7575,2.18,4001559,0
STAI.US,D,20250110,000000,2.71,2.8758,2.02,2.28,6864952,0
STAI.US,D,20250113,000000,2.06,2.1,1.91,1.97,820215,0
STAI.US,D,20250114,000000,1.94,2.4,1.915,2.18,759104,0
STAI.US,D,20250115,000000,2.16,2.26,2.02,2.06,303217,0
STAI.US,D,20250116,000000,1.96,2.06,1.9,1.945,353145,0
STAI.US,D,20250117,000000,1.99,1.99,1.57,1.75,532943,0
STAI.US,D,20250121,000000,1.75,1.8254,1.4123,1.47,941081,0
STAI.US,D,20250122,000000,1.48,2.81,1.47,2.16,51847229,0
STAI.US,D,20250123,000000,2.1,2.1389,1.7606,1.89,3062167,0
STAI.US,D,20250124,000000,2.04,2.04,1.7,1.71,1401528,0
STAI.US,D,20250127,000000,1.71,1.73,1.55,1.56,675311,0
STAI.US,D,20250128,000000,1.55,1.71,1.45,1.55,530915,0
STAI.US,D,20250129,000000,1.55,1.5908,1.47,1.5,288373,0
STAI.US,D,20250130,000000,1.84,1.87,1.31,1.38,22857594,0
STAI.US,D,20250131,000000,1.44,1.58,1.37,1.49,1249548,0
STAI.US,D,20250203,000000,1.42,1.5224,1.35,1.48,893231,0
STAI.US,D,20250204,000000,1.46,1.48,1.37,1.4,752484,0
STAI.US,D,20250205,000000,1.35,1.42,1.33,1.37,1125620,0
STAI.US,D,20250206,000000,1.33,1.42,1.33,1.4,675900,0
STAI.US,D,20250207,000000,1.42,1.45,1.35,1.45,521740,0
STAI.US,D,20250210,000000,1.43,1.45,1.37,1.43,568483,0
STAI.US,D,20250211,000000,1.38,1.4,1.34,1.35,404751,0
STAI.US,D,20250212,000000,1.3,1.46,1.23,1.43,697830,0
STAI.US,D,20250213,000000,1.44,1.7194,1.36,1.68,4796864,0
STAI.US,D,20250214,000000,2.31,2.38,1.7,2.05,43293175,0
STAI.US,D,20250218,000000,2.13,4.4099,2.12,3.51,147713090,0
STAI.US,D,20250219,000000,2.94,3.6,2.7658,3.14,8234180,0
STAI.US,D,20250220,000000,3.42,5.2,3.26,3.63,67096986,0
STAI.US,D,20250221,000000,4.13,4.24,3.05,3.29,7609881,0
STAI.US,D,20250224,000000,3.21,3.23,2.06,2.1401,5142553,0
STAI.US,D,20250225,000000,2.17,3.18,2.17,2.57,12321251,0
STAI.US,D,20250226,000000,2.43,2.748,2.34,2.51,2852228,0
STAI.US,D,20250227,000000,2.54,2.7,2.38,2.42,1591939,0
STAI.US,D,20250228,000000,2.32,2.43,2.13,2.31,1193633,0
STAI.US,D,20250303,000000,2.35,2.49,1.99,2,1370722,0
STAI.US,D,20250304,000000,1.78,2.05,1.76,2.01,1076502,0
STAI.US,D,20250305,000000,2.04,2.14,2,2.05,604632,0
STAI.US,D,20250306,000000,1.98,2.1297,1.9,1.91,719687,0
STAI.US,D,20250307,000000,1.91,1.91,1.71,1.84,704888,0
STAI.US,D,20250310,000000,1.93,1.9629,1.7001,1.73,440053,0
STAI.US,D,20250311,000000,1.71,1.8499,1.71,1.82,450131,0
STAI.US,D,20250312,000000,1.85,1.93,1.66,1.7,657398,0
STAI.US,D,20250313,000000,1.73,1.815,1.7,1.74,341116,0
