<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SOUX.US,D,20250624,000000,21.88,22.98,21.4757,21.4757,12460,0
SOUX.US,D,20250625,000000,22.81,23.81,20.17,20.27,24105,0
SOUX.US,D,20250626,000000,20.73,22.8,20.51,21.78,33114,0
SOUX.US,D,20250627,000000,22.7,22.873,20.46,21.37,32867,0
SOUX.US,D,20250630,000000,22.39,25.9,22.39,25.2,57369,0
SOUX.US,D,20250701,000000,24.39,24.39,21.3,24.09,52012,0
SOUX.US,D,20250702,000000,23.93,27.78,23.93,27.49,83897,0
SOUX.US,D,20250703,000000,28.39,28.39,26.3951,26.72,34848,0
SOUX.US,D,20250707,000000,26,29.09,23.9266,28.13,66424,0
SOUX.US,D,20250708,000000,31.34,37.92,30.87,34.63,182207,0
SOUX.US,D,20250709,000000,37.65,37.65,33.1807,35.52,156441,0
SOUX.US,D,20250710,000000,35.77,38.05,29.9,32.27,210306,0
SOUX.US,D,20250711,000000,31.56,32.18,27.989,28.49,87536,0
SOUX.US,D,20250714,000000,26.16,27.8785,23.93,27.81,192617,0
SOUX.US,D,20250715,000000,29.1,29.1,26.3807,27.1,160487,0
SOUX.US,D,20250716,000000,28.08,29.7299,25.1701,29.4435,140764,0
SOUX.US,D,20250717,000000,30.83,34.1401,30.83,33.5239,205962,0
SOUX.US,D,20250718,000000,35.45,35.74,31.95,34.47,185757,0
SOUX.US,D,20250721,000000,35.55,38,28.301,28.52,240528,0
