<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TOVX.US,60,20240411,160000,11.475,11.475,10.8,10.9025,305.04,0
TOVX.US,60,20240411,170000,10.8375,11.5,10.8,11.15,73.4,0
TOVX.US,60,20240411,180000,11.15,11.1722,11,11.0025,65.8,0
TOVX.US,60,20240411,190000,11.5,11.5,11.5,11.5,8,0
TOVX.US,60,20240411,210000,11.005,11.005,11,11,12.28,0
TOVX.US,60,20240411,220000,10.9975,11,10.9975,11,19.8,0
TOVX.US,60,20240412,160000,11.25,11.25,11.2125,11.2125,65.48,0
TOVX.US,60,20240412,170000,11.25,11.5,11.25,11.5,40,0
TOVX.US,60,20240412,180000,11.0775,11.1225,10.75,10.8725,552.76,0
TOVX.US,60,20240412,190000,10.8725,11.29,10.7525,11,438.08,0
TOVX.US,60,20240412,200000,11.25,11.25,11,11.245,269.96,0
TOVX.US,60,20240412,210000,11,11.1237,11,11,46,0
TOVX.US,60,20240412,220000,11.2475,11.2475,11.0525,11.2375,149.52,0
TOVX.US,60,20240415,160000,11.1925,11.1925,11.1925,11.1925,6.8,0
TOVX.US,60,20240415,170000,11,11.25,10.75,10.8275,1048.72,0
TOVX.US,60,20240415,180000,11.25,11.25,11.25,11.25,20,0
TOVX.US,60,20240415,190000,11,11,10.75,11,33.160000000000004,0
TOVX.US,60,20240415,210000,11.25,11.25,11.25,11.25,4,0
TOVX.US,60,20240415,220000,10.7752,11,10.7752,10.825,23.84,0
TOVX.US,60,20240416,160000,10.7725,10.7725,10.75,10.7525,21.36,0
TOVX.US,60,20240416,170000,10.75,10.7725,10.75,10.7575,20,0
TOVX.US,60,20240416,180000,10.7575,10.7725,10.7575,10.76,16.8,0
TOVX.US,60,20240416,190000,10.765,10.775,10.765,10.775,31.68,0
TOVX.US,60,20240416,200000,10.7725,10.7725,10.75,10.75,107.44,0
TOVX.US,60,20240416,210000,10.75,10.7725,10.75,10.7612,68,0
TOVX.US,60,20240416,220000,10.7613,10.7725,10.7525,10.77,208,0
TOVX.US,60,20240417,160000,10.75,10.7525,10.75,10.75,20.28,0
TOVX.US,60,20240417,170000,10.7525,10.7525,10.51,10.51,523.64,0
TOVX.US,60,20240417,180000,10.5538,10.5538,10.5538,10.5538,9.48,0
TOVX.US,60,20240417,190000,11.0825,11.24,10.51,10.51,134.2,0
TOVX.US,60,20240417,200000,10.875,10.875,10.875,10.875,4,0
TOVX.US,60,20240417,210000,11.205,11.205,11.205,11.205,17.080000000000002,0
TOVX.US,60,20240417,220000,11.25,11.25,10.6125,10.875,33.24,0
TOVX.US,60,20240418,170000,11.25,11.25,11.1875,11.1875,16.36,0
TOVX.US,60,20240418,180000,10.9425,11.2275,10.7,11.2275,75.12,0
TOVX.US,60,20240418,190000,11.175,11.175,11.175,11.175,4,0
