<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EQX.US,60,20240411,160000,5.98,6,5.905,5.9401,186498,0
EQX.US,60,20240411,170000,5.945,5.96,5.86,5.91,320775,0
EQX.US,60,20240411,180000,5.905,5.95,5.9,5.945,321600,0
EQX.US,60,20240411,190000,5.9475,5.97,5.93,5.97,212089,0
EQX.US,60,20240411,200000,5.97,6.01,5.97,5.9889,181269,0
EQX.US,60,20240411,210000,5.985,6.075,5.97,6.04,242489,0
EQX.US,60,20240411,220000,6.04,6.1,6.0311,6.1,450186,0
EQX.US,60,20240412,160000,6.3,6.36,6.215,6.355,640947,0
EQX.US,60,20240412,170000,6.35,6.39,6.21,6.3,1044549,0
EQX.US,60,20240412,180000,6.295,6.31,6.08,6.14,515347,0
EQX.US,60,20240412,190000,6.145,6.145,5.99,6.055,404377,0
EQX.US,60,20240412,200000,6.05,6.08,6,6.015,368055,0
EQX.US,60,20240412,210000,6.015,6.03,5.91,5.925,336101,0
EQX.US,60,20240412,220000,5.922,5.97,5.88,5.97,787485,0
EQX.US,60,20240415,160000,6.02,6.02,5.84,5.91,286674,0
EQX.US,60,20240415,170000,5.92,5.92,5.76,5.835,666267,0
EQX.US,60,20240415,180000,5.84,5.855,5.79,5.845,295951,0
EQX.US,60,20240415,190000,5.84,5.848,5.78,5.8,192755,0
EQX.US,60,20240415,200000,5.8,5.85,5.78,5.8494,248723,0
EQX.US,60,20240415,210000,5.846,5.846,5.78,5.84,232770,0
EQX.US,60,20240415,220000,5.835,5.89,5.82,5.87,578220,0
EQX.US,60,20240416,160000,5.68,5.785,5.67,5.7599,267318,0
EQX.US,60,20240416,170000,5.755,5.78,5.71,5.75,396867,0
EQX.US,60,20240416,180000,5.76,5.89,5.7534,5.855,290369,0
EQX.US,60,20240416,190000,5.845,5.89,5.845,5.89,100143,0
EQX.US,60,20240416,200000,5.885,5.89,5.81,5.84,224534,0
EQX.US,60,20240416,210000,5.83,5.9,5.82,5.9,211551,0
EQX.US,60,20240416,220000,5.89,5.9,5.8,5.8,381089,0
EQX.US,60,20240417,160000,5.89,5.985,5.84,5.95,123905,0
EQX.US,60,20240417,170000,5.95,5.99,5.9125,5.985,148985,0
EQX.US,60,20240417,180000,5.9825,6.026,5.9097,5.935,251605,0
EQX.US,60,20240417,190000,5.94,5.94,5.8,5.835,316223,0
EQX.US,60,20240417,200000,5.84,5.93,5.83,5.91,307601,0
EQX.US,60,20240417,210000,5.92,5.94,5.89,5.9,118929,0
EQX.US,60,20240417,220000,5.905,5.905,5.84,5.88,520715,0
EQX.US,60,20240418,160000,5.97,6.01,5.83,5.88,92659,0
EQX.US,60,20240418,170000,5.89,5.935,5.88,5.9275,155902,0
EQX.US,60,20240418,180000,5.93,5.95,5.88,5.9,142429,0
EQX.US,60,20240418,190000,5.905,5.93,5.9,5.93,83524,0
EQX.US,60,20240418,200000,5.9225,5.955,5.89,5.9005,185577,0
EQX.US,60,20240418,210000,5.905,5.905,5.84,5.87,140737,0
EQX.US,60,20240418,220000,5.87,5.9,5.8525,5.88,442124,0
EQX.US,60,20240419,160000,5.85,5.94,5.81,5.915,101438,0
EQX.US,60,20240419,170000,5.915,6.03,5.91,6,284152,0
EQX.US,60,20240419,180000,6,6.02,5.9701,6.02,220034,0
EQX.US,60,20240419,190000,6.02,6.055,5.99,6.055,199267,0
EQX.US,60,20240419,200000,6.055,6.07,6.03,6.03,159373,0
EQX.US,60,20240419,210000,6.035,6.035,5.97,6.02,297196,0
EQX.US,60,20240419,220000,6.0188,6.02,5.98,6,366707,0
EQX.US,60,20240422,160000,5.74,5.795,5.69,5.775,310472,0
EQX.US,60,20240422,170000,5.775,5.8599,5.77,5.8176,213598,0
EQX.US,60,20240422,180000,5.815,5.8195,5.7,5.775,363649,0
EQX.US,60,20240422,190000,5.775,5.785,5.72,5.74,308299,0
EQX.US,60,20240422,200000,5.74,5.775,5.7,5.705,895655,0
EQX.US,60,20240422,210000,5.705,5.71,5.66,5.675,284822,0
EQX.US,60,20240422,220000,5.67,5.688,5.63,5.67,735527,0
EQX.US,60,20240423,160000,5.6,5.8,5.54,5.785,226974,0
EQX.US,60,20240423,170000,5.79,5.8,5.66,5.7,442574,0
EQX.US,60,20240423,180000,5.7,5.71,5.665,5.705,307479,0
EQX.US,60,20240423,190000,5.71,5.8,5.71,5.78,261953,0
EQX.US,60,20240423,200000,5.775,5.78,5.75,5.77,177055,0
EQX.US,60,20240423,210000,5.77,5.79,5.73,5.73,264899,0
EQX.US,60,20240423,220000,5.7375,5.74,5.7,5.73,557905,0
EQX.US,60,20240424,160000,5.28,5.32,5.21,5.255,4491718,0
EQX.US,60,20240424,170000,5.255,5.28,5.21,5.27,4221378,0
EQX.US,60,20240424,180000,5.28,5.28,5.21,5.215,2314255,0
EQX.US,60,20240424,190000,5.215,5.27,5.215,5.245,1314680,0
EQX.US,60,20240424,200000,5.245,5.26,5.22,5.225,1606171,0
EQX.US,60,20240424,210000,5.225,5.24,5.18,5.235,2447357,0
EQX.US,60,20240424,220000,5.235,5.26,5.22,5.24,2610892,0
EQX.US,60,20240425,160000,5.25,5.26,5.2,5.2375,743426,0
EQX.US,60,20240425,170000,5.235,5.34,5.2,5.255,2918966,0
EQX.US,60,20240425,180000,5.255,5.27,5.21,5.24,2124487,0
EQX.US,60,20240425,190000,5.2475,5.26,5.2,5.215,2229182,0
EQX.US,60,20240425,200000,5.215,5.25,5.2,5.245,1269382,0
EQX.US,60,20240425,210000,5.245,5.27,5.21,5.245,2422418,0
EQX.US,60,20240425,220000,5.245,5.28,5.205,5.25,2504149,0
EQX.US,60,20240426,160000,5.28,5.33,5.23,5.275,973286,0
EQX.US,60,20240426,170000,5.275,5.31,5.23,5.28,1082897,0
EQX.US,60,20240426,180000,5.28,5.365,5.2792,5.36,1226924,0
EQX.US,60,20240426,190000,5.365,5.49,5.34,5.48,1746725,0
EQX.US,60,20240426,200000,5.48,5.54,5.475,5.53,995442,0
EQX.US,60,20240426,210000,5.53,5.545,5.47,5.475,604915,0
EQX.US,60,20240426,220000,5.475,5.54,5.46,5.53,1621707,0
EQX.US,60,20240429,160000,5.6,5.9296,5.54,5.6301,1126818,0
EQX.US,60,20240429,170000,5.6376,5.705,5.605,5.685,1115662,0
EQX.US,60,20240429,180000,5.685,5.69,5.6,5.635,563017,0
EQX.US,60,20240429,190000,5.63,5.66,5.585,5.5999,459922,0
EQX.US,60,20240429,200000,5.595,5.615,5.58,5.585,278802,0
EQX.US,60,20240429,210000,5.5825,5.66,5.5825,5.65,441121,0
EQX.US,60,20240429,220000,5.65,5.68,5.59,5.66,1315502,0
EQX.US,60,20240430,160000,5.46,5.6,5.44,5.595,704516,0
EQX.US,60,20240430,170000,5.59,5.605,5.475,5.54,615393,0
EQX.US,60,20240430,180000,5.545,5.55,5.45,5.46,909135,0
EQX.US,60,20240430,190000,5.46,5.49,5.38,5.405,925401,0
EQX.US,60,20240430,200000,5.4,5.445,5.39,5.405,459126,0
EQX.US,60,20240430,210000,5.41,5.44,5.39,5.415,426729,0
EQX.US,60,20240430,220000,5.41,5.43,5.38,5.395,1381378,0
EQX.US,60,20240501,160000,5.43,5.5,5.4,5.46,515516,0
EQX.US,60,20240501,170000,5.46,5.54,5.39,5.439,572719,0
EQX.US,60,20240501,180000,5.4394,5.4694,5.38,5.385,524761,0
EQX.US,60,20240501,190000,5.38,5.3886,5.35,5.365,197811,0
EQX.US,60,20240501,200000,5.36,5.39,5.35,5.39,164416,0
EQX.US,60,20240501,210000,5.38,5.6,5.37,5.595,1472774,0
EQX.US,60,20240501,220000,5.5998,5.64,5.42,5.43,1887174,0
EQX.US,60,20240502,160000,5.38,5.43,5.32,5.33,291973,0
EQX.US,60,20240502,170000,5.325,5.525,5.31,5.515,752169,0
EQX.US,60,20240502,180000,5.52,5.55,5.4601,5.4697,568982,0
EQX.US,60,20240502,190000,5.46,5.5,5.44,5.485,239111,0
EQX.US,60,20240502,200000,5.49,5.53,5.47,5.525,206048,0
EQX.US,60,20240502,210000,5.525,5.53,5.47,5.485,338832,0
EQX.US,60,20240502,220000,5.485,5.485,5.44,5.45,563747,0
EQX.US,60,20240503,160000,5.53,5.55,5.4,5.4899,159152,0
EQX.US,60,20240503,170000,5.5,5.56,5.42,5.445,247065,0
EQX.US,60,20240503,180000,5.45,5.48,5.4001,5.455,195913,0
EQX.US,60,20240503,190000,5.455,5.46,5.415,5.44,161522,0
EQX.US,60,20240503,200000,5.44,5.45,5.41,5.435,121926,0
EQX.US,60,20240503,210000,5.435,5.45,5.4,5.4,150184,0
EQX.US,60,20240503,220000,5.405,5.41,5.38,5.4,523180,0
EQX.US,60,20240506,160000,5.56,5.66,5.5,5.57,218487,0
EQX.US,60,20240506,170000,5.5799,5.63,5.555,5.58,310111,0
EQX.US,60,20240506,180000,5.58,5.605,5.57,5.595,221000,0
EQX.US,60,20240506,190000,5.595,5.61,5.57,5.585,311701,0
EQX.US,60,20240506,200000,5.5899,5.6,5.58,5.59,127809,0
EQX.US,60,20240506,210000,5.6,5.6,5.58,5.6,175396,0
EQX.US,60,20240506,220000,5.595,5.6,5.55,5.57,758685,0
EQX.US,60,20240507,160000,5.55,5.58,5.51,5.545,218702,0
EQX.US,60,20240507,170000,5.5493,5.61,5.535,5.5692,241527,0
EQX.US,60,20240507,180000,5.57,5.6,5.545,5.58,339250,0
EQX.US,60,20240507,190000,5.58,5.58,5.53,5.535,153010,0
EQX.US,60,20240507,200000,5.535,5.555,5.52,5.53,105622,0
EQX.US,60,20240507,210000,5.53,5.545,5.52,5.5225,114848,0
EQX.US,60,20240507,220000,5.525,5.57,5.5225,5.56,396385,0
EQX.US,60,20240508,160000,5.5,5.565,5.47,5.55,202630,0
