<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DC-WS.US,60,20240411,160000,1.15,1.15,1.15,1.15,1267,0
DC-WS.US,60,20240411,220000,1.11,1.11,1.11,1.11,100,0
DC-WS.US,60,20240412,160000,1.15,1.15,1.15,1.15,500,0
DC-WS.US,60,20240412,170000,1.1309,1.15,1.1309,1.15,26499,0
DC-WS.US,60,20240412,220000,1.15,1.15,1.15,1.15,24400,0
DC-WS.US,60,20240416,160000,1.12,1.12,1.11,1.11,300,0
DC-WS.US,60,20240416,220000,1.09,1.09,1.09,1.09,100,0
DC-WS.US,60,20240417,180000,1.02,1.02,1.02,1.02,200,0
DC-WS.US,60,20240417,190000,0.9998,0.9998,0.9998,0.9998,200,0
DC-WS.US,60,20240417,210000,1,1.06,0.8999,1.06,5527,0
DC-WS.US,60,20240418,160000,1.06,1.06,0.8788,0.8788,2150,0
DC-WS.US,60,20240418,190000,0.82,0.841,0.71,0.7974,35100,0
DC-WS.US,60,20240418,200000,0.797,0.8,0.759999,0.7899,6500,0
DC-WS.US,60,20240418,220000,0.7201,0.7201,0.7201,0.7201,200,0
DC-WS.US,60,20240419,180000,0.7888,0.7888,0.7888,0.7888,1000,0
DC-WS.US,60,20240419,210000,0.7101,0.7101,0.7,0.7,2634,0
DC-WS.US,60,20240419,220000,0.7001,0.7001,0.7001,0.7001,100,0
DC-WS.US,60,20240422,200000,0.7699,0.7699,0.7699,0.7699,100,0
DC-WS.US,60,20240422,220000,0.7999,0.8,0.7804,0.7913,15556,0
DC-WS.US,60,20240423,170000,0.74,0.74,0.74,0.74,500,0
DC-WS.US,60,20240423,180000,0.7477,0.7478,0.7477,0.7477,4800,0
DC-WS.US,60,20240425,220000,0.8,0.8,0.8,0.8,11941,0
DC-WS.US,60,20240426,160000,0.8,0.8,0.8,0.8,300,0
DC-WS.US,60,20240426,170000,0.8799,0.9,0.8,0.9,10100,0
DC-WS.US,60,20240426,200000,0.92,0.92,0.92,0.92,300,0
DC-WS.US,60,20240430,180000,0.8329,0.8329,0.8329,0.8329,140,0
DC-WS.US,60,20240501,220000,0.88,0.88,0.88,0.88,500,0
DC-WS.US,60,20240502,160000,0.8,0.84,0.7999,0.8399,1501,0
DC-WS.US,60,20240503,170000,0.756,0.766,0.756,0.7659,900,0
DC-WS.US,60,20240503,220000,0.7013,0.7013,0.7013,0.7013,100,0
DC-WS.US,60,20240506,160000,0.7713,0.7713,0.7713,0.7713,200,0
DC-WS.US,60,20240506,170000,0.8483,0.8483,0.8483,0.8483,500,0
DC-WS.US,60,20240506,180000,0.9,0.933,0.9,0.933,1500,0
DC-WS.US,60,20240506,200000,0.99,1.06,0.99,1.06,4960,0
DC-WS.US,60,20240506,210000,1.06,1.06,1.03,1.03,400,0
DC-WS.US,60,20240506,220000,0.99,0.99,0.99,0.99,700,0
DC-WS.US,60,20240508,200000,0.8911,0.8911,0.8911,0.8911,100,0
DC-WS.US,60,20240508,210000,0.802,0.802,0.802,0.802,100,0
DC-WS.US,60,20240508,220000,0.91,0.91,0.91,0.91,100,0
DC-WS.US,60,20240509,190000,0.83,0.83,0.83,0.83,301,0
DC-WS.US,60,20240510,160000,0.9129,0.9129,0.9129,0.9129,100,0
