<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MPTI.US,60,20240411,160000,26.5,26.8813,26.5,26.8813,1565,0
MPTI.US,60,20240411,170000,26.95,27.285,26.95,27.1076,2146,0
MPTI.US,60,20240411,180000,27.0473,27.1691,27.0026,27.0044,2259,0
MPTI.US,60,20240411,190000,27.15,27.6,27.12,27.59,5001,0
MPTI.US,60,20240411,200000,27.45,28.25,27.45,28.25,16112,0
MPTI.US,60,20240411,210000,28.63,29.2197,28.62,29.2197,8973,0
MPTI.US,60,20240411,220000,29.26,29.685,28.88,29.49,6854,0
MPTI.US,60,20240412,160000,29.29,29.5028,28.76,29.5028,3110,0
MPTI.US,60,20240412,170000,29.3404,29.94,29.26,29.92,3821,0
MPTI.US,60,20240412,180000,29.83,30.99,29.13,30.29,26483,0
MPTI.US,60,20240412,190000,29.47,29.99,29.0001,29.01,1588,0
MPTI.US,60,20240412,200000,29,29.1654,28.14,28.4706,6260,0
MPTI.US,60,20240412,210000,28.15,29,28.03,28.7895,2084,0
MPTI.US,60,20240412,220000,28.0301,28.65,28.0301,28.52,2425,0
MPTI.US,60,20240415,160000,28.69,28.69,27.3558,28.49,3469,0
MPTI.US,60,20240415,170000,27.62,28,27.51,27.7,2956,0
MPTI.US,60,20240415,180000,27.85,28.46,27.85,28.46,3889,0
MPTI.US,60,20240415,190000,28.99,29.4,28.59,29.4,2500,0
MPTI.US,60,20240415,200000,29.1794,29.1794,28.08,28.08,1307,0
MPTI.US,60,20240415,210000,28.105,28.45,28.0001,28.0001,340,0
MPTI.US,60,20240415,220000,28.2813,28.2813,27.04,27.04,2921,0
MPTI.US,60,20240416,160000,27.01,27.8251,27.01,27.49,1863,0
MPTI.US,60,20240416,170000,27.4,27.592,27.295,27.295,700,0
MPTI.US,60,20240416,180000,27.49,27.49,27.0566,27.245,660,0
MPTI.US,60,20240416,190000,27.3,27.4999,27.25,27.4999,1100,0
MPTI.US,60,20240416,200000,27.4335,27.4335,27.26,27.26,200,0
MPTI.US,60,20240416,210000,27.43,27.719,27.255,27.71,10939,0
MPTI.US,60,20240416,220000,28.54,28.54,27.25,27.25,11076,0
MPTI.US,60,20240417,160000,27.52,27.87,27.52,27.87,697,0
MPTI.US,60,20240417,170000,27.57,28.233,27.56,27.56,566,0
MPTI.US,60,20240417,180000,27.675,27.675,27.56,27.56,225,0
MPTI.US,60,20240417,190000,27.8163,27.8163,27.24,27.515,1848,0
MPTI.US,60,20240417,200000,27.83,27.83,27.035,27.035,2210,0
MPTI.US,60,20240417,220000,27.4192,27.4192,26.1,26.1,8388,0
MPTI.US,60,20240418,160000,26.3,26.75,26.3,26.41,537,0
MPTI.US,60,20240418,170000,26.5352,27.33,26.4,26.765,3466,0
MPTI.US,60,20240418,180000,26.84,27.6722,23.77,24.54,15725,0
MPTI.US,60,20240418,190000,24.06,25.29,24.01,25.29,7536,0
MPTI.US,60,20240418,200000,25.02,25.02,24.1,24.61,6397,0
MPTI.US,60,20240418,210000,24.4858,24.61,23,24.16,30676,0
MPTI.US,60,20240418,220000,23.99,24.48,23,23.79,20515,0
MPTI.US,60,20240419,160000,23.72,24.3996,23.57,24.36,2213,0
MPTI.US,60,20240419,170000,24.2,24.2,23.885,24.15,2646,0
MPTI.US,60,20240419,180000,24.41,24.41,24.3,24.3,1068,0
MPTI.US,60,20240419,190000,24.165,24.17,23.8508,23.8508,2440,0
MPTI.US,60,20240419,200000,23.85,23.9999,23.295,23.36,2811,0
MPTI.US,60,20240419,210000,23.62,23.62,23.62,23.62,400,0
MPTI.US,60,20240419,220000,23.55,23.9,23.54,23.9,7689,0
