<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PAB.US,60,20240426,160000,40.84,40.84,40.84,40.84,100,0
PAB.US,60,20240513,200000,41.32,41.33,41.32,41.33,700,0
PAB.US,60,20240516,160000,41.63,41.63,41.63,41.63,703,0
PAB.US,60,20240516,220000,41.46,41.46,41.46,41.46,169,0
PAB.US,60,20240528,180000,41.35,41.35,41.3321,41.3321,208,0
PAB.US,60,20240823,170000,43.17,43.17,43.1607,43.1607,200,0
PAB.US,60,20240830,190000,43,43,43,43,100,0
PAB.US,60,20240923,180000,43.4288,43.4288,43.4288,43.4288,125,0
PAB.US,60,20240924,160000,43.4,43.4,43.4,43.4,450,0
PAB.US,60,20240924,220000,43.5,43.5,43.5,43.5,114,0
PAB.US,60,20240925,160000,43.46,43.46,43.46,43.46,500,0
PAB.US,60,20240925,220000,43.36,43.36,43.36,43.36,114,0
PAB.US,60,20240926,160000,43.4,43.4,43.4,43.4,550,0
PAB.US,60,20240926,200000,43.36,43.36,43.3587,43.3587,200,0
PAB.US,60,20240926,220000,43.36,43.36,43.36,43.36,105,0
PAB.US,60,20240927,210000,43.49,43.58,43.4705,43.4706,1400,0
PAB.US,60,20241004,190000,43.146,43.146,42.87,42.87,679,0
PAB.US,60,20241008,170000,42.63,42.63,42.63,42.63,12515,0
PAB.US,60,20241008,180000,42.64,42.64,42.64,42.64,323303,0
PAB.US,60,20241008,190000,42.6438,42.6438,42.6438,42.6438,200,0
PAB.US,60,20241009,160000,42.6598,42.6598,42.63,42.63,1340,0
PAB.US,60,20241009,170000,42.63,42.63,42.63,42.63,100,0
PAB.US,60,20241010,180000,42.68,42.92,42.5236,42.5637,11459,0
PAB.US,60,20241011,190000,42.6212,42.6212,42.6212,42.6212,330,0
PAB.US,60,20241014,200000,42.46,42.46,42.46,42.46,278,0
PAB.US,60,20241017,210000,42.57,42.58,42.57,42.58,18498,0
PAB.US,60,20241017,220000,42.58,42.597,42.58,42.597,2326,0
PAB.US,60,20241018,170000,42.6591,42.6591,42.6591,42.6591,465,0
PAB.US,60,20241018,220000,42.63,42.63,42.63,42.63,200,0
PAB.US,60,20241021,170000,42.44,42.44,42.44,42.44,100,0
PAB.US,60,20241021,180000,42.4,42.4,42.4,42.4,1427,0
PAB.US,60,20241021,190000,42.39,42.39,42.39,42.39,100,0
PAB.US,60,20241021,220000,42.36,42.58,42.33,42.33,1868,0
PAB.US,60,20241022,180000,42.33,42.33,42.33,42.33,100,0
PAB.US,60,20241022,190000,42.286498,42.286498,42.286498,42.286498,200,0
PAB.US,60,20241022,220000,42.345,42.345,42.345,42.345,1330,0
PAB.US,60,20241023,170000,42.21,42.21,42.21,42.21,685,0
PAB.US,60,20241025,160000,42.34,42.34,42.34,42.34,600,0
PAB.US,60,20241025,170000,42.34,42.34,42.34,42.34,200,0
PAB.US,60,20241025,220000,42.26,42.26,42.2,42.2,2993,0
PAB.US,60,20241028,150000,42.26,42.26,42.26,42.26,100,0
PAB.US,60,20241028,170000,42.185,42.185,42.18,42.18,300,0
PAB.US,60,20241029,160000,42.0591,42.0591,42.0591,42.0591,2650,0
PAB.US,60,20241029,170000,42.06,42.06,42.06,42.06,100,0
PAB.US,60,20241030,210000,42.18,42.18,42.1441,42.1441,2465,0
PAB.US,60,20241031,150000,42.08,42.08,42.08,42.08,100,0
PAB.US,60,20241101,210000,41.87,41.87,41.87,41.87,1073,0
PAB.US,60,20241104,160000,42.0612,42.0612,42.0612,42.0612,235,0
PAB.US,60,20241104,170000,42.1013,42.1013,42.08,42.08,775,0
PAB.US,60,20241104,180000,42.03,42.03,42.03,42.03,100,0
PAB.US,60,20241104,200000,42,42,42,42,100,0
PAB.US,60,20241104,210000,41.97,42.02,41.97,42.008193,1020,0
PAB.US,60,20241104,220000,41.99,42.015,41.99,42.015,604,0
PAB.US,60,20241106,160000,41.7,41.7,41.7,41.7,235,0
PAB.US,60,20241106,210000,41.84,41.84,41.84,41.84,100,0
PAB.US,60,20241107,220000,41.81,42.17,41.81,42.16,1334,0
PAB.US,60,20241108,170000,42.2512,42.2512,42.2512,42.2512,500,0
PAB.US,60,20241112,180000,42.22,42.22,41.98,41.98,200,0
PAB.US,60,20241112,220000,41.8554,41.8554,41.8554,41.8554,164,0
PAB.US,60,20241113,170000,41.99,41.99,41.905,41.905,700,0
PAB.US,60,20241113,180000,41.96,41.96,41.96,41.96,100,0
PAB.US,60,20241113,190000,41.915,41.915,41.91,41.91,1406,0
PAB.US,60,20241113,200000,41.84,41.84,41.84,41.84,100,0
PAB.US,60,20241113,220000,41.91,41.91,41.91,41.91,100,0
PAB.US,60,20241114,200000,41.94,41.94,41.94,41.94,100,0
PAB.US,60,20241114,210000,41.935,41.935,41.935,41.935,100,0
PAB.US,60,20241114,220000,41.875,41.9,41.87,41.87,500,0
PAB.US,60,20241118,210000,41.92,41.92,41.9,41.9,200,0
PAB.US,60,20241119,220000,41.89,41.97,41.89,41.97,469,0
PAB.US,60,20241120,210000,41.92,41.95,41.92,41.95,560,0
PAB.US,60,20241120,220000,41.8707,41.9288,41.8707,41.9285,1277,0
PAB.US,60,20241121,210000,41.88,41.88,41.88,41.88,40754,0
PAB.US,60,20241122,220000,41.89,41.9292,41.89,41.9292,2624,0
PAB.US,60,20241126,170000,42.1751,42.1751,42.1751,42.1751,115,0
PAB.US,60,20241126,220000,42.195,42.195,42.187,42.187,740,0
PAB.US,60,20241127,200000,42.39,42.39,42.34,42.34,604,0
PAB.US,60,20241129,190000,42.4981,42.4981,42.4981,42.4981,150,0
PAB.US,60,20241202,220000,42.3601,42.4,42.3601,42.399,608,0
PAB.US,60,20241204,210000,42.455,42.455,42.455,42.455,100,0
PAB.US,60,20241204,220000,42.41,42.41,42.41,42.41,176,0
PAB.US,60,20241205,210000,42.46,42.46,42.46,42.46,1339,0
PAB.US,60,20241205,220000,42.4638,42.4638,42.459,42.46,745,0
PAB.US,60,20241211,180000,42.3564,42.3564,42.3564,42.3564,807,0
PAB.US,60,20241211,220000,42.28,42.28,42.28,42.28,2394,0
PAB.US,60,20241213,160000,42.0512,42.0512,42.0512,42.0512,676,0
PAB.US,60,20241213,210000,41.97,41.97,41.97,41.97,11427,0
PAB.US,60,20241213,220000,41.9792,41.9792,41.9792,41.9792,1281,0
PAB.US,60,20241216,200000,41.98,41.98,41.98,41.98,212,0
PAB.US,60,20241216,220000,41.98,41.98,41.98,41.98,1693,0
PAB.US,60,20241218,210000,41.89,41.89,41.85,41.85,336,0
PAB.US,60,20241218,220000,41.709,41.7381,41.709,41.7381,323,0
PAB.US,60,20241219,190000,41.58,41.58,41.58,41.58,100,0
PAB.US,60,20241219,220000,41.57,41.57,41.57,41.57,242,0
PAB.US,60,20241220,190000,41.765,41.765,41.765,41.765,479,0
PAB.US,60,20241220,200000,41.69,41.69,41.69,41.69,289,0
PAB.US,60,20241220,210000,41.6929,41.6929,41.6929,41.6929,164,0
PAB.US,60,20241226,200000,41.6,41.6,41.5845,41.5845,1200,0
PAB.US,60,20241226,210000,41.605,41.7145,41.605,41.7145,800,0
PAB.US,60,20241227,220000,41.41,41.41,41.41,41.41,200,0
PAB.US,60,20241230,170000,41.57,41.57,41.57,41.57,100,0
