<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAAA.US,60,20240415,220000,20.02,20.02,20.02,20.02,100,0
CAAA.US,60,20240418,200000,19.955,19.955,19.955,19.955,100,0
CAAA.US,60,20240507,220000,20.09,20.09,20.09,20.09,200,0
CAAA.US,60,20240508,200000,20.09,20.09,20.09,20.09,500,0
CAAA.US,60,20240605,220000,20.21,20.21,20.2032,20.2032,1800,0
CAAA.US,60,20240606,200000,20.21,20.21,20.21,20.21,13297,0
CAAA.US,60,20240612,220000,20.18,20.18,20.18,20.18,262,0
CAAA.US,60,20240614,170000,20.24,20.24,20.24,20.24,300,0
CAAA.US,60,20240617,200000,20.2537,20.2541,20.2537,20.2541,1680,0
CAAA.US,60,20240617,210000,20.28,20.28,20.28,20.28,104,0
CAAA.US,60,20240620,170000,20.29,20.29,20.25,20.25,1900,0
CAAA.US,60,20240620,190000,20.2649,20.2649,20.2649,20.2649,1400,0
CAAA.US,60,20240620,200000,20.2648,20.2648,20.2648,20.2648,1800,0
CAAA.US,60,20240624,190000,20.28,20.28,20.267,20.267,1500,0
CAAA.US,60,20240624,200000,20.2589,20.2589,20.2589,20.2589,380,0
CAAA.US,60,20240624,210000,20.27,20.27,20.259,20.259,600,0
CAAA.US,60,20240625,180000,20.25,20.25,20.25,20.25,747,0
CAAA.US,60,20240625,210000,20.255,20.255,20.255,20.255,200,0
CAAA.US,60,20240626,170000,20.2102,20.2102,20.2102,20.2102,148,0
CAAA.US,60,20240627,210000,20.1748,20.1748,20.1748,20.1748,124,0
CAAA.US,60,20240716,220000,20.245,20.4,20.22,20.4,462,0
CAAA.US,60,20240717,160000,20.36,20.36,20.36,20.36,113,0
CAAA.US,60,20240717,190000,20.36,20.36,20.36,20.36,200,0
CAAA.US,60,20240717,220000,20.37,20.37,20.37,20.37,262,0
CAAA.US,60,20240722,190000,20.31,20.31,20.31,20.31,100,0
CAAA.US,60,20240722,220000,20.3,20.3,20.3,20.3,300,0
CAAA.US,60,20240723,200000,20.245,20.245,20.245,20.245,100,0
CAAA.US,60,20240723,220000,20.23,20.23,20.22,20.22,2472,0
CAAA.US,60,20240724,170000,20.235,20.235,20.235,20.235,100,0
CAAA.US,60,20240729,220000,20.23,20.29,20.23,20.29,1712,0
CAAA.US,60,20240801,180000,20.44,20.44,20.44,20.44,500,0
CAAA.US,60,20240801,190000,20.51,20.51,20.51,20.51,100,0
CAAA.US,60,20240805,210000,20.64,20.64,20.64,20.64,100,0
CAAA.US,60,20240806,180000,20.54,20.54,20.54,20.54,100,0
CAAA.US,60,20240812,170000,20.47,20.51,20.47,20.51,1000,0
CAAA.US,60,20240812,180000,20.51,20.51,20.51,20.51,100,0
CAAA.US,60,20240812,190000,20.5,20.5,20.5,20.5,400,0
CAAA.US,60,20240812,200000,20.5,20.5,20.5,20.5,700,0
CAAA.US,60,20240814,220000,20.515,20.57,20.515,20.57,455,0
CAAA.US,60,20240815,180000,20.535,20.535,20.535,20.535,100,0
CAAA.US,60,20240816,170000,20.54,20.54,20.54,20.54,100,0
CAAA.US,60,20240820,180000,20.62,20.62,20.62,20.62,100,0
CAAA.US,60,20240821,160000,20.57,20.57,20.57,20.57,165,0
CAAA.US,60,20240821,200000,20.58,20.58,20.58,20.58,100,0
CAAA.US,60,20240821,220000,20.57,20.57,20.57,20.57,1000,0
CAAA.US,60,20240822,190000,20.53,20.53,20.53,20.53,193,0
CAAA.US,60,20240829,220000,20.6099,20.6099,20.6099,20.6099,111,0
CAAA.US,60,20240905,190000,20.57,20.68,20.57,20.68,511,0
CAAA.US,60,20240906,160000,20.73,20.73,20.69,20.69,841,0
CAAA.US,60,20240909,220000,20.73,20.73,20.73,20.73,300,0
CAAA.US,60,20240911,170000,20.795,20.81,20.795,20.81,7200,0
CAAA.US,60,20240911,190000,20.775,20.775,20.775,20.775,200,0
CAAA.US,60,20240913,210000,20.78,20.78,20.78,20.78,2500,0
CAAA.US,60,20240916,180000,20.8488,20.8488,20.825,20.84,2200,0
CAAA.US,60,20240917,170000,20.83,20.83,20.83,20.83,100,0
CAAA.US,60,20240918,210000,20.7913,20.7913,20.7913,20.7913,197,0
CAAA.US,60,20240918,220000,20.805,20.805,20.805,20.805,200,0
CAAA.US,60,20240924,190000,20.825,20.825,20.825,20.825,226,0
CAAA.US,60,20240924,200000,20.825,20.84,20.825,20.825,2941,0
CAAA.US,60,20240924,210000,20.82,20.82,20.82,20.82,341,0
CAAA.US,60,20240925,170000,20.83,20.83,20.83,20.83,100,0
CAAA.US,60,20240925,180000,20.82,20.82,20.82,20.82,398,0
CAAA.US,60,20240925,210000,20.8299,20.8299,20.82,20.82,3051,0
CAAA.US,60,20240925,220000,20.82,20.83,20.82,20.8299,3700,0
CAAA.US,60,20240926,170000,20.7,20.7,20.7,20.7,11500,0
CAAA.US,60,20240926,220000,20.695,20.695,20.695,20.695,518,0
CAAA.US,60,20240930,210000,20.71,20.71,20.7052,20.7052,1100,0
CAAA.US,60,20241003,220000,20.705,20.72,20.68,20.68,7400,0
CAAA.US,60,20241004,160000,20.64,20.64,20.64,20.64,1594,0
CAAA.US,60,20241004,200000,20.53,20.53,20.53,20.53,100,0
CAAA.US,60,20241004,210000,20.59,20.59,20.59,20.59,975,0
CAAA.US,60,20241004,220000,20.55,20.55,20.55,20.55,120,0
CAAA.US,60,20241007,190000,20.4933,20.4933,20.4933,20.4933,500,0
CAAA.US,60,20241008,160000,20.469,20.469,20.469,20.469,500,0
CAAA.US,60,20241008,190000,20.475,20.505,20.475,20.505,1075,0
CAAA.US,60,20241010,160000,20.5,20.5,20.5,20.5,5000,0
CAAA.US,60,20241014,220000,20.51,20.51,20.51,20.51,100,0
CAAA.US,60,20241015,180000,20.48,20.48,20.48,20.48,100,0
CAAA.US,60,20241016,220000,20.4901,20.4901,20.4901,20.4901,500,0
CAAA.US,60,20241017,160000,20.58,20.58,20.58,20.58,2500,0
CAAA.US,60,20241017,210000,20.495,20.495,20.49,20.495,1343,0
CAAA.US,60,20241018,170000,20.49,20.53,20.49,20.53,2317,0
CAAA.US,60,20241022,160000,20.343,20.343,20.343,20.343,2454,0
CAAA.US,60,20241023,180000,20.28,20.28,20.28,20.28,328,0
CAAA.US,60,20241024,170000,20.29,20.29,20.29,20.29,2000,0
CAAA.US,60,20241024,200000,20.31,20.31,20.31,20.31,985,0
CAAA.US,60,20241030,210000,20.31,20.31,20.285,20.29,1200,0
CAAA.US,60,20241105,190000,20.24,20.24,20.221,20.221,1089,0
CAAA.US,60,20241107,200000,20.1815,20.23,20.1815,20.19,2118,0
