<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MVFD.US,60,20240411,200000,25.038,25.038,25.038,25.038,399,0
MVFD.US,60,20240411,220000,25.09,25.09,25.09,25.09,1317,0
MVFD.US,60,20240412,160000,24.91,24.91,24.91,24.91,1000,0
MVFD.US,60,20240412,170000,24.76,24.76,24.76,24.76,100,0
MVFD.US,60,20240415,160000,24.9,24.9,24.9,24.9,136,0
MVFD.US,60,20240415,170000,24.859,24.86,24.78,24.78,2367,0
MVFD.US,60,20240415,180000,24.66,24.722,24.66,24.71,1450,0
MVFD.US,60,20240415,190000,24.74,24.74,24.72,24.72,3142,0
MVFD.US,60,20240415,200000,24.63,24.63,24.5599,24.5599,444,0
MVFD.US,60,20240415,210000,24.44,24.44,24.44,24.44,100,0
MVFD.US,60,20240415,220000,24.47,24.47,24.47,24.47,1893,0
MVFD.US,60,20240416,180000,24.44,24.4491,24.44,24.44,1900,0
MVFD.US,60,20240416,190000,24.44,24.44,24.38,24.38,400,0
MVFD.US,60,20240416,200000,24.3499,24.3967,24.33,24.33,2070,0
MVFD.US,60,20240416,210000,24.3199,24.37,24.3066,24.37,2690,0
MVFD.US,60,20240416,220000,24.45,24.45,24.45,24.45,4968,0
MVFD.US,60,20240417,170000,24.409,24.41,24.409,24.4099,8100,0
MVFD.US,60,20240417,180000,24.33,24.33,24.28,24.3198,6751,0
MVFD.US,60,20240417,210000,24.38,24.38,24.34,24.34,8490,0
MVFD.US,60,20240417,220000,24.35,24.35,24.35,24.35,5300,0
MVFD.US,60,20240419,180000,24.41,24.41,24.41,24.41,10132,0
MVFD.US,60,20240419,190000,24.4,24.4,24.31,24.31,10232,0
MVFD.US,60,20240419,210000,24.33,24.36,24.33,24.36,560,0
MVFD.US,60,20240422,160000,24.415,24.415,24.415,24.415,400,0
MVFD.US,60,20240422,210000,24.67,24.67,24.67,24.67,500,0
MVFD.US,60,20240422,220000,24.62,24.62,24.62,24.62,121604,0
MVFD.US,60,20240423,170000,24.79,24.79,24.79,24.79,605,0
MVFD.US,60,20240423,190000,24.78,24.78,24.78,24.78,7223,0
MVFD.US,60,20240423,220000,24.78,24.79,24.7702,24.7702,7792,0
MVFD.US,60,20240424,170000,24.82,24.82,24.75,24.75,351,0
MVFD.US,60,20240424,180000,24.73,24.74,24.73,24.74,210,0
MVFD.US,60,20240424,190000,24.73,24.73,24.71,24.71,203,0
MVFD.US,60,20240424,200000,24.75,24.8,24.75,24.8,223,0
MVFD.US,60,20240424,210000,24.79,24.79,24.75,24.77,336,0
MVFD.US,60,20240424,220000,24.78,24.83,24.78,24.81,766,0
MVFD.US,60,20240426,210000,24.75,24.75,24.75,24.75,400,0
MVFD.US,60,20240429,170000,24.8,24.82,24.78,24.8054,2000,0
MVFD.US,60,20240429,180000,24.7754,24.79,24.7544,24.7544,3100,0
MVFD.US,60,20240429,190000,24.755,24.78,24.755,24.7699,4600,0
MVFD.US,60,20240429,200000,24.7578,24.8,24.7578,24.792,4000,0
MVFD.US,60,20240429,210000,24.78,24.782,24.76,24.76,1975,0
MVFD.US,60,20240429,220000,24.7445,24.75,24.7445,24.75,2000,0
MVFD.US,60,20240430,160000,24.62,24.62,24.62,24.62,100,0
MVFD.US,60,20240430,170000,24.69,24.69,24.6732,24.6732,2100,0
MVFD.US,60,20240430,210000,24.52,24.52,24.51,24.515,6860,0
MVFD.US,60,20240430,220000,24.515,24.52,24.49,24.49,20360,0
MVFD.US,60,20240508,160000,25.139,25.139,25.139,25.139,158,0
MVFD.US,60,20240508,210000,25.16,25.17,25.15,25.15,2225,0
MVFD.US,60,20240509,180000,25.38,25.38,25.38,25.38,100,0
MVFD.US,60,20240509,190000,25.35,25.35,25.35,25.35,600,0
MVFD.US,60,20240510,200000,25.4296,25.4296,25.4296,25.4296,4000,0
MVFD.US,60,20240510,210000,25.43,25.43,25.4299,25.4299,788,0
MVFD.US,60,20240514,220000,25.51,25.51,25.51,25.51,100,0
MVFD.US,60,20240517,170000,25.43,25.43,25.4081,25.4081,1100,0
MVFD.US,60,20240517,180000,25.3881,25.3881,25.3881,25.3881,200,0
MVFD.US,60,20240517,210000,25.44,25.44,25.4292,25.4292,2120,0
MVFD.US,60,20240517,220000,25.47,25.49,25.45,25.479,4429,0
MVFD.US,60,20240520,160000,25.4935,25.4935,25.4935,25.4935,225,0
MVFD.US,60,20240520,180000,25.57,25.57,25.5699,25.5699,350,0
MVFD.US,60,20240520,200000,25.49,25.49,25.49,25.49,225,0
MVFD.US,60,20240521,210000,25.44,25.44,25.41,25.41,12664,0
MVFD.US,60,20240522,160000,25.4397,25.4397,25.4397,25.4397,224,0
MVFD.US,60,20240523,170000,25.11,25.11,25.11,25.11,203,0
MVFD.US,60,20240523,220000,25.02,25.02,25.02,25.02,110,0
MVFD.US,60,20240524,210000,25.18,25.18,25.18,25.18,500,0
MVFD.US,60,20240524,220000,25.18,25.215,25.18,25.215,4719,0
MVFD.US,60,20240528,200000,25.045,25.045,25.045,25.045,200,0
MVFD.US,60,20240529,160000,24.95,24.95,24.95,24.95,3500,0
MVFD.US,60,20240529,210000,24.84,24.84,24.84,24.84,222,0
MVFD.US,60,20240530,170000,24.97,24.97,24.97,24.97,2217,0
MVFD.US,60,20240531,210000,25.25,25.27,25.25,25.26,309,0
MVFD.US,60,20240603,170000,25.3299,25.33,25.3299,25.33,370,0
MVFD.US,60,20240603,200000,25.1,25.11,25.1,25.11,3800,0
MVFD.US,60,20240604,190000,24.99,24.99,24.9787,24.9787,4000,0
MVFD.US,60,20240604,200000,25,25,25,25,1000,0
MVFD.US,60,20240604,210000,25.08,25.09,25.06,25.06,5401,0
MVFD.US,60,20240604,220000,25.06,25.06,25.06,25.06,601,0
MVFD.US,60,20240605,190000,25.1147,25.12,25.1147,25.12,200,0
MVFD.US,60,20240605,220000,25.14,25.14,25.14,25.14,1234,0
MVFD.US,60,20240606,170000,25.09,25.09,25.09,25.09,223,0
MVFD.US,60,20240606,210000,25,25.04,25,25.04,385,0
MVFD.US,60,20240610,170000,24.89,24.89,24.89,24.89,156,0
MVFD.US,60,20240610,180000,24.9,24.9,24.9,24.9,149,0
MVFD.US,60,20240611,170000,24.79,24.83,24.79,24.8132,1808,0
MVFD.US,60,20240611,180000,24.8131,24.8131,24.8131,24.8131,1754,0
MVFD.US,60,20240614,210000,24.58,24.58,24.58,24.58,1108,0
MVFD.US,60,20240614,220000,24.66,24.66,24.66,24.66,408,0
MVFD.US,60,20240618,210000,25.06,25.07,25.06,25.07,1108,0
MVFD.US,60,20240620,200000,24.99,24.99,24.99,24.99,913,0
MVFD.US,60,20240621,180000,25.03,25.03,25.03,25.03,673,0
MVFD.US,60,20240621,220000,25.05,25.05,25.05,25.05,600,0
MVFD.US,60,20240625,170000,25.13,25.13,25.13,25.13,715,0
MVFD.US,60,20240625,220000,25.02,25.05,25.01,25.05,2814,0
MVFD.US,60,20240628,160000,24.744,24.744,24.744,24.744,120,0
MVFD.US,60,20240628,170000,24.8,24.8,24.8,24.8,342,0
MVFD.US,60,20240628,200000,24.69,24.69,24.69,24.69,300,0
MVFD.US,60,20240628,220000,24.7,24.7,24.7,24.7,342,0
MVFD.US,60,20240701,170000,24.46,24.46,24.46,24.46,269,0
MVFD.US,60,20240702,200000,24.31,24.31,24.3,24.3,54991,0
MVFD.US,60,20240703,160000,24.46,24.46,24.4152,24.4152,648,0
MVFD.US,60,20240703,190000,24.4,24.4,24.36,24.36,3850,0
MVFD.US,60,20240705,210000,24.13,24.15,24.13,24.15,7292,0
MVFD.US,60,20240705,220000,24.13,24.13,24.13,24.13,200,0
MVFD.US,60,20240708,160000,24.2799,24.2799,24.2799,24.2799,700,0
MVFD.US,60,20240708,170000,24.2119,24.2119,24.2119,24.2119,100,0
MVFD.US,60,20240710,160000,24.21,24.21,24.21,24.21,7152,0
MVFD.US,60,20240710,200000,24.23,24.23,24.23,24.23,100,0
MVFD.US,60,20240710,210000,24.23,24.24,24.23,24.24,200,0
MVFD.US,60,20240712,220000,24.27,24.81,24.27,24.7966,2710,0
MVFD.US,60,20240715,170000,24.97,24.97,24.9631,24.9631,2113,0
MVFD.US,60,20240715,210000,25.0395,25.0395,25.006,25.0299,1645,0
MVFD.US,60,20240715,220000,25.004,25.004,24.9699,24.9699,591,0
MVFD.US,60,20240716,180000,25.24,25.24,25.24,25.24,300,0
MVFD.US,60,20240717,210000,25.46,25.46,25.4454,25.45,731,0
MVFD.US,60,20240717,220000,25.46,25.47,25.46,25.47,3740,0
MVFD.US,60,20240718,160000,25.56,25.56,25.56,25.56,400,0
MVFD.US,60,20240718,200000,25.47,25.47,25.47,25.47,500,0
MVFD.US,60,20240719,220000,25.31,25.31,25.19,25.19,4505,0
MVFD.US,60,20240722,170000,25.21,25.21,25.21,25.21,100,0
MVFD.US,60,20240722,210000,25.32,25.35,25.31,25.35,600,0
MVFD.US,60,20240722,220000,25.35,25.38,25.35,25.36,966,0
MVFD.US,60,20240723,160000,25.48,25.48,25.48,25.48,104,0
MVFD.US,60,20240723,170000,25.32,25.32,25.32,25.32,100,0
MVFD.US,60,20240726,190000,25.61,25.61,25.61,25.61,100,0
MVFD.US,60,20240729,170000,25.6,25.6,25.6,25.6,100,0
MVFD.US,60,20240729,210000,25.62,25.62,25.62,25.62,128463,0
MVFD.US,60,20240729,220000,25.65,25.65,25.65,25.65,2396,0
MVFD.US,60,20240730,180000,25.756,25.756,25.756,25.756,379,0
MVFD.US,60,20240730,190000,25.7374,25.74,25.7374,25.74,3537,0
MVFD.US,60,20240731,220000,25.73,25.8501,25.73,25.8501,928,0
MVFD.US,60,20240802,200000,25.4801,25.4801,24.87,24.87,493,0
MVFD.US,60,20240802,220000,24.825,24.89,24.825,24.88,7921,0
MVFD.US,60,20240805,170000,24.31,24.31,24.1199,24.1199,1940,0
MVFD.US,60,20240805,180000,24.13,24.25,24.13,24.214,5225,0
MVFD.US,60,20240805,190000,24.31,24.4,24.26,24.26,3400,0
MVFD.US,60,20240805,200000,24.24,24.31,24.22,24.233,10576,0
MVFD.US,60,20240805,210000,24.26,24.3,24.25,24.25,6686,0
MVFD.US,60,20240805,220000,24.2,24.2,24.18,24.2,400,0
MVFD.US,60,20240806,190000,24.4799,24.48,24.4632,24.4632,1612,0
MVFD.US,60,20240806,220000,24.51,24.51,24.47,24.47,263,0
MVFD.US,60,20240807,170000,24.65,24.65,24.65,24.65,100,0
MVFD.US,60,20240807,180000,24.62,24.63,24.62,24.63,200,0
MVFD.US,60,20240807,200000,24.52,24.53,24.43,24.43,400,0
MVFD.US,60,20240807,210000,24.37,24.37,24.37,24.37,200,0
MVFD.US,60,20240807,220000,24.41,24.42,24.31,24.35,15143,0
MVFD.US,60,20240808,170000,24.6448,24.6448,24.6448,24.6448,381,0
MVFD.US,60,20240808,180000,24.6,24.64,24.57,24.6,2760,0
MVFD.US,60,20240808,220000,24.7,24.7,24.7,24.7,148,0
MVFD.US,60,20240809,160000,24.96,24.96,24.64,24.64,201,0
MVFD.US,60,20240809,170000,24.7,24.74,24.69,24.74,900,0
MVFD.US,60,20240809,180000,24.76,24.76,24.69,24.69,1000,0
MVFD.US,60,20240809,190000,24.69,24.73,24.67,24.73,900,0
MVFD.US,60,20240809,200000,24.76,24.82,24.71,24.79,900,0
MVFD.US,60,20240809,210000,24.74,24.74,24.68,24.71,1100,0
MVFD.US,60,20240809,220000,24.74,24.77,24.74,24.77,925,0
MVFD.US,60,20240812,180000,24.76,24.76,24.69,24.69,467,0
MVFD.US,60,20240813,190000,24.77,24.77,24.77,24.77,553,0
MVFD.US,60,20240813,210000,24.88,24.9,24.88,24.89,1441,0
MVFD.US,60,20240813,220000,24.88,24.89,24.87,24.87,1822,0
MVFD.US,60,20240814,200000,24.94,24.95,24.94,24.95,1606,0
MVFD.US,60,20240816,220000,24.965,25.42,24.965,25.42,301,0
MVFD.US,60,20240819,190000,25.515,25.515,25.515,25.515,260,0
MVFD.US,60,20240819,210000,25.54,25.54,25.54,25.54,148,0
MVFD.US,60,20240821,170000,25.37,25.37,25.37,25.37,415,0
MVFD.US,60,20240822,210000,25.415,25.415,25.415,25.415,138,0
MVFD.US,60,20240823,220000,25.79,25.79,25.79,25.79,119,0
MVFD.US,60,20240826,180000,25.8974,25.91,25.8974,25.8975,3130,0
MVFD.US,60,20240826,200000,25.98,25.98,25.98,25.98,100,0
MVFD.US,60,20240827,170000,25.86,25.86,25.86,25.86,550,0
MVFD.US,60,20240827,180000,25.85,25.85,25.85,25.85,100,0
MVFD.US,60,20240829,170000,25.95,25.95,25.95,25.95,285,0
MVFD.US,60,20240829,190000,26.05,26.12,26.05,26.12,6900,0
MVFD.US,60,20240830,210000,26.03,26.12,26.03,26.11,598,0
MVFD.US,60,20240830,220000,26.11,26.11,26.1099,26.1099,200,0
MVFD.US,60,20240903,200000,25.83,25.83,25.81,25.82,10270,0
MVFD.US,60,20240903,210000,25.81,25.81,25.81,25.81,200,0
MVFD.US,60,20240904,200000,25.7902,25.7902,25.79,25.79,200,0
MVFD.US,60,20240905,180000,25.7299,25.7299,25.68,25.68,926,0
MVFD.US,60,20240906,190000,25.3699,25.3699,25.3499,25.3499,1500,0
MVFD.US,60,20240906,200000,25.38,25.4,25.36,25.3899,2368,0
MVFD.US,60,20240906,210000,25.39,25.39,25.34,25.34,200,0
MVFD.US,60,20240909,160000,25.34,25.35,25.34,25.3499,2200,0
MVFD.US,60,20240909,190000,25.5,25.5,25.5,25.5,600,0
MVFD.US,60,20240910,200000,25.28,25.28,25.28,25.28,100,0
MVFD.US,60,20240911,160000,25.1799,25.18,25.135,25.1498,1700,0
MVFD.US,60,20240911,180000,25,25.01,24.9999,25.01,3500,0
MVFD.US,60,20240911,190000,25.0799,25.0799,25.0799,25.0799,677,0
MVFD.US,60,20240912,220000,25.36,25.4,25.36,25.4,2565,0
MVFD.US,60,20240913,160000,25.62,25.62,25.61,25.61,800,0
