<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LQDB.US,60,20240412,210000,84.15,84.15,84.15,84.15,100,0
LQDB.US,60,20240415,160000,83.73,83.73,83.73,83.73,123,0
LQDB.US,60,20240415,210000,83.22,83.22,83.01,83.01,5800,0
LQDB.US,60,20240416,220000,83.136,83.136,83.136,83.136,150,0
LQDB.US,60,20240419,160000,83.5,83.55,83.5,83.55,240,0
LQDB.US,60,20240422,170000,83.46,83.49,83.42,83.485,1900,0
LQDB.US,60,20240422,180000,83.5,83.5,83.49,83.5,500,0
LQDB.US,60,20240422,190000,83.5,83.5,83.5,83.5,100,0
LQDB.US,60,20240422,200000,83.45,83.45,83.4,83.45,500,0
LQDB.US,60,20240422,220000,83.56,83.66,83.5137,83.5137,2302,0
LQDB.US,60,20240423,190000,83.8786,83.8786,83.8786,83.8786,430,0
LQDB.US,60,20240429,220000,83.73,83.73,83.67,83.67,200,0
LQDB.US,60,20240501,180000,83.2951,83.2951,83.26,83.26,200,0
LQDB.US,60,20240508,210000,83.8017,84.37,83.8017,84.37,400,0
LQDB.US,60,20240509,200000,84.35,84.35,84.35,84.35,180,0
LQDB.US,60,20240523,220000,84.4201,84.91,84.1421,84.53,619,0
LQDB.US,60,20240528,160000,84.67,84.67,84.67,84.67,200,0
LQDB.US,60,20240528,200000,84.46,84.46,84.33,84.33,1166,0
LQDB.US,60,20240530,170000,84.2617,84.2617,84.2617,84.2617,166,0
LQDB.US,60,20240604,200000,85.06,85.06,85.06,85.06,100,0
LQDB.US,60,20240607,160000,84.77,84.77,84.77,84.77,304,0
LQDB.US,60,20240610,180000,84.5585,84.5585,84.5585,84.5585,200,0
LQDB.US,60,20240612,190000,85.54,85.54,85.54,85.54,300,0
LQDB.US,60,20240613,200000,85.63,85.63,85.63,85.63,100,0
LQDB.US,60,20240614,180000,85.5592,85.5592,85.5592,85.5592,280,0
LQDB.US,60,20240614,190000,85.55,85.55,85.55,85.55,300,0
LQDB.US,60,20240614,220000,85.51,85.51,85.51,85.51,116,0
LQDB.US,60,20240620,170000,85.2251,85.2251,85.2251,85.2251,100,0
LQDB.US,60,20240621,200000,85.1192,85.295,85.1192,85.295,200,0
LQDB.US,60,20240625,170000,85.3801,85.39,85.38,85.38,1500,0
LQDB.US,60,20240625,180000,85.415,85.415,85.415,85.415,100,0
LQDB.US,60,20240628,160000,85.42,85.42,85.42,85.42,147,0
LQDB.US,60,20240628,210000,84.92,84.92,84.92,84.92,231,0
LQDB.US,60,20240702,170000,84.435,84.435,84.42,84.42,300,0
LQDB.US,60,20240711,200000,85.365,85.79,85.34,85.79,1000,0
LQDB.US,60,20240712,180000,85.8,85.8,85.75,85.75,500,0
LQDB.US,60,20240712,200000,85.9895,85.9895,85.9895,85.9895,100,0
LQDB.US,60,20240716,180000,85.79,85.9309,85.75,85.9309,1089,0
LQDB.US,60,20240716,220000,86.0287,86.0287,86.0287,86.0287,588,0
LQDB.US,60,20240718,200000,85.94,86.12,85.94,85.94,1575,0
LQDB.US,60,20240718,210000,85.98,86.03,85.935,86.03,1274,0
LQDB.US,60,20240719,160000,86.08,86.08,86.08,86.08,537,0
LQDB.US,60,20240719,180000,85.58,85.69,85.58,85.69,850,0
LQDB.US,60,20240719,210000,85.5777,85.6607,85.5777,85.6607,843,0
LQDB.US,60,20240722,180000,85.63,85.63,85.63,85.63,100,0
LQDB.US,60,20240722,200000,85.6799,85.6799,85.6799,85.6799,523,0
LQDB.US,60,20240722,210000,85.635,85.7,85.635,85.7,1810,0
LQDB.US,60,20240722,220000,85.69,85.69,85.69,85.69,290,0
LQDB.US,60,20240723,200000,85.64,85.64,85.61,85.61,200,0
LQDB.US,60,20240723,220000,85.57,85.57,85.57,85.57,301,0
LQDB.US,60,20240724,170000,85.44,85.44,85.44,85.44,135,0
LQDB.US,60,20240730,180000,85.93,85.93,85.8001,85.8001,295,0
LQDB.US,60,20240730,190000,85.9,85.91,85.9,85.91,942,0
LQDB.US,60,20240731,200000,86.16,86.16,86.16,86.16,200,0
LQDB.US,60,20240801,160000,86.41,86.41,86.36,86.36,340,0
LQDB.US,60,20240801,170000,86.49,86.49,86.45,86.45,600,0
LQDB.US,60,20240801,180000,86.38,86.38,86.34,86.36,500,0
LQDB.US,60,20240802,190000,86.852,86.852,86.852,86.852,122,0
LQDB.US,60,20240805,170000,86.64,86.64,86.64,86.64,100,0
LQDB.US,60,20240805,190000,86.7573,86.7573,86.7573,86.7573,115,0
LQDB.US,60,20240807,220000,86.07,86.07,86.07,86.07,100,0
LQDB.US,60,20240808,200000,86.0099,86.0099,86.0099,86.0099,155,0
LQDB.US,60,20240809,170000,86.4783,86.4783,86.331,86.331,500,0
LQDB.US,60,20240809,180000,86.34,86.3401,86.34,86.34,375,0
LQDB.US,60,20240809,210000,86.5,86.55,86.5,86.55,500,0
LQDB.US,60,20240813,170000,86.35,86.8499,86.35,86.785,3471,0
LQDB.US,60,20240813,180000,86.8,86.8,86.8,86.8,100,0
LQDB.US,60,20240813,190000,86.8606,86.866,86.8605,86.866,1413,0
LQDB.US,60,20240813,200000,86.89,86.89,86.89,86.89,100,0
LQDB.US,60,20240814,160000,87.16,87.16,87.16,87.16,100,0
LQDB.US,60,20240814,170000,87.3281,87.3281,87.3281,87.3281,303,0
LQDB.US,60,20240814,200000,87.17,87.17,87.17,87.17,100,0
LQDB.US,60,20240815,160000,86.97,86.97,86.97,86.97,450,0
LQDB.US,60,20240816,170000,86.84,87.09,86.84,87.09,200,0
LQDB.US,60,20240819,160000,87.27,87.27,87.27,87.27,100,0
LQDB.US,60,20240820,170000,87.42,87.42,87.42,87.42,100,0
LQDB.US,60,20240820,190000,87.48,87.48,87.48,87.48,100,0
LQDB.US,60,20240827,170000,87.62,87.78,87.58,87.58,300,0
LQDB.US,60,20240827,190000,87.74,87.74,87.74,87.74,100,0
LQDB.US,60,20240828,210000,87.65,87.7,87.53,87.7,3017,0
LQDB.US,60,20240829,220000,87.5985,87.6021,87.5985,87.6021,416,0
LQDB.US,60,20240830,200000,87.3881,87.3881,87.3881,87.3881,114,0
LQDB.US,60,20240830,220000,87.43,87.43,87.43,87.43,115,0
LQDB.US,60,20240903,160000,87.4001,87.4001,87.4,87.4,247,0
LQDB.US,60,20240904,180000,87.615,87.615,87.615,87.615,170,0
LQDB.US,60,20240904,190000,87.545,87.61,87.545,87.61,230,0
LQDB.US,60,20240905,220000,87.95,87.95,87.95,87.95,100,0
LQDB.US,60,20240906,180000,88.357,88.357,88.357,88.357,145,0
LQDB.US,60,20240906,210000,88.068,88.068,88.068,88.068,600,0
LQDB.US,60,20240909,170000,87.9497,88.07,87.9497,88.07,855,0
LQDB.US,60,20240909,210000,88.1405,88.37,88.1405,88.37,1100,0
LQDB.US,60,20240909,220000,88.2594,88.35,88.21,88.21,26239,0
LQDB.US,60,20240911,160000,88.18,88.23,88.18,88.23,278,0
