<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIVC.US,60,20240412,170000,45.4101,45.4101,45.4101,45.4101,703,0
AIVC.US,60,20240412,180000,45.29,45.4,45.29,45.4,282,0
AIVC.US,60,20240412,200000,45,45,45,45,100,0
AIVC.US,60,20240415,160000,44.94,44.94,44.94,44.94,222,0
AIVC.US,60,20240415,170000,44.64,44.64,44.58,44.58,400,0
AIVC.US,60,20240415,180000,44.35,44.44,44.35,44.44,300,0
AIVC.US,60,20240415,190000,44.53,44.53,44.24,44.24,200,0
AIVC.US,60,20240415,200000,44.24,44.24,43.89,43.92,501,0
AIVC.US,60,20240415,210000,43.82,43.8201,43.82,43.8201,752,0
AIVC.US,60,20240415,220000,43.72,43.72,43.65,43.67,400,0
AIVC.US,60,20240416,160000,43.45,43.45,43.45,43.45,100,0
AIVC.US,60,20240416,180000,43.5266,43.5266,43.5266,43.5266,1058,0
AIVC.US,60,20240416,210000,43.59,43.7197,43.59,43.7197,600,0
AIVC.US,60,20240416,220000,43.6581,43.69,43.6481,43.6899,500,0
AIVC.US,60,20240417,160000,43.75,43.75,43.75,43.75,228,0
AIVC.US,60,20240417,170000,43.3,43.3,43.3,43.3,230,0
AIVC.US,60,20240417,220000,43.352,43.352,43.352,43.352,111,0
AIVC.US,60,20240418,160000,43.28,43.28,43.28,43.28,100,0
AIVC.US,60,20240418,200000,43.145,43.145,43.145,43.145,500,0
AIVC.US,60,20240418,210000,43.1362,43.1362,43.1362,43.1362,141,0
AIVC.US,60,20240419,170000,42.89,42.8901,42.89,42.89,532,0
AIVC.US,60,20240419,180000,42.664,42.664,42.664,42.664,675,0
AIVC.US,60,20240419,200000,42.5754,42.5754,42.5754,42.5754,100,0
AIVC.US,60,20240419,210000,42.48,42.48,42.48,42.48,100,0
AIVC.US,60,20240419,220000,42.26,42.26,42.21,42.21,300,0
AIVC.US,60,20240422,190000,42.75,42.75,42.75,42.75,342,0
AIVC.US,60,20240422,200000,42.85,42.85,42.85,42.85,100,0
AIVC.US,60,20240422,220000,43.2799,43.2799,43.11,43.11,3541,0
AIVC.US,60,20240423,160000,43.4,43.4,43.4,43.4,200,0
AIVC.US,60,20240423,190000,44.04,44.05,44.02,44.05,400,0
