<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FIXP.US,60,20250205,160000,20.1301,20.17,20.1301,20.17,2870,0
FIXP.US,60,20250205,180000,20.11,20.11,20.11,20.11,100,0
FIXP.US,60,20250205,200000,20.1,20.1195,20.1,20.11,332,0
FIXP.US,60,20250205,210000,20.145,20.16,20.1216,20.13,9610,0
FIXP.US,60,20250205,220000,20.1022,20.1022,20.1022,20.1022,1533,0
FIXP.US,60,20250206,180000,20.135,20.135,20.135,20.135,100,0
FIXP.US,60,20250206,210000,20.1327,20.1327,20.1327,20.1327,691,0
FIXP.US,60,20250206,220000,20.1448,20.1695,20.135,20.1695,5222,0
FIXP.US,60,20250207,170000,20.16,20.16,20.05,20.05,25974,0
FIXP.US,60,20250207,180000,20.051,20.06,20,20.04,116284,0
FIXP.US,60,20250207,190000,20.1499,20.1499,20.1499,20.1499,1985,0
FIXP.US,60,20250207,200000,20.1144,20.1499,20.1144,20.1499,510,0
FIXP.US,60,20250207,210000,20.1499,20.15,20.1175,20.1175,4370,0
FIXP.US,60,20250210,180000,20.1899,20.19,20.17,20.18,1693,0
FIXP.US,60,20250210,190000,20.19,20.29,20.19,20.26,113655,0
FIXP.US,60,20250210,200000,20.23,20.3,20.21,20.21,32300,0
FIXP.US,60,20250210,210000,20.21,20.21,20.21,20.21,100,0
FIXP.US,60,20250210,220000,20.22,20.22,20.22,20.22,2660,0
FIXP.US,60,20250211,180000,20.2,20.2,20.13,20.13,200,0
FIXP.US,60,20250211,210000,20.21,20.21,20.21,20.21,100,0
FIXP.US,60,20250212,180000,20.1,20.1,20.1,20.1,100,0
FIXP.US,60,20250212,190000,20.2,20.2,20.12,20.16,1590,0
FIXP.US,60,20250212,200000,20.11,20.11,20.11,20.11,100,0
FIXP.US,60,20250212,220000,20.1768,20.1768,20.1768,20.1768,8318,0
FIXP.US,60,20250213,180000,20.2,20.2,20.12,20.12,200,0
FIXP.US,60,20250213,190000,20.2096,20.2096,20.2096,20.2096,200,0
FIXP.US,60,20250214,180000,20.18,20.181,20.17,20.17,4764,0
FIXP.US,60,20250214,220000,20.26,20.26,20.2042,20.2042,1708,0
FIXP.US,60,20250218,170000,20.25,20.25,20.25,20.25,100,0
FIXP.US,60,20250218,180000,20.25,20.25,20.13,20.1852,9202,0
FIXP.US,60,20250218,190000,20.24,20.24,20.24,20.24,100,0
