<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LGCY.US,D,20240926,000000,4,4.41,3.6,4.02,879900,0
LGCY.US,D,20240927,000000,4.54,4.79,4.12,4.39,278900,0
LGCY.US,D,20240930,000000,4.5424,4.93,4.39,4.6001,109777,0
LGCY.US,D,20241001,000000,4.43,4.8,4.31,4.6756,88330,0
LGCY.US,D,20241002,000000,4.5503,4.7,4.33,4.65,77021,0
LGCY.US,D,20241003,000000,4.54,4.79,4.54,4.77,2380,0
LGCY.US,D,20241004,000000,4.8,4.99,4.52,4.87,118134,0
LGCY.US,D,20241007,000000,4.89,5.6,4.8314,5.07,303461,0
LGCY.US,D,20241008,000000,5.28,5.72,5.28,5.62,111106,0
LGCY.US,D,20241009,000000,5.79,6.25,5.62,5.75,156964,0
LGCY.US,D,20241010,000000,5.88,6.13,5.55,5.75,85163,0
LGCY.US,D,20241011,000000,5.89,5.905,5.72,5.77,49630,0
LGCY.US,D,20241014,000000,5.89,5.9436,5.74,5.77,32813,0
LGCY.US,D,20241015,000000,5.81,5.9,5.7203,5.82,18623,0
LGCY.US,D,20241016,000000,5.75,5.91,5.6,5.82,45776,0
LGCY.US,D,20241017,000000,5.76,6.27,5.71,5.98,119497,0
LGCY.US,D,20241018,000000,6,6.2,5.7802,5.94,101726,0
LGCY.US,D,20241021,000000,5.88,6.1,5.71,5.89,54725,0
LGCY.US,D,20241022,000000,5.94,6.149,5.37,5.66,72757,0
LGCY.US,D,20241023,000000,5.61,5.74,4.74,5.05,98680,0
LGCY.US,D,20241024,000000,5.41,6.2333,5.11,5.29,21236,0
LGCY.US,D,20241025,000000,5.31,5.4899,5.03,5.26,77323,0
LGCY.US,D,20241028,000000,5.34,5.75,4.85,4.89,58628,0
LGCY.US,D,20241029,000000,5.04,5.35,4.92,5.08,86784,0
LGCY.US,D,20241030,000000,5.18,5.4,5,5.06,68220,0
LGCY.US,D,20241031,000000,5.15,5.29,5.05,5.29,34576,0
LGCY.US,D,20241101,000000,5.07,5.6,5.07,5.48,78976,0
LGCY.US,D,20241104,000000,5.45,5.5041,4.98,5.3,53716,0
LGCY.US,D,20241105,000000,5.17,5.45,5.02,5.33,38139,0
LGCY.US,D,20241106,000000,5.65,5.65,5.104,5.59,48869,0
LGCY.US,D,20241107,000000,5.43,5.66,5.3315,5.65,33751,0
LGCY.US,D,20241108,000000,5.7,6,5.6,5.98,55333,0
LGCY.US,D,20241111,000000,5.88,5.92,5.51,5.67,19861,0
LGCY.US,D,20241112,000000,5.77,5.9,5.5456,5.7,47601,0
LGCY.US,D,20241113,000000,5.5981,5.75,5.53,5.6604,23541,0
LGCY.US,D,20241114,000000,5.8,5.8,5.5944,5.6,49825,0
LGCY.US,D,20241115,000000,6.9,7.83,6.31,6.52,294289,0
LGCY.US,D,20241118,000000,6.79,6.9,6.34,6.41,118011,0
LGCY.US,D,20241119,000000,6.45,6.5,6,6.325,76273,0
LGCY.US,D,20241120,000000,6.42,7.75,6.2,7.4,174881,0
LGCY.US,D,20241121,000000,7.451,7.59,7.1,7.57,101612,0
LGCY.US,D,20241122,000000,7.69,8,7.34,7.93,114486,0
LGCY.US,D,20241125,000000,8.03,8.05,7.225,7.5,95532,0
LGCY.US,D,20241126,000000,7.6001,8,7.51,7.86,58721,0
LGCY.US,D,20241127,000000,8,8.25,7.84,8.1,137048,0
LGCY.US,D,20241129,000000,8.12,8.3,7.98,8.21,74998,0
LGCY.US,D,20241202,000000,8.2,8.21,7.64,7.69,110968,0
LGCY.US,D,20241203,000000,7.605,8.0571,7.605,7.85,58595,0
LGCY.US,D,20241204,000000,7.95,8.0982,7.84,7.9,67241,0
LGCY.US,D,20241205,000000,7.85,8.07,7.73,8.04,67770,0
LGCY.US,D,20241206,000000,8.02,8.36,7.91,8.07,125281,0
LGCY.US,D,20241209,000000,8.2,8.42,8.01,8.12,90942,0
LGCY.US,D,20241210,000000,8.08,8.2,7.95,7.95,80459,0
LGCY.US,D,20241211,000000,7.93,8.18,7.93,8.02,71547,0
LGCY.US,D,20241212,000000,8.02,8.4,7.95,8.24,99419,0
LGCY.US,D,20241213,000000,8.25,8.95,8.15,8.93,148127,0
LGCY.US,D,20241216,000000,8.88,10.37,8.68,8.98,273700,0
LGCY.US,D,20241217,000000,9.1399,9.1399,8.41,8.41,113679,0
LGCY.US,D,20241218,000000,8.48,8.5798,8,8,92641,0
LGCY.US,D,20241219,000000,8.12,8.22,7.51,7.66,129491,0
LGCY.US,D,20241220,000000,8.04,8.2709,7.28,7.39,191764,0
LGCY.US,D,20241223,000000,7.75,8.7999,7.665,8.5,285579,0
LGCY.US,D,20241224,000000,8.26,8.69,8.26,8.32,68212,0
LGCY.US,D,20241226,000000,8.21,8.88,7.88,8.48,102527,0
LGCY.US,D,20241227,000000,8.33,8.55,8.18,8.25,62079,0
LGCY.US,D,20241230,000000,8.51,8.51,8.14,8.2,82552,0
LGCY.US,D,20241231,000000,8.106,8.51,8.08,8.32,63696,0
LGCY.US,D,20250102,000000,8.38,8.4065,8.0716,8.16,54442,0
LGCY.US,D,20250103,000000,8.215,8.32,8.0009,8.22,102235,0
LGCY.US,D,20250106,000000,8.33,8.6,8.2601,8.48,170652,0
LGCY.US,D,20250107,000000,8.59,8.8599,8.15,8.36,58701,0
LGCY.US,D,20250108,000000,8.33,8.36,8.0001,8.35,58399,0
LGCY.US,D,20250110,000000,8.42,8.7,8.0588,8.7,50113,0
LGCY.US,D,20250113,000000,8.4,8.5783,7.45,7.45,126589,0
LGCY.US,D,20250114,000000,7.78,8.07,7.6,7.8,87776,0
LGCY.US,D,20250115,000000,8.0693,8.16,7.71,7.88,83875,0
LGCY.US,D,20250116,000000,7.81,8.07,7.8,8.05,45978,0
LGCY.US,D,20250117,000000,7.945,8.75,7.9282,8.73,84053,0
