<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EGG.US,D,20250618,000000,6.53,13.34,5.89,6.53,1510058,0
EGG.US,D,20250620,000000,6.15,6.3254,3.943,4.67,269298,0
EGG.US,D,20250623,000000,4.21,4.4,3.5249,3.86,316494,0
EGG.US,D,20250624,000000,3.88,3.88,2.53,2.98,831823,0
EGG.US,D,20250625,000000,2.9798,3.8499,2.6393,3.54,529328,0
EGG.US,D,20250626,000000,3.7381,4.36,3.08,3.39,547786,0
EGG.US,D,20250627,000000,3.2,3.47,3.15,3.47,303949,0
EGG.US,D,20250630,000000,3.225,3.59,3.21,3.47,77878,0
EGG.US,D,20250701,000000,3.25,3.5,3.25,3.37,138907,0
EGG.US,D,20250702,000000,3.355,3.8398,3.2,3.7,609087,0
EGG.US,D,20250703,000000,3.8446,6.98,3.815,5.68,8831691,0
EGG.US,D,20250707,000000,4.875,5.31,4.5,4.85,494365,0
EGG.US,D,20250708,000000,4.7512,6.3509,4.51,6,388465,0
EGG.US,D,20250709,000000,5.81,13.88,5.75,8.77,2871830,0
EGG.US,D,20250710,000000,7.94,9.83,7.1475,7.6,314385,0
EGG.US,D,20250711,000000,7.71,8.0067,6.082,6.09,146400,0
EGG.US,D,20250714,000000,6.2,6.82,5.72,6.3,117409,0
EGG.US,D,20250715,000000,6.4,6.6,6.01,6.02,53935,0
EGG.US,D,20250716,000000,6.22,6.94,6.2,6.25,132716,0
EGG.US,D,20250717,000000,6.69,6.69,5.51,6.04,101995,0
EGG.US,D,20250718,000000,6.1,6.17,6.04,6.14,20285,0
EGG.US,D,20250721,000000,6.5,6.5784,5.9,6.03,43645,0
