<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPP_C.US,D,20241224,000000,10.0917,10.0917,10.0917,10.0917,343,0
OPP_C.US,D,20241226,000000,10.1,10.1,10.06,10.09,6895,0
OPP_C.US,D,20241227,000000,10.06,10.088,10.06,10.06,3741,0
OPP_C.US,D,20241230,000000,10.06,10.09,10.05,10.06,6322,0
OPP_C.US,D,20241231,000000,10.1,10.1,10.06,10.079,4000,0
OPP_C.US,D,20250102,000000,10.0928,10.11,10.0928,10.1023,1614,0
OPP_C.US,D,20250103,000000,10.09,10.0967,10.09,10.0967,1113,0
OPP_C.US,D,20250106,000000,10.1,10.1,10.07,10.07,3272,0
OPP_C.US,D,20250107,000000,10.0958,10.0958,10.09,10.09,1990,0
OPP_C.US,D,20250108,000000,10.1,10.1,10.0981,10.0981,528,0
OPP_C.US,D,20250110,000000,10.08,10.1,10.07,10.08,2049,0
OPP_C.US,D,20250113,000000,10.08,10.1,10.08,10.08,4674,0
OPP_C.US,D,20250114,000000,10.09,10.11,10.06,10.1099,2853,0
OPP_C.US,D,20250115,000000,10.08,10.15,10.08,10.14,11490,0
OPP_C.US,D,20250116,000000,10.07,10.13,10.07,10.13,647,0
OPP_C.US,D,20250117,000000,10.105,10.105,10.08,10.105,225,0
OPP_C.US,D,20250121,000000,10.16,10.29,10.1237,10.1237,748,0
OPP_C.US,D,20250122,000000,10.11,10.11,10.11,10.11,504,0
OPP_C.US,D,20250123,000000,10.12,10.12,10.08,10.09,3743,0
OPP_C.US,D,20250124,000000,10.1,10.1001,10.09,10.09,3252,0
OPP_C.US,D,20250127,000000,10.0965,10.1,10.0965,10.1,3120,0
OPP_C.US,D,20250129,000000,10.1001,10.12,10.0801,10.0835,10950,0
OPP_C.US,D,20250130,000000,10.12,10.12,10.11,10.1199,3768,0
OPP_C.US,D,20250131,000000,10.15,10.15,10.14,10.1459,4674,0
OPP_C.US,D,20250203,000000,10.0601,10.13,10.06,10.12,21991,0
OPP_C.US,D,20250204,000000,10.13,10.1308,10.13,10.1308,2284,0
OPP_C.US,D,20250205,000000,10.1349,10.14,10.1,10.1105,10000,0
OPP_C.US,D,20250206,000000,10.14,10.15,10.14,10.15,3966,0
OPP_C.US,D,20250207,000000,10.15,10.15,10.15,10.15,261,0
OPP_C.US,D,20250211,000000,10.0901,10.0901,10.0901,10.0901,211,0
OPP_C.US,D,20250212,000000,10.11,10.12,10.11,10.1142,837,0
OPP_C.US,D,20250213,000000,10.14,10.14,10.12,10.1311,749,0
OPP_C.US,D,20250218,000000,10.1209,10.13,10.1209,10.13,860,0
OPP_C.US,D,20250219,000000,10.1893,10.1999,10.1201,10.1201,956,0
OPP_C.US,D,20250221,000000,10.1861,10.1861,10.1354,10.1378,700,0
OPP_C.US,D,20250224,000000,10.1201,10.1201,10.1201,10.1201,100,0
OPP_C.US,D,20250225,000000,10.1302,10.1302,10.1301,10.1301,380,0
OPP_C.US,D,20250226,000000,10.1468,10.1666,10.1468,10.1666,1682,0
OPP_C.US,D,20250227,000000,10.14,10.18,10.14,10.18,760,0
OPP_C.US,D,20250228,000000,10.15,10.1639,10.15,10.1639,1453,0
OPP_C.US,D,20250305,000000,10.15,10.1501,10.15,10.1501,400,0
OPP_C.US,D,20250310,000000,10.175,10.175,10.12,10.14,1464,0
OPP_C.US,D,20250312,000000,10.13,10.13,10.05,10.095,5173,0
OPP_C.US,D,20250313,000000,10.1,10.1,10.1,10.1,655,0
OPP_C.US,D,20250318,000000,10.125,10.125,10.101,10.101,4604,0
OPP_C.US,D,20250319,000000,10.1,10.1325,10.07,10.08,8688,0
