<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DXF.US,D,20250205,000000,33.33,35,27,28.92,74025,0
DXF.US,D,20250206,000000,30.2,31,27.5,28.41,27777,0
DXF.US,D,20250207,000000,29.662,31.56,26.28,27.89,33557,0
DXF.US,D,20250210,000000,28,30.3,19.03,21.63,51866,0
DXF.US,D,20250211,000000,22.08,23.98,20.21,20.2169,20804,0
DXF.US,D,20250212,000000,21.01,21.64,18.07,20.42,18682,0
DXF.US,D,20250213,000000,21.55,22.85,18.1001,18.74,23524,0
DXF.US,D,20250214,000000,20.02,20.15,15.7401,16.1,27283,0
DXF.US,D,20250218,000000,17.92,18.5,12.0053,13.5,44781,0
DXF.US,D,20250219,000000,15.8981,18.04,13.05,13.5,135287,0
DXF.US,D,20250220,000000,14.0204,15,12.1,13.52,36424,0
DXF.US,D,20250221,000000,13.166,13.98,10.02,10.02,52197,0
DXF.US,D,20250224,000000,10.02,13.6,10.02,13.34,84786,0
DXF.US,D,20250225,000000,13.99,13.99,10.83,11.221,29486,0
DXF.US,D,20250226,000000,10.65,12.03,10.5,11.55,18623,0
DXF.US,D,20250227,000000,10.7684,11,9.22,9.22,6844,0
DXF.US,D,20250228,000000,10.24,10.82,7.25,8.12,61031,0
DXF.US,D,20250303,000000,9,9.1,8.21,8.21,9894,0
DXF.US,D,20250304,000000,8.04,8.49,7.3785,7.44,13603,0
DXF.US,D,20250305,000000,7.4285,8.9953,7.4285,7.66,109479,0
DXF.US,D,20250306,000000,8.13,8.25,7.1,7.16,32428,0
DXF.US,D,20250307,000000,7.09,7.49,6.55,7,26647,0
DXF.US,D,20250310,000000,6.8941,6.94,6.06,6.06,11296,0
DXF.US,D,20250311,000000,6.53,8.47,6.05,6.32,86370,0
DXF.US,D,20250312,000000,6.32,6.45,5.2,5.98,33877,0
DXF.US,D,20250313,000000,5.74,6.98,5.6,6.26,51207,0
DXF.US,D,20250314,000000,6.9499,8.5975,6.32,7.63,68195,0
DXF.US,D,20250317,000000,6.91,8.22,6.87,7.46,28756,0
DXF.US,D,20250318,000000,7.6395,9.35,7.45,8.87,43029,0
DXF.US,D,20250319,000000,8.4,8.86,7.55,7.81,33194,0
DXF.US,D,20250320,000000,7.75,8.5866,7.39,7.83,49408,0
DXF.US,D,20250321,000000,7.9955,8.075,7.1233,7.4,23473,0
DXF.US,D,20250324,000000,7.48,7.48,7.05,7.45,17259,0
DXF.US,D,20250325,000000,7.3403,7.9684,7.32,7.42,12790,0
DXF.US,D,20250326,000000,7.4132,7.585,6.85,7.08,20754,0
DXF.US,D,20250327,000000,7.2,7.65,6.6,7.06,40811,0
DXF.US,D,20250328,000000,7.1078,7.175,6.81,7.075,6593,0
DXF.US,D,20250331,000000,6.6701,7.33,6.6588,7.33,22105,0
DXF.US,D,20250401,000000,7.3957,8.18,6.91,7.31,42678,0
DXF.US,D,20250402,000000,6.92,7.33,6.5,6.89,30495,0
DXF.US,D,20250403,000000,6.9,6.95,6.37,6.59,11432,0
