<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EDGF.US,D,20241007,000000,24.83,24.83,24.815,24.815,248,0
EDGF.US,D,20241008,000000,24.82,24.91,24.81,24.835,3366340,0
EDGF.US,D,20241009,000000,24.8,24.825,24.8,24.805,18777,0
EDGF.US,D,20241010,000000,24.77,24.8,24.77,24.8,6553,0
EDGF.US,D,20241011,000000,24.835,24.86,24.81,24.83,9817,0
EDGF.US,D,20241014,000000,24.77,24.819,24.77,24.81,24175,0
EDGF.US,D,20241015,000000,24.86,24.86,24.8377,24.85,19487,0
EDGF.US,D,20241016,000000,24.86,24.8752,24.8505,24.87,5113,0
EDGF.US,D,20241017,000000,24.8,24.83,24.797,24.81,80004,0
EDGF.US,D,20241018,000000,24.82,24.86,24.82,24.83,36659,0
EDGF.US,D,20241021,000000,24.7769,24.78,24.7301,24.76,17768,0
EDGF.US,D,20241022,000000,24.7301,24.759,24.73,24.745,15250,0
EDGF.US,D,20241023,000000,24.71,24.71,24.69,24.71,11718,0
EDGF.US,D,20241024,000000,24.71,24.7594,24.71,24.735,11578,0
EDGF.US,D,20241025,000000,24.73,24.73,24.7,24.7,9152,0
EDGF.US,D,20241028,000000,24.67,24.6999,24.6465,24.68,1837,0
EDGF.US,D,20241029,000000,24.64,24.6999,24.64,24.69,90755,0
EDGF.US,D,20241030,000000,24.73,24.73,24.69,24.69,13545,0
EDGF.US,D,20241031,000000,24.66,24.7095,24.65,24.6791,18427,0
EDGF.US,D,20241101,000000,24.68,24.68,24.64,24.6499,104796,0
EDGF.US,D,20241104,000000,24.71,24.71,24.65,24.69,4860,0
EDGF.US,D,20241105,000000,24.6255,24.7,24.6255,24.695,17667,0
EDGF.US,D,20241106,000000,24.6,24.64,24.6,24.6066,11459,0
EDGF.US,D,20241107,000000,24.68,24.695,24.66,24.6883,26339,0
EDGF.US,D,20241108,000000,24.73,24.73,24.7001,24.7134,21192,0
EDGF.US,D,20241111,000000,24.68,24.69,24.6701,24.68,91940,0
EDGF.US,D,20241112,000000,24.67,24.67,24.5901,24.61,18510,0
EDGF.US,D,20241113,000000,24.62,24.6299,24.58,24.6,18240,0
EDGF.US,D,20241114,000000,24.625,24.64,24.585,24.615,52524,0
EDGF.US,D,20241115,000000,24.56,24.63,24.56,24.605,10636,0
EDGF.US,D,20241118,000000,24.62,24.63,24.615,24.63,13408,0
EDGF.US,D,20241119,000000,24.65,24.6606,24.64,24.645,18454,0
EDGF.US,D,20241120,000000,24.65,24.65,24.63,24.635,22440,0
EDGF.US,D,20241121,000000,24.63,24.63,24.61,24.62,16856,0
EDGF.US,D,20241122,000000,24.63,24.65,24.63,24.635,7193,0
EDGF.US,D,20241125,000000,24.72,24.74,24.7126,24.7395,20354,0
EDGF.US,D,20241126,000000,24.72,24.72,24.69,24.71,13151,0
EDGF.US,D,20241127,000000,24.75,24.77,24.75,24.7551,14714,0
EDGF.US,D,20241129,000000,24.7913,24.81,24.78,24.8063,6408,0
EDGF.US,D,20241202,000000,24.7837,24.82,24.7837,24.814,7727,0
EDGF.US,D,20241203,000000,24.82,24.83,24.795,24.795,16507,0
EDGF.US,D,20241204,000000,24.806,24.85,24.806,24.8371,7458,0
EDGF.US,D,20241205,000000,24.829,24.84,24.81,24.835,12517,0
EDGF.US,D,20241206,000000,24.8634,24.87,24.79,24.86,20255,0
EDGF.US,D,20241209,000000,24.845,24.85,24.831,24.835,10390,0
EDGF.US,D,20241210,000000,24.82,24.83,24.805,24.825,18473,0
EDGF.US,D,20241211,000000,24.84,24.84,24.79,24.795,44113,0
EDGF.US,D,20241212,000000,24.78,24.78,24.75,24.75,15466,0
EDGF.US,D,20241213,000000,24.7199,24.7199,24.7,24.7,8489,0
EDGF.US,D,20241216,000000,24.7148,24.7148,24.7,24.71,37617,0
EDGF.US,D,20241217,000000,24.7,24.72,24.7,24.705,30226,0
EDGF.US,D,20241218,000000,24.71,24.73,24.61,24.61,19760,0
EDGF.US,D,20241219,000000,24.5876,24.5876,24.54,24.5607,9382,0
EDGF.US,D,20241220,000000,24.62,24.64,24.6,24.6,995129,0
EDGF.US,D,20241223,000000,24.59,24.59,24.5602,24.575,27345,0
EDGF.US,D,20241224,000000,24.55,24.58,24.55,24.58,23757,0
EDGF.US,D,20241226,000000,24.56,24.5894,24.56,24.585,15840,0
EDGF.US,D,20241227,000000,24.57,24.57,24.55,24.55,11531,0
EDGF.US,D,20241230,000000,24.4712,24.48,24.47,24.47,53387,0
EDGF.US,D,20241231,000000,24.5,24.5,24.4701,24.482,58147,0
EDGF.US,D,20250102,000000,24.51,24.52,24.4867,24.49,42647,0
EDGF.US,D,20250103,000000,24.505,24.515,24.48,24.4847,25269,0
EDGF.US,D,20250106,000000,24.4588,24.475,24.38,24.46,28101,0
EDGF.US,D,20250107,000000,24.45,24.46,24.44,24.44,24531,0
EDGF.US,D,20250108,000000,24.46,24.471,24.46,24.471,12535,0
EDGF.US,D,20250110,000000,24.4401,24.45,24.34,24.45,38098,0
EDGF.US,D,20250113,000000,24.44,24.45,24.43,24.44,23769,0
EDGF.US,D,20250114,000000,24.43,24.44,24.43,24.4374,18788,0
EDGF.US,D,20250115,000000,24.5,24.51,24.4964,24.505,15137,0
EDGF.US,D,20250116,000000,24.5069,24.54,24.5069,24.53,27811,0
EDGF.US,D,20250117,000000,24.54,24.55,24.52,24.54,16200,0
EDGF.US,D,20250121,000000,24.54,24.545,24.5252,24.5401,24980,0
EDGF.US,D,20250122,000000,24.54,24.545,24.52,24.53,46116,0
EDGF.US,D,20250123,000000,24.52,24.53,24.51,24.525,208026,0
EDGF.US,D,20250124,000000,24.525,24.5316,24.52,24.52,18436,0
EDGF.US,D,20250127,000000,24.565,24.59,24.565,24.59,24543,0
EDGF.US,D,20250128,000000,24.5799,24.585,24.565,24.585,47036,0
EDGF.US,D,20250129,000000,24.59,24.6,24.56,24.58,13626,0
EDGF.US,D,20250130,000000,24.6,24.61,24.59,24.59,10317,0
EDGF.US,D,20250131,000000,24.61,24.62,24.595,24.61,35891,0
EDGF.US,D,20250203,000000,24.63,24.6399,24.6223,24.625,10608,0
EDGF.US,D,20250204,000000,24.6001,24.63,24.6,24.625,57926,0
EDGF.US,D,20250205,000000,24.675,24.68,24.66,24.6705,77767,0
EDGF.US,D,20250206,000000,24.6698,24.67,24.65,24.66,21934,0
EDGF.US,D,20250207,000000,24.6105,24.64,24.61,24.625,19895,0
EDGF.US,D,20250210,000000,24.635,24.64,24.6198,24.6198,25495,0
EDGF.US,D,20250211,000000,24.6129,24.62,24.61,24.615,8376,0
EDGF.US,D,20250212,000000,24.55,24.55,24.47,24.55,38092,0
EDGF.US,D,20250213,000000,24.6,24.65,24.5905,24.5999,42884,0
EDGF.US,D,20250214,000000,24.64,24.65,24.63,24.63,16928,0
EDGF.US,D,20250218,000000,24.6116,24.6116,24.595,24.595,43455,0
EDGF.US,D,20250219,000000,24.59,24.63,24.59,24.61,12992,0
EDGF.US,D,20250220,000000,24.63,24.64,24.62,24.62,22146,0
EDGF.US,D,20250221,000000,24.67,24.7,24.67,24.685,15405,0
EDGF.US,D,20250224,000000,24.69,24.71,24.69,24.71,22816,0
EDGF.US,D,20250225,000000,24.75,24.78,24.75,24.78,38795,0
EDGF.US,D,20250226,000000,24.775,24.805,24.77,24.795,37814,0
EDGF.US,D,20250227,000000,24.79,24.8,24.78,24.8,42430,0
EDGF.US,D,20250228,000000,24.84,24.88,24.8302,24.88,13587,0
EDGF.US,D,20250303,000000,24.86,24.9,24.86,24.9,27617,0
EDGF.US,D,20250304,000000,24.9299,24.9299,24.8454,24.8547,247120,0
EDGF.US,D,20250305,000000,24.8125,24.8125,24.73,24.78,16556,0
EDGF.US,D,20250306,000000,24.74,24.78,24.74,24.77,57678,0
EDGF.US,D,20250307,000000,24.81,24.8135,24.74,24.75,32580,0
EDGF.US,D,20250310,000000,24.82,24.845,24.82,24.83,40088,0
EDGF.US,D,20250311,000000,24.8,24.82,24.78,24.79,55686,0
EDGF.US,D,20250312,000000,24.76,24.779,24.75,24.76,26244,0
EDGF.US,D,20250313,000000,24.73,24.79,24.73,24.79,39884,0
EDGF.US,D,20250314,000000,24.77,24.77,24.74,24.75,77022,0
EDGF.US,D,20250317,000000,24.7638,24.8,24.7504,24.755,28110,0
EDGF.US,D,20250318,000000,24.755,24.79,24.755,24.76,63697,0
EDGF.US,D,20250319,000000,24.7454,24.84,24.74,24.84,56298,0
EDGF.US,D,20250320,000000,24.895,24.895,24.84,24.86,53492,0
EDGF.US,D,20250321,000000,24.88,24.88,24.8473,24.85,16468,0
EDGF.US,D,20250324,000000,24.81,24.81,24.77,24.77,52523,0
EDGF.US,D,20250325,000000,24.79,24.82,24.79,24.815,40910,0
EDGF.US,D,20250326,000000,24.79,24.81,24.78,24.79,42907,0
EDGF.US,D,20250327,000000,24.8,24.805,24.78,24.8,64615,0
EDGF.US,D,20250328,000000,24.785,24.84,24.785,24.825,45577,0
EDGF.US,D,20250331,000000,24.876,24.88,24.85,24.875,44482,0
EDGF.US,D,20250401,000000,24.935,24.935,24.89,24.89,59647,0
EDGF.US,D,20250402,000000,24.93,24.93,24.84,24.88,68397,0
EDGF.US,D,20250403,000000,25.04,25.0486,24.995,25,36690,0
EDGF.US,D,20250404,000000,25.07,25.11,24.98,24.9934,653950,0
EDGF.US,D,20250407,000000,24.98,25.79,24.8,24.82,155517,0
EDGF.US,D,20250408,000000,24.839,24.8502,24.7602,24.7602,83900,0
EDGF.US,D,20250409,000000,24.6775,24.7382,24.65,24.7382,37181,0
EDGF.US,D,20250410,000000,24.71,24.71,24.6379,24.6379,39244,0
EDGF.US,D,20250411,000000,24.51,24.64,24.51,24.63,38221,0
EDGF.US,D,20250414,000000,24.67,24.75,24.66,24.75,24578,0
EDGF.US,D,20250415,000000,24.7099,24.74,24.7024,24.7024,27633,0
EDGF.US,D,20250416,000000,24.72,24.76,24.71,24.745,34447,0
EDGF.US,D,20250417,000000,24.7626,24.7677,24.74,24.7644,33388,0
EDGF.US,D,20250421,000000,24.75,24.7576,24.69,24.69,39720,0
EDGF.US,D,20250422,000000,24.74,24.74,24.72,24.72,54764,0
EDGF.US,D,20250423,000000,24.79,24.81,24.74,24.75,50140,0
EDGF.US,D,20250424,000000,24.7872,24.83,24.7872,24.82,11043,0
EDGF.US,D,20250425,000000,24.855,24.86,24.835,24.86,62640,0
EDGF.US,D,20250428,000000,24.8867,24.9,24.8787,24.8901,18806,0
EDGF.US,D,20250429,000000,24.9097,24.93,24.9044,24.925,61376,0
EDGF.US,D,20250430,000000,24.91,24.94,24.89,24.94,25702,0
EDGF.US,D,20250501,000000,24.8924,24.9126,24.87,24.8903,28555,0
EDGF.US,D,20250502,000000,24.84,24.84,24.82,24.83,22936,0
EDGF.US,D,20250505,000000,24.8,24.82,24.73,24.82,29516,0
EDGF.US,D,20250506,000000,24.82,24.86,24.81,24.86,144269,0
EDGF.US,D,20250507,000000,24.86,24.87,24.8573,24.8573,33021,0
EDGF.US,D,20250508,000000,24.85,24.85,24.8,24.805,23341,0
EDGF.US,D,20250509,000000,24.84,24.84,24.82,24.8241,18534,0
EDGF.US,D,20250512,000000,24.76,24.78,24.735,24.735,24371,0
EDGF.US,D,20250513,000000,24.73,24.74,24.71,24.74,674760,0
EDGF.US,D,20250514,000000,24.78,24.78,24.71,24.725,82678,0
EDGF.US,D,20250515,000000,24.76,24.79,24.76,24.7795,18198,0
EDGF.US,D,20250516,000000,24.8,24.81,24.79,24.795,36615,0
EDGF.US,D,20250519,000000,24.76,24.8,24.76,24.795,20501,0
EDGF.US,D,20250520,000000,24.76,24.79,24.76,24.79,62070,0
EDGF.US,D,20250521,000000,24.75,24.7592,24.707,24.71,62244,0
EDGF.US,D,20250522,000000,24.7,24.75,24.7,24.75,25639,0
EDGF.US,D,20250523,000000,24.77,24.79,24.7601,24.79,54383,0
EDGF.US,D,20250527,000000,24.7911,24.83,24.79,24.8235,29733,0
EDGF.US,D,20250528,000000,24.79,24.86,24.7711,24.8,25833,0
EDGF.US,D,20250529,000000,24.833,24.84,24.82,24.8285,27863,0
EDGF.US,D,20250530,000000,24.8,24.88,24.79,24.88,83840,0
EDGF.US,D,20250602,000000,24.88,24.91,24.81,24.84,30318,0
EDGF.US,D,20250603,000000,24.8304,24.84,24.81,24.8154,854639,0
