<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INVG.US,D,20250613,000000,25.173,25.2,25.14,25.173,3886,0
INVG.US,D,20250616,000000,25.225,25.225,25.16,25.16,20054,0
INVG.US,D,20250617,000000,25.165,25.23,25.16,25.23,8549,0
INVG.US,D,20250618,000000,25.29,25.31,25.21,25.25,11880,0
INVG.US,D,20250620,000000,25.26,25.27,25.26,25.27,3718,0
INVG.US,D,20250623,000000,25.35,25.35,25.32,25.3213,3674,0
INVG.US,D,20250624,000000,25.37,25.42,25.37,25.42,3666,0
INVG.US,D,20250625,000000,25.369,25.4,25.369,25.4,5791,0
INVG.US,D,20250626,000000,25.46,25.49,25.45,25.49,15403,0
INVG.US,D,20250627,000000,25.44,25.51,25.41,25.44,6715,0
INVG.US,D,20250630,000000,25.505,25.56,25.5,25.56,1592,0
INVG.US,D,20250701,000000,25.4646,25.51,25.4335,25.51,6678,0
INVG.US,D,20250702,000000,25.43,25.4761,25.42,25.4761,2137,0
INVG.US,D,20250703,000000,25.46,25.47,25.46,25.47,420,0
INVG.US,D,20250707,000000,25.4,25.4,25.35,25.355,5317,0
INVG.US,D,20250708,000000,25.27,25.27,25.27,25.27,3124,0
INVG.US,D,20250709,000000,25.32,25.39,25.31,25.39,1596,0
INVG.US,D,20250710,000000,25.37,25.41,25.3536,25.41,2375,0
INVG.US,D,20250711,000000,25.3,25.31,25.29,25.295,17273,0
INVG.US,D,20250714,000000,25.28,25.28,25.25,25.2749,2781,0
INVG.US,D,20250715,000000,25.29,25.29,25.225,25.225,620,0
INVG.US,D,20250716,000000,25.225,25.26,25.16,25.24,2428,0
INVG.US,D,20250717,000000,25.29,25.29,25.285,25.29,759,0
INVG.US,D,20250718,000000,25.33,25.34,25.327,25.33,5190,0
INVG.US,D,20250721,000000,25.44,25.44,25.41,25.41,630,0
