<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLG_A.US,D,20241030,000000,20.48,21.325,20.3563,21,20396,0
FLG_A.US,D,20241031,000000,21.1,21.34,20.71,20.93,48209,0
FLG_A.US,D,20241101,000000,21.33,21.65,21.02,21.02,23021,0
FLG_A.US,D,20241104,000000,21.16,21.3483,20.5575,21.26,14162,0
FLG_A.US,D,20241105,000000,21.35,21.66,21.35,21.63,21591,0
FLG_A.US,D,20241106,000000,21.7,21.94,21.3847,21.94,40125,0
FLG_A.US,D,20241107,000000,21.95,22.73,21.9086,22.64,139306,0
FLG_A.US,D,20241108,000000,22.3,22.5,22.3,22.43,54014,0
FLG_A.US,D,20241111,000000,22.32,22.45,22.01,22.25,27070,0
FLG_A.US,D,20241112,000000,22.24,22.4813,22.015,22.12,45061,0
FLG_A.US,D,20241113,000000,22.13,22.3,22.05,22.06,22415,0
FLG_A.US,D,20241114,000000,22.28,22.4054,21.95,21.98,23607,0
FLG_A.US,D,20241115,000000,22.1199,22.1199,21.22,21.84,23060,0
FLG_A.US,D,20241118,000000,21.8968,21.8999,21.1674,21.43,39542,0
FLG_A.US,D,20241119,000000,21.5,21.7261,21.32,21.33,17838,0
FLG_A.US,D,20241120,000000,21.31,21.3199,21.2,21.25,15416,0
FLG_A.US,D,20241121,000000,21.25,21.8543,21.25,21.46,19444,0
FLG_A.US,D,20241122,000000,21.8724,21.89,21.5001,21.61,23428,0
FLG_A.US,D,20241125,000000,21.8965,21.8965,21.48,21.48,27440,0
FLG_A.US,D,20241126,000000,21.57,21.57,21.14,21.28,65105,0
FLG_A.US,D,20241127,000000,21.38,21.71,21.25,21.62,36601,0
FLG_A.US,D,20241129,000000,21.6,22.36,21.6,22.33,93768,0
FLG_A.US,D,20241202,000000,22.4,22.4,21.8439,22.32,33094,0
FLG_A.US,D,20241203,000000,22.35,22.35,21.95,22.12,18132,0
FLG_A.US,D,20241204,000000,22.3675,22.37,21.85,21.9,43908,0
FLG_A.US,D,20241205,000000,22.2,22.475,22.02,22.47,28699,0
FLG_A.US,D,20241206,000000,22.08,22.21,22.075,22.18,24437,0
FLG_A.US,D,20241209,000000,22.184,22.184,21.8453,21.93,20030,0
FLG_A.US,D,20241210,000000,22.03,22.03,21.59,22.03,20752,0
FLG_A.US,D,20241211,000000,21.83,22.0299,21.8,21.8,17206,0
FLG_A.US,D,20241212,000000,21.83,21.9386,21.64,21.81,16663,0
FLG_A.US,D,20241213,000000,21.97,22.02,21.39,21.5599,20930,0
FLG_A.US,D,20241216,000000,21.5741,21.9199,21.27,21.27,33646,0
FLG_A.US,D,20241217,000000,21.4899,21.4899,21.06,21.42,21402,0
FLG_A.US,D,20241218,000000,21.275,21.59,21.13,21.44,36940,0
FLG_A.US,D,20241219,000000,21.3,21.39,21.02,21.02,57376,0
FLG_A.US,D,20241220,000000,21.0201,21.36,21.02,21.13,36330,0
FLG_A.US,D,20241223,000000,21.36,21.54,21.03,21.2599,24304,0
FLG_A.US,D,20241224,000000,21.5349,21.5349,21.19,21.3,9367,0
FLG_A.US,D,20241226,000000,21.06,21.45,21.05,21.25,40079,0
FLG_A.US,D,20241227,000000,21.45,21.45,21.1,21.29,74217,0
