<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DRAG.US,D,20241004,000000,25.97,25.98,25.31,25.63,1640474,0
DRAG.US,D,20241007,000000,26.32,26.43,25.5,26.43,2711367,0
DRAG.US,D,20241008,000000,24.1,24.39,23.73,24.06,860932,0
DRAG.US,D,20241009,000000,23.18,23.92,23.18,23.66,377107,0
DRAG.US,D,20241010,000000,23.82,24.1,23.42,23.91,437024,0
DRAG.US,D,20241011,000000,23.35,24.12,23.35,24.06,251240,0
DRAG.US,D,20241014,000000,23.5,23.71,23.12,23.19,410908,0
DRAG.US,D,20241015,000000,22.47,22.47,21.78,21.79,401848,0
DRAG.US,D,20241016,000000,21.97,22.3695,21.97,22.06,74947,0
DRAG.US,D,20241017,000000,21.75,21.75,21.48,21.54,150513,0
DRAG.US,D,20241018,000000,22.8,22.9099,22.44,22.5,138513,0
DRAG.US,D,20241021,000000,22.05,22.382,22.05,22.21,90014,0
DRAG.US,D,20241022,000000,22.18,22.76,22.18,22.47,55306,0
DRAG.US,D,20241023,000000,22.88,22.88,22.26,22.37,83113,0
DRAG.US,D,20241024,000000,22.23,22.24,21.995,22.1,53526,0
DRAG.US,D,20241025,000000,22.3,22.57,22.3,22.3,62942,0
DRAG.US,D,20241028,000000,22.43,22.905,22.42,22.7356,79538,0
DRAG.US,D,20241029,000000,23,23.04,22.71,22.77,34589,0
DRAG.US,D,20241030,000000,22.24,22.58,22.2,22.43,60512,0
DRAG.US,D,20241031,000000,22.43,22.43,22.06,22.36,35660,0
DRAG.US,D,20241101,000000,22.64,22.64,22.32,22.32,58507,0
DRAG.US,D,20241104,000000,22.6,22.745,22.42,22.4823,22516,0
DRAG.US,D,20241105,000000,22.98,23.06,22.8,22.83,41172,0
DRAG.US,D,20241106,000000,22,22.38,21.88,22.25,260235,0
DRAG.US,D,20241107,000000,22.9,23.4399,22.9,23.2,90930,0
DRAG.US,D,20241108,000000,22.48,22.52,21.8848,22.02,102994,0
DRAG.US,D,20241111,000000,22.2,22.23,22.0305,22.17,154298,0
DRAG.US,D,20241112,000000,21.54,21.64,21.2,21.43,109930,0
DRAG.US,D,20241113,000000,21.58,21.6042,21.261,21.3,54363,0
DRAG.US,D,20241114,000000,21.25,21.27,20.99,21.06,87056,0
DRAG.US,D,20241115,000000,21.3,21.33,21.11,21.15,53321,0
DRAG.US,D,20241118,000000,21.76,21.815,21.55,21.8,30403,0
DRAG.US,D,20241119,000000,21.42,21.65,21.4004,21.54,35395,0
DRAG.US,D,20241120,000000,21.39,21.64,21.39,21.54,27297,0
DRAG.US,D,20241121,000000,21.18,21.29,21.13,21.13,37168,0
DRAG.US,D,20241122,000000,20.75,20.86,20.68,20.771,51819,0
DRAG.US,D,20241125,000000,20.39,20.8,20.3,20.76,53845,0
DRAG.US,D,20241126,000000,20.644,20.8,20.514,20.6361,37950,0
DRAG.US,D,20241127,000000,21.24,21.33,21.14,21.2243,29504,0
DRAG.US,D,20241129,000000,21.01,21.16,20.71,21.03,25731,0
DRAG.US,D,20241202,000000,21.26,21.3248,21.1,21.28,37645,0
DRAG.US,D,20241203,000000,21.35,21.39,21.09,21.09,22179,0
DRAG.US,D,20241204,000000,21.18,21.18,20.97,21.07,29713,0
DRAG.US,D,20241205,000000,21.2866,21.2866,21.1,21.199,16791,0
DRAG.US,D,20241206,000000,21.48,21.6388,21.43,21.43,30112,0
DRAG.US,D,20241209,000000,22.95,23.7199,22.9,23.4,171251,0
DRAG.US,D,20241210,000000,22.73,22.73,22.38,22.45,30155,0
DRAG.US,D,20241211,000000,22.22,22.24,21.96,22.23,17910,0
DRAG.US,D,20241212,000000,22.14,22.45,22.14,22.31,15233,0
DRAG.US,D,20241213,000000,21.98,22,21.87,21.98,60966,0
DRAG.US,D,20241216,000000,21.52,21.8,21.44,21.51,40736,0
DRAG.US,D,20241217,000000,21.57,21.85,21.52,21.71,29831,0
DRAG.US,D,20241218,000000,21.7798,21.8686,21.33,21.36,26824,0
DRAG.US,D,20241219,000000,21.5,21.61,21.38,21.38,32271,0
DRAG.US,D,20241220,000000,21.42,21.68,21.36,21.55,41298,0
DRAG.US,D,20241223,000000,21.55,21.82,21.55,21.79,10691,0
DRAG.US,D,20241224,000000,21.8,22,21.8,21.9536,8070,0
DRAG.US,D,20241226,000000,22.07,22.12,21.98,21.98,25894,0
DRAG.US,D,20241227,000000,21.7506,21.8378,21.6701,21.75,9257,0
DRAG.US,D,20241230,000000,21.4,21.41,21.22,21.23,18609,0
DRAG.US,D,20241231,000000,21.21,21.459,21.21,21.27,18390,0
DRAG.US,D,20250102,000000,21.1009,21.29,21.04,21.04,20682,0
DRAG.US,D,20250103,000000,21.45,21.49,21.3601,21.48,11834,0
DRAG.US,D,20250106,000000,21.851,21.851,21.14,21.2327,134824,0
DRAG.US,D,20250107,000000,21.1486,21.15,20.965,21.03,114344,0
DRAG.US,D,20250108,000000,20.655,20.84,20.62,20.8205,12027,0
DRAG.US,D,20250110,000000,20.51,20.54,20.08,20.08,25894,0
DRAG.US,D,20250113,000000,20.12,20.3044,20.1,20.19,11982,0
DRAG.US,D,20250114,000000,20.85,20.86,20.73,20.8,9653,0
DRAG.US,D,20250115,000000,21.14,21.272,21.051,21.24,11340,0
DRAG.US,D,20250116,000000,21.2,21.2,21.05,21.12,8148,0
DRAG.US,D,20250117,000000,20.97,21.95,20.97,21.91,168075,0
