<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JANU.US,D,20250103,000000,25.08,25.4,25.0715,25.188,719079,0
JANU.US,D,20250106,000000,25.34,25.52,25.29,25.3058,304098,0
JANU.US,D,20250107,000000,25.2,25.25,25.06,25.0907,80179,0
JANU.US,D,20250108,000000,25.069,25.34,25.01,25.1207,105547,0
JANU.US,D,20250110,000000,24.98,25.13,24.81,24.88,232808,0
JANU.US,D,20250113,000000,24.78,24.8755,24.7001,24.8755,7626,0
JANU.US,D,20250114,000000,24.905,24.98,24.805,24.88,22891,0
JANU.US,D,20250115,000000,25.193,25.27,25.13,25.2359,16354,0
JANU.US,D,20250116,000000,25.2409,25.32,25.2,25.23,356950,0
JANU.US,D,20250117,000000,25.39,25.459,25.3799,25.3937,46246,0
JANU.US,D,20250121,000000,25.8,25.8,25.458,25.5456,19882,0
JANU.US,D,20250122,000000,25.68,25.7883,25.6684,25.6684,41379,0
JANU.US,D,20250123,000000,25.67,25.84,25.66,25.753,29958,0
JANU.US,D,20250124,000000,25.7501,25.84,25.7,25.72,99621,0
JANU.US,D,20250127,000000,25.37,25.46,25.345,25.42,124914,0
JANU.US,D,20250128,000000,25.5299,25.65,25.435,25.59,44679,0
JANU.US,D,20250129,000000,25.61,25.61,25.47,25.48,33818,0
JANU.US,D,20250130,000000,25.62,25.69,25.53,25.6123,14123,0
JANU.US,D,20250131,000000,25.74,25.76,25.512,25.5202,8225,0
JANU.US,D,20250203,000000,25.26,25.4253,25.2,25.41,17609,0
JANU.US,D,20250204,000000,25.41,25.5299,25.41,25.5065,23690,0
JANU.US,D,20250205,000000,25.5,25.5783,25.45,25.5783,1201,0
JANU.US,D,20250206,000000,25.68,25.68,25.55,25.68,17334,0
JANU.US,D,20250207,000000,25.7022,25.7099,25.45,25.48,9310,0
JANU.US,D,20250210,000000,25.6,25.62,25.56,25.58,8092,0
JANU.US,D,20250211,000000,25.55,25.6004,25.53,25.6004,11333,0
JANU.US,D,20250212,000000,25.49,25.58,25.49,25.56,20431,0
JANU.US,D,20250213,000000,25.61,25.7699,25.609,25.72,6068,0
JANU.US,D,20250214,000000,25.81,25.81,25.72,25.73,9678,0
JANU.US,D,20250218,000000,25.82,25.82,25.7101,25.76,32278,0
JANU.US,D,20250219,000000,25.78,25.87,25.77,25.87,14090,0
JANU.US,D,20250220,000000,25.83,25.83,25.67,25.7469,5328,0
JANU.US,D,20250221,000000,25.77,25.77,25.4,25.4,3775,0
JANU.US,D,20250224,000000,25.55,25.55,25.31,25.31,4442,0
JANU.US,D,20250225,000000,25.35,25.36,25.155,25.2504,12108,0
JANU.US,D,20250226,000000,25.29,25.409,25.24,25.2591,692,0
JANU.US,D,20250227,000000,25.31,25.31,25,25,4777,0
JANU.US,D,20250228,000000,24.97,25.244,24.95,25.244,22723,0
