<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLST.US,D,20250623,000000,25.07,25.1,25.05,25.05,4249,0
BLST.US,D,20250624,000000,25.05,25.17,25.03,25.092,2599062,0
BLST.US,D,20250625,000000,25.04,25.05,25.02,25.04,335569,0
BLST.US,D,20250626,000000,25.08,25.1,25.06,25.0993,100046,0
BLST.US,D,20250627,000000,25.07,25.1,25.06,25.06,75113,0
BLST.US,D,20250630,000000,25.1,25.12,25.087,25.1093,44271,0
BLST.US,D,20250701,000000,25.09,25.12,25,25.0803,34308,0
BLST.US,D,20250702,000000,25.06,25.09,25.06,25.08,48398,0
BLST.US,D,20250703,000000,25.05,25.06,25.05,25.055,7178,0
BLST.US,D,20250707,000000,25.04,25.04,25.01,25.03,26130,0
BLST.US,D,20250708,000000,25.01,25.01,25,25.0005,18288,0
BLST.US,D,20250709,000000,25.03,25.06,25.03,25.055,33123,0
BLST.US,D,20250710,000000,25.05,25.069,25.04,25.05,40068,0
BLST.US,D,20250711,000000,25.04,25.04,25.01,25.02,45600,0
BLST.US,D,20250714,000000,25.04,25.04,25.0151,25.03,22589,0
BLST.US,D,20250715,000000,24.99,24.99,24.98,24.985,22965,0
BLST.US,D,20250716,000000,25.01,25.03,24.99,25.02,38091,0
BLST.US,D,20250717,000000,25.0233,25.03,25.01,25.015,11656,0
BLST.US,D,20250718,000000,25.05,25.07,25.05,25.055,30393,0
BLST.US,D,20250721,000000,25.1,25.11,25.09,25.1,36591,0
