<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FIRI.US,D,20241121,000000,20.27,20.27,20.1901,20.1901,2440,0
FIRI.US,D,20241122,000000,20.31,20.31,20.22,20.22,2159,0
FIRI.US,D,20241125,000000,20.25,20.36,20.2076,20.2076,3972,0
FIRI.US,D,20241126,000000,20.1832,20.1832,20.15,20.15,1980,0
FIRI.US,D,20241127,000000,20.2196,20.2196,20.19,20.19,2094,0
FIRI.US,D,20241202,000000,20.32,20.33,20.13,20.2246,6006,0
FIRI.US,D,20241203,000000,20.23,20.24,20.23,20.24,1971,0
FIRI.US,D,20241204,000000,20.22,20.38,20.22,20.34,3008,0
FIRI.US,D,20241205,000000,20.38,20.38,20.26,20.26,310,0
FIRI.US,D,20241206,000000,20.4,20.4,20.29,20.29,222,0
FIRI.US,D,20241209,000000,20.42,20.42,20.19,20.255,637,0
FIRI.US,D,20241210,000000,20.36,20.36,20.12,20.22,610,0
FIRI.US,D,20241211,000000,20.2765,20.2864,20.18,20.2864,2817,0
FIRI.US,D,20241212,000000,20.2452,20.34,20.14,20.24,6689,0
FIRI.US,D,20241213,000000,20.34,20.34,20.24,20.24,374,0
FIRI.US,D,20241216,000000,20.36,20.36,20.27,20.27,217,0
FIRI.US,D,20241217,000000,20.34,20.36,20.33,20.33,1479,0
FIRI.US,D,20241218,000000,20.36,20.36,20.1356,20.1356,468,0
FIRI.US,D,20241219,000000,20.16,20.16,20.04,20.04,101,0
FIRI.US,D,20241220,000000,20.32,20.32,20.06,20.06,607,0
FIRI.US,D,20241224,000000,20.0038,20.09,20.0038,20.09,241,0
FIRI.US,D,20241226,000000,20.19,20.2,20.09,20.09,208,0
FIRI.US,D,20241227,000000,20.17,20.17,20.04,20.04,146,0
FIRI.US,D,20241231,000000,19.67,19.67,19.517,19.517,6986,0
FIRI.US,D,20250102,000000,19.7,19.7,19.49,19.5962,233,0
FIRI.US,D,20250103,000000,19.77,19.77,19.56,19.6675,379,0
FIRI.US,D,20250106,000000,19.87,19.87,19.67,19.73,205,0
FIRI.US,D,20250107,000000,19.56,19.71,19.56,19.65,363,0
FIRI.US,D,20250108,000000,19.73,19.73,19.61,19.61,106,0
FIRI.US,D,20250110,000000,19.47,19.7,19.46,19.57,3098,0
FIRI.US,D,20250115,000000,19.77,19.77,19.6701,19.6701,106,0
FIRI.US,D,20250122,000000,19.69,19.88,19.69,19.78,348,0
FIRI.US,D,20250123,000000,19.85,19.85,19.762,19.762,2002,0
FIRI.US,D,20250124,000000,19.9,19.91,19.78,19.78,2140,0
FIRI.US,D,20250127,000000,19.84,19.84,19.71,19.71,301,0
FIRI.US,D,20250128,000000,19.63,19.7354,19.51,19.7354,201,0
FIRI.US,D,20250129,000000,19.83,19.83,19.76,19.76,238,0
FIRI.US,D,20250131,000000,19.69,19.7,19.67,19.67,610,0
FIRI.US,D,20250203,000000,19.7,19.7,19.6254,19.6254,170,0
FIRI.US,D,20250205,000000,19.78,19.78,19.76,19.7614,547,0
FIRI.US,D,20250206,000000,19.78,19.78,19.67,19.67,101,0
FIRI.US,D,20250211,000000,19.81,19.81,19.7019,19.7019,205,0
FIRI.US,D,20250212,000000,19.77,19.77,19.7,19.7,104,0
FIRI.US,D,20250214,000000,19.84,19.84,19.7265,19.7265,256,0
FIRI.US,D,20250221,000000,19.89,19.89,19.73,19.73,308,0
FIRI.US,D,20250228,000000,19.51,19.51,19.4199,19.4199,194,0
FIRI.US,D,20250303,000000,19.56,19.56,19.4204,19.4204,214,0
FIRI.US,D,20250310,000000,19.36,19.36,19.2774,19.2774,257,0
FIRI.US,D,20250311,000000,19.42,19.42,19.34,19.34,111,0
FIRI.US,D,20250312,000000,19.45,19.46,19.35,19.35,389,0
FIRI.US,D,20250313,000000,19.46,19.46,19.3354,19.3354,129,0
FIRI.US,D,20250317,000000,19.58,19.58,19.54,19.54,345,0
FIRI.US,D,20250318,000000,19.54,19.54,19.43,19.43,340,0
FIRI.US,D,20250324,000000,19.51,19.5163,19.51,19.5163,9192,0
FIRI.US,D,20250325,000000,19.62,19.64,19.54,19.64,1693,0
FIRI.US,D,20250326,000000,19.56,19.56,19.4805,19.4805,182,0
FIRI.US,D,20250327,000000,19.56,19.56,19.47,19.47,108,0
FIRI.US,D,20250328,000000,19.32,19.32,19.26,19.26,308,0
FIRI.US,D,20250331,000000,19.32,19.32,19.2605,19.2605,134,0
FIRI.US,D,20250402,000000,19.24,19.3105,19.24,19.3105,214,0
FIRI.US,D,20250403,000000,19.33,19.33,19.26,19.26,240,0
FIRI.US,D,20250407,000000,19.03,19.24,18.9735,18.9735,661,0
FIRI.US,D,20250410,000000,19.16,19.3,18.9,19.04,1523,0
FIRI.US,D,20250416,000000,19.236,19.26,19.18,19.18,403,0
FIRI.US,D,20250417,000000,19.24,19.24,19.16,19.16,388,0
FIRI.US,D,20250421,000000,19.11,19.25,19.06,19.17,663,0
FIRI.US,D,20250423,000000,19.2134,19.2134,19.19,19.19,885,0
FIRI.US,D,20250424,000000,19.2475,19.3,19.22,19.22,335,0
FIRI.US,D,20250505,000000,19.06,19.06,18.88,18.98,12887,0
FIRI.US,D,20250506,000000,19.06,19.0994,18.99,19.0994,452,0
FIRI.US,D,20250507,000000,19.0216,19.04,18.72,19.028,1829,0
FIRI.US,D,20250509,000000,19.15,19.15,19.09,19.09,220,0
FIRI.US,D,20250514,000000,18.92,19,18.92,19,278,0
FIRI.US,D,20250516,000000,19.01,19.09,19.01,19.09,144,0
FIRI.US,D,20250519,000000,19.0436,19.16,19.0436,19.1004,13331,0
FIRI.US,D,20250520,000000,19.125,19.125,19.12,19.12,799,0
FIRI.US,D,20250521,000000,19.083,19.18,19.08,19.08,608,0
FIRI.US,D,20250522,000000,19.2,19.2,19.1,19.1,3011,0
FIRI.US,D,20250523,000000,19.04,19.27,19.04,19.13,4904,0
FIRI.US,D,20250527,000000,19.24,19.24,19.15,19.151,1027,0
FIRI.US,D,20250528,000000,19.14,19.14,19.13,19.13,5019,0
FIRI.US,D,20250529,000000,19,19.02,18.92,18.92,1839,0
FIRI.US,D,20250530,000000,19.01,19.02,18.94,18.94,2680,0
FIRI.US,D,20250602,000000,19.03,19.03,18.97,18.97,1334,0
FIRI.US,D,20250604,000000,19.11,19.12,19.04,19.04,516,0
FIRI.US,D,20250605,000000,18.95,19,18.95,19,552,0
FIRI.US,D,20250606,000000,18.97,18.97,18.96,18.96,8037,0
FIRI.US,D,20250611,000000,19.0801,19.16,19.08,19.08,13322,0
FIRI.US,D,20250613,000000,19.1,19.18,19.09,19.09,2056,0
FIRI.US,D,20250616,000000,19.03,19.2,19.02,19.11,1384,0
FIRI.US,D,20250617,000000,19.06,19.13,19.02,19.13,2005,0
FIRI.US,D,20250618,000000,19.13,19.22,19.13,19.1397,1187,0
FIRI.US,D,20250620,000000,19.2,19.2,19.14,19.14,343,0
FIRI.US,D,20250623,000000,19.23,19.23,19.15,19.16,696,0
FIRI.US,D,20250624,000000,19.056,19.26,19.056,19.26,3682,0
FIRI.US,D,20250625,000000,19.25,19.2591,19.215,19.215,718,0
FIRI.US,D,20250626,000000,19.28,19.28,19.2223,19.2223,290,0
FIRI.US,D,20250627,000000,19.03,19.03,19,19,180,0
FIRI.US,D,20250630,000000,19,19.0614,19,19.06,603,0
FIRI.US,D,20250702,000000,19.08,19.08,19.035,19.035,313,0
FIRI.US,D,20250707,000000,19,19.1,19,19.1,913,0
FIRI.US,D,20250709,000000,19.01,19.04,19.01,19.04,107,0
FIRI.US,D,20250710,000000,19.03,19.03,19.0198,19.0198,214,0
FIRI.US,D,20250711,000000,19.005,19.05,18.99,19.025,810,0
FIRI.US,D,20250715,000000,18.98,18.995,18.98,18.995,122,0
FIRI.US,D,20250716,000000,18.9801,19.0601,18.9801,19.0601,767,0
FIRI.US,D,20250717,000000,19,19.04,19,19.04,317,0
FIRI.US,D,20250721,000000,19.08,19.1,19.08,19.1,375,0
