<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLUI.US,D,20250623,000000,25.05,25.11,25.05,25.0599,9356,0
BLUI.US,D,20250624,000000,25.079,25.23,25.079,25.1647,1565103,0
BLUI.US,D,20250625,000000,25.1,25.1,25.0379,25.0379,340368,0
BLUI.US,D,20250626,000000,25.06,25.1094,25.06,25.1094,11290,0
BLUI.US,D,20250627,000000,25.14,25.14,25.0919,25.0919,15004,0
BLUI.US,D,20250630,000000,25.14,25.1672,25.13,25.1672,1849,0
BLUI.US,D,20250701,000000,25.15,25.18,25.15,25.16,2999,0
BLUI.US,D,20250702,000000,25.17,25.23,25.17,25.2213,6979,0
BLUI.US,D,20250703,000000,25.21,25.2194,25.21,25.2194,6652,0
BLUI.US,D,20250707,000000,25.16,25.16,25.11,25.11,479,0
BLUI.US,D,20250708,000000,25.11,25.12,25.091,25.1106,29641,0
BLUI.US,D,20250709,000000,25.14,25.18,25.14,25.1767,42861,0
BLUI.US,D,20250710,000000,25.18,25.21,25.17,25.19,60687,0
BLUI.US,D,20250711,000000,25.14,25.16,25.13,25.145,11542,0
BLUI.US,D,20250714,000000,25.13,25.16,25.13,25.1558,1039,0
BLUI.US,D,20250715,000000,25.05,25.069,25.03,25.0562,986,0
BLUI.US,D,20250716,000000,25.1,25.109,25.02,25.104,7290,0
BLUI.US,D,20250717,000000,25.105,25.1205,25.1,25.1205,4833,0
BLUI.US,D,20250718,000000,25.17,25.18,25.17,25.1785,1424,0
BLUI.US,D,20250721,000000,25.23,25.25,25.2,25.2,4861,0
