<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GXIG.US,D,20250617,000000,25.1327,25.1327,25.09,25.1327,3127,0
GXIG.US,D,20250618,000000,25.27,26.36,25.14,25.21,651066,0
GXIG.US,D,20250620,000000,25.29,25.29,25.12,25.22,282454,0
GXIG.US,D,20250623,000000,25.25,25.4,25.24,25.28,183215,0
GXIG.US,D,20250624,000000,25.28,25.4191,25.22,25.3379,114095,0
GXIG.US,D,20250625,000000,25.34,25.5,25.26,25.33,597458,0
GXIG.US,D,20250626,000000,25.33,25.53,25.27,25.372,123728,0
GXIG.US,D,20250627,000000,25.33,25.58,25.31,25.39,182674,0
GXIG.US,D,20250630,000000,25.5,25.5199,25.39,25.47,223322,0
GXIG.US,D,20250701,000000,25.5,26,25.45,25.53,324797,0
GXIG.US,D,20250702,000000,25.5,25.54,25.41,25.4898,12131,0
GXIG.US,D,20250703,000000,25.46,25.51,25.4,25.47,254758,0
GXIG.US,D,20250707,000000,25.405,25.49,25.26,25.31,489439,0
GXIG.US,D,20250708,000000,25.28,25.3,25.2,25.21,93305,0
GXIG.US,D,20250709,000000,25.3,25.4,25.26,25.3664,179167,0
GXIG.US,D,20250710,000000,25.3,25.3628,25.26,25.3628,37479,0
GXIG.US,D,20250711,000000,25.29,25.4,25.19,25.19,444440,0
GXIG.US,D,20250714,000000,25.22,25.28,25.2,25.235,257899,0
GXIG.US,D,20250715,000000,25.24,25.26,25.06,25.06,201138,0
GXIG.US,D,20250716,000000,25.15,25.27,25.14,25.24,178711,0
GXIG.US,D,20250717,000000,25.21,25.22,25.15,25.22,47678,0
GXIG.US,D,20250718,000000,25.32,25.32,25.24,25.275,325716,0
GXIG.US,D,20250721,000000,25.3735,25.4,25.35,25.35,26145,0
