<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EUAD.US,D,20241024,000000,24.9671,24.9671,24.9671,24.9671,22,0
EUAD.US,D,20241025,000000,24.87,24.87,24.8024,24.8024,553,0
EUAD.US,D,20241028,000000,24.96,25.01,24.9366,24.9366,1838,0
EUAD.US,D,20241029,000000,24.9,24.9,24.8137,24.8137,1355,0
EUAD.US,D,20241030,000000,24.9899,24.9899,24.9899,24.9899,93,0
EUAD.US,D,20241031,000000,24.68,24.6832,24.68,24.6832,164,0
EUAD.US,D,20241101,000000,24.95,24.95,24.89,24.9,1525,0
EUAD.US,D,20241104,000000,24.85,24.85,24.7356,24.7356,243,0
EUAD.US,D,20241105,000000,25,25.44,25,25.3767,445,0
EUAD.US,D,20241106,000000,25.0901,25.4568,25.0901,25.4568,534,0
EUAD.US,D,20241107,000000,25.97,26.1382,25.97,26.1382,1608,0
EUAD.US,D,20241108,000000,25.75,25.8,25.73,25.74,5260,0
EUAD.US,D,20241111,000000,26.1095,26.23,26.1095,26.1128,1290,0
EUAD.US,D,20241112,000000,25.65,25.65,25.5299,25.63,2710,0
EUAD.US,D,20241113,000000,25.25,25.25,25.1,25.23,2146,0
EUAD.US,D,20241114,000000,25.03,25.72,24.8402,24.8402,1892,0
EUAD.US,D,20241115,000000,24.78,24.78,24.6006,24.6006,712,0
EUAD.US,D,20241118,000000,24.71,24.94,24.71,24.7989,1414,0
EUAD.US,D,20241122,000000,24.9,24.9,24.785,24.7939,284,0
EUAD.US,D,20241125,000000,24.7,24.7001,24.69,24.7001,1034,0
EUAD.US,D,20241126,000000,24.69,24.75,24.5508,24.5508,1351,0
EUAD.US,D,20241129,000000,25.05,25.18,25.04,25.0899,17908,0
EUAD.US,D,20241202,000000,25.15,25.2485,25.15,25.1908,924,0
EUAD.US,D,20241203,000000,25.51,25.66,25.51,25.6188,1639,0
EUAD.US,D,20241204,000000,25.92,25.96,25.8,25.8365,1435,0
EUAD.US,D,20241205,000000,25.55,25.55,25.4676,25.4676,4176,0
EUAD.US,D,20241206,000000,25.67,25.67,25.4106,25.412,3630,0
EUAD.US,D,20241209,000000,25.19,25.19,25.0196,25.0196,337,0
