<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FIRS.US,D,20241121,000000,20.34,20.42,20.3,20.3201,3056,0
FIRS.US,D,20241122,000000,20.4,20.47,20.4,20.4,2183,0
FIRS.US,D,20241125,000000,20.37,20.37,20.3163,20.3163,2245,0
FIRS.US,D,20241126,000000,20.24,20.2554,20.24,20.2554,1996,0
FIRS.US,D,20241127,000000,20.47,20.48,20.24,20.35,3825,0
FIRS.US,D,20241202,000000,20.41,20.41,20.3956,20.3956,1958,0
FIRS.US,D,20241203,000000,20.47,20.48,20.38,20.38,3461,0
FIRS.US,D,20241204,000000,20.54,20.6,20.51,20.51,3347,0
FIRS.US,D,20241205,000000,20.62,20.62,20.464,20.464,316,0
FIRS.US,D,20241206,000000,20.62,20.62,20.52,20.52,133,0
FIRS.US,D,20241209,000000,20.62,20.62,20.42,20.42,219,0
FIRS.US,D,20241210,000000,20.33,20.39,20.32,20.39,2078,0
FIRS.US,D,20241211,000000,20.65,20.65,20.54,20.54,229,0
FIRS.US,D,20241213,000000,20.46,20.48,20.35,20.35,1429,0
FIRS.US,D,20241216,000000,20.6,20.6,20.45,20.45,134,0
FIRS.US,D,20241217,000000,20.4247,20.56,20.4,20.4682,1416,0
FIRS.US,D,20241218,000000,20.5,20.5,20.0343,20.0343,348,0
FIRS.US,D,20241219,000000,20.12,20.12,19.9701,19.9701,1094,0
FIRS.US,D,20241224,000000,19.98,20.1,19.98,20.1,224,0
FIRS.US,D,20241226,000000,20.22,20.22,20.12,20.12,697,0
FIRS.US,D,20241227,000000,20.14,20.14,20.05,20.05,107,0
FIRS.US,D,20241230,000000,19.86,19.86,19.8038,19.8038,187,0
FIRS.US,D,20241231,000000,20,20,19.82,19.82,6210,0
FIRS.US,D,20250102,000000,20.02,20.06,19.9192,19.9192,473,0
FIRS.US,D,20250103,000000,20.06,20.1,19.97,19.97,601,0
FIRS.US,D,20250106,000000,20.26,20.26,20.07,20.07,293,0
FIRS.US,D,20250107,000000,20.02,20.02,19.8983,19.8983,186,0
FIRS.US,D,20250108,000000,19.96,19.96,19.84,19.84,400,0
FIRS.US,D,20250110,000000,19.94,19.94,19.79,19.79,186,0
FIRS.US,D,20250115,000000,20.12,20.18,20.0481,20.0481,274,0
FIRS.US,D,20250116,000000,20.24,20.24,20.11,20.11,237,0
FIRS.US,D,20250121,000000,20.32,20.35,20.32,20.35,464,0
FIRS.US,D,20250122,000000,20.48,20.48,19.04,20.35,462,0
FIRS.US,D,20250123,000000,20.11,20.5,20.11,20.3308,300,0
FIRS.US,D,20250124,000000,20.38,20.46,20.36,20.36,10201,0
FIRS.US,D,20250127,000000,20.18,20.18,20.1335,20.1335,203,0
FIRS.US,D,20250128,000000,20.28,20.28,20.2035,20.2035,103,0
FIRS.US,D,20250129,000000,20.3,20.32,20.2124,20.2124,302,0
FIRS.US,D,20250130,000000,20.34,20.35,20.34,20.35,102,0
FIRS.US,D,20250131,000000,20.4785,20.4785,20.29,20.29,957,0
FIRS.US,D,20250203,000000,20.3,20.3,20.23,20.23,120,0
FIRS.US,D,20250204,000000,20.34,20.36,20.2537,20.2537,6490,0
FIRS.US,D,20250205,000000,20.42,20.42,20.3174,20.3174,553,0
FIRS.US,D,20250206,000000,20.42,20.42,20.3,20.3,202,0
FIRS.US,D,20250210,000000,20.48,20.48,20.4054,20.4054,638,0
FIRS.US,D,20250212,000000,20.32,20.38,20.29,20.29,916,0
FIRS.US,D,20250214,000000,20.5,20.5,20.3901,20.3901,786,0
