<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BDBT.US,D,20250623,000000,25.1,25.13,25.06,25.065,12774,0
BDBT.US,D,20250624,000000,25.07,25.18,25.07,25.1691,7405470,0
BDBT.US,D,20250625,000000,25.1,25.14,25.07,25.1327,920276,0
BDBT.US,D,20250626,000000,25.18,25.21,25.1301,25.2073,254266,0
BDBT.US,D,20250627,000000,25.17,25.22,25.1548,25.1548,204800,0
BDBT.US,D,20250630,000000,25.2,25.27,25.185,25.2408,92048,0
BDBT.US,D,20250701,000000,25.23,25.26,25.15,25.2162,101380,0
BDBT.US,D,20250702,000000,25.17,25.21,25.17,25.21,150193,0
BDBT.US,D,20250703,000000,25.17,25.18,25.13,25.155,34867,0
BDBT.US,D,20250707,000000,25.11,25.11,25.06,25.065,68749,0
BDBT.US,D,20250708,000000,25.04,25.05,25.02,25.0491,126297,0
BDBT.US,D,20250709,000000,25.09,25.15,25.09,25.146,246560,0
BDBT.US,D,20250710,000000,25.11,25.16,25.11,25.15,84265,0
BDBT.US,D,20250711,000000,25.06,25.08,25.03,25.0409,85735,0
BDBT.US,D,20250714,000000,25.06,25.06,25.03,25.05,82479,0
BDBT.US,D,20250715,000000,25.01,25.01,24.97,24.98,72763,0
BDBT.US,D,20250716,000000,25.03,25.04,24.97,25.015,106531,0
BDBT.US,D,20250717,000000,25.0403,25.0403,25.02,25.029,30644,0
BDBT.US,D,20250718,000000,25.07,25.09,25.06,25.075,67409,0
BDBT.US,D,20250721,000000,25.17,25.18,25.14,25.14,113205,0
