<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APOC.US,D,20241002,000000,25.15,25.19,25.1401,25.18,182339,0
APOC.US,D,20241003,000000,25.14,25.19,25.14,25.18,303449,0
APOC.US,D,20241004,000000,25.19,25.4099,25.1675,25.22,1004685,0
APOC.US,D,20241007,000000,25.19,25.26,25.15,25.19,415242,0
APOC.US,D,20241008,000000,25.19,25.22,25.1357,25.2,157220,0
APOC.US,D,20241009,000000,25.185,25.23,25.1819,25.21,33931,0
APOC.US,D,20241010,000000,25.2014,25.245,25.1922,25.23,53407,0
APOC.US,D,20241011,000000,25.27,25.28,25.23,25.2398,22671,0
APOC.US,D,20241014,000000,25.2815,25.32,25.27,25.29,8179,0
APOC.US,D,20241015,000000,25.27,25.29,25.2276,25.2357,46642,0
APOC.US,D,20241016,000000,25.2699,25.28,25.23,25.2652,23992,0
APOC.US,D,20241017,000000,25.3,25.3099,25.2328,25.2757,46230,0
APOC.US,D,20241018,000000,25.31,25.32,25.2354,25.3,58076,0
APOC.US,D,20241021,000000,25.31,25.3199,25.24,25.3,29765,0
APOC.US,D,20241022,000000,25.31,25.32,25.25,25.32,25000,0
APOC.US,D,20241023,000000,25.58,25.58,25.2319,25.28,33297,0
APOC.US,D,20241024,000000,25.26,25.39,25.2501,25.29,29166,0
APOC.US,D,20241025,000000,25.3399,25.3399,25.27,25.31,13790,0
APOC.US,D,20241028,000000,25.34,25.34,25.25,25.3,29585,0
APOC.US,D,20241029,000000,25.25,25.3299,25.25,25.297,24506,0
APOC.US,D,20241030,000000,25.29,25.3388,25.27,25.32,25009,0
APOC.US,D,20241031,000000,25.25,25.2699,25.21,25.21,41357,0
APOC.US,D,20241101,000000,25.255,25.29,25.2389,25.24,744958,0
APOC.US,D,20241104,000000,25.2485,25.26,25.19,25.2207,33153,0
APOC.US,D,20241105,000000,25.2,25.28,25.2,25.2612,189496,0
APOC.US,D,20241106,000000,25.3339,25.39,25.32,25.32,26620,0
APOC.US,D,20241107,000000,25.4,25.42,25.36,25.3857,34748,0
APOC.US,D,20241108,000000,25.41,25.44,25.39,25.4156,10400,0
APOC.US,D,20241111,000000,25.38,25.45,25.38,25.4161,3807,0
APOC.US,D,20241112,000000,25.41,25.45,25.37,25.42,70877,0
APOC.US,D,20241113,000000,25.415,25.46,25.3801,25.39,12495,0
APOC.US,D,20241114,000000,25.415,25.415,25.38,25.3946,7783,0
APOC.US,D,20241115,000000,25.33,25.37,25.3001,25.3446,16161,0
APOC.US,D,20241118,000000,25.36,25.38,25.33,25.3654,10688,0
APOC.US,D,20241119,000000,25.35,25.4,25.31,25.3775,85679,0
APOC.US,D,20241120,000000,25.38,25.4099,25.3255,25.4099,15074,0
APOC.US,D,20241121,000000,25.3924,25.42,25.36,25.405,2987,0
APOC.US,D,20241122,000000,25.4001,25.4584,25.4001,25.41,58198,0
APOC.US,D,20241125,000000,25.42,25.46,25.41,25.445,6693,0
APOC.US,D,20241126,000000,25.46,25.52,25.43,25.49,3434,0
APOC.US,D,20241127,000000,25.4645,25.49,25.42,25.465,14571,0
APOC.US,D,20241129,000000,25.51,25.52,25.49,25.49,3880,0
APOC.US,D,20241202,000000,25.4949,25.53,25.4607,25.5047,73439,0
APOC.US,D,20241203,000000,25.54,25.54,25.4801,25.5113,11406,0
APOC.US,D,20241204,000000,25.5121,25.56,25.5,25.5248,362824,0
APOC.US,D,20241205,000000,25.5,25.5599,25.49,25.5249,80645,0
APOC.US,D,20241206,000000,25.51,25.5799,25.49,25.51,11379,0
APOC.US,D,20241209,000000,25.51,25.5599,25.5,25.525,12929,0
APOC.US,D,20241210,000000,25.55,25.56,25.49,25.5152,16976,0
APOC.US,D,20241211,000000,25.531,25.57,25.517,25.5451,13705,0
APOC.US,D,20241212,000000,25.57,25.58,25.51,25.5349,31121,0
APOC.US,D,20241213,000000,25.54,25.57,25.5001,25.5446,29390,0
APOC.US,D,20241216,000000,25.58,25.59,25.5211,25.5489,15663,0
APOC.US,D,20241217,000000,25.57,25.58,25.5333,25.5451,17795,0
APOC.US,D,20241218,000000,25.53,25.59,25.4445,25.4445,4217,0
APOC.US,D,20241219,000000,25.48,25.4823,25.4101,25.4326,7273,0
APOC.US,D,20241220,000000,25.46,25.53,25.3901,25.52,30071,0
APOC.US,D,20241223,000000,25.51,25.54,25.47,25.5149,25907,0
APOC.US,D,20241224,000000,25.54,25.58,25.52,25.5602,9412,0
APOC.US,D,20241226,000000,25.59,25.82,25.523,25.6,42061,0
APOC.US,D,20241227,000000,25.6,25.6,25.5027,25.525,6032,0
APOC.US,D,20241230,000000,25.51,25.53,25.4725,25.494,3480,0
APOC.US,D,20241231,000000,25.47,25.49,25.4409,25.4651,2128,0
APOC.US,D,20250102,000000,25.5,25.52,25.4108,25.4698,38107,0
APOC.US,D,20250103,000000,25.48,25.55,25.48,25.5305,7103,0
APOC.US,D,20250106,000000,25.609,25.62,25.54,25.5634,54617,0
APOC.US,D,20250107,000000,25.5397,25.5528,25.5,25.5051,104303,0
APOC.US,D,20250108,000000,25.5321,25.5496,25.49,25.525,1461,0
APOC.US,D,20250110,000000,25.434,25.49,25.4101,25.4498,31194,0
APOC.US,D,20250113,000000,25.3957,25.44,25.38,25.43,729797,0
APOC.US,D,20250114,000000,25.46,25.47,25.42,25.4616,6798,0
APOC.US,D,20250115,000000,25.5628,25.5701,25.54,25.5701,3348,0
APOC.US,D,20250116,000000,25.54,25.5875,25.54,25.54,7244,0
APOC.US,D,20250117,000000,25.6048,25.64,25.4975,25.5948,14707,0
APOC.US,D,20250121,000000,25.66,25.664,25.63,25.664,12232,0
APOC.US,D,20250122,000000,25.6808,25.7309,25.66,25.6793,2658,0
APOC.US,D,20250123,000000,25.7081,25.7099,25.6716,25.7,11145,0
APOC.US,D,20250124,000000,25.725,25.74,25.69,25.7037,17786,0
APOC.US,D,20250127,000000,25.63,25.6457,25.6001,25.6457,195956,0
APOC.US,D,20250128,000000,25.671,25.7009,25.67,25.7009,2130,0
APOC.US,D,20250129,000000,25.67,25.6798,25.64,25.6721,11340,0
APOC.US,D,20250130,000000,25.66,25.72,25.66,25.6979,3531,0
APOC.US,D,20250131,000000,25.735,25.76,25.6814,25.6814,30580,0
APOC.US,D,20250203,000000,25.63,25.675,25.581,25.655,15196,0
APOC.US,D,20250204,000000,25.6792,25.7,25.6792,25.6939,6843,0
APOC.US,D,20250205,000000,25.68,25.7148,25.65,25.7148,5287,0
APOC.US,D,20250206,000000,25.71,25.75,25.6604,25.7445,739435,0
APOC.US,D,20250207,000000,25.77,25.77,25.6941,25.6988,469,0
APOC.US,D,20250210,000000,25.75,25.77,25.71,25.77,15237,0
APOC.US,D,20250211,000000,25.7599,25.7599,25.73,25.753,2852,0
APOC.US,D,20250212,000000,25.74,25.74,25.71,25.71,1458,0
APOC.US,D,20250213,000000,25.7653,25.7924,25.75,25.7924,14366,0
APOC.US,D,20250214,000000,25.83,25.83,25.781,25.8069,1327,0
APOC.US,D,20250218,000000,25.8,25.8163,25.66,25.79,7318,0
