<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HGRO.US,D,20250613,000000,24.96,25.02,24.77,24.7911,50639,0
HGRO.US,D,20250616,000000,25.05,25.169,24.99,25.0712,20215,0
HGRO.US,D,20250617,000000,24.99,25.08,24.89,24.935,39426,0
HGRO.US,D,20250618,000000,24.95,25.1,24.935,24.97,39968,0
HGRO.US,D,20250620,000000,25.0782,25.08,24.865,24.95,23586,0
HGRO.US,D,20250623,000000,24.92,25.1497,24.84,25.1497,28196,0
HGRO.US,D,20250624,000000,25.3436,25.525,25.3436,25.525,24639,0
HGRO.US,D,20250625,000000,25.5922,25.6394,25.51,25.5393,45003,0
HGRO.US,D,20250626,000000,25.65,25.8176,25.65,25.8172,8537,0
HGRO.US,D,20250627,000000,25.89,26.0205,25.835,25.9656,14810,0
HGRO.US,D,20250630,000000,26.06,26.18,26.02,26.1713,60155,0
HGRO.US,D,20250701,000000,26.0971,26.129,25.78,25.9157,39376,0
HGRO.US,D,20250702,000000,25.8645,26.02,25.8645,25.9905,63847,0
HGRO.US,D,20250703,000000,26.1586,26.29,26.15,26.2563,18349,0
HGRO.US,D,20250707,000000,26.25,26.31,26,26.158,78084,0
HGRO.US,D,20250708,000000,26.16,26.16,25.9604,26.0398,66865,0
HGRO.US,D,20250709,000000,26.1874,26.26,26.12,26.1645,36267,0
HGRO.US,D,20250710,000000,26.23,26.26,26.08,26.2216,82397,0
HGRO.US,D,20250711,000000,26.15,26.22,26.06,26.22,26436,0
HGRO.US,D,20250714,000000,26.1,26.26,26.07,26.231,53143,0
HGRO.US,D,20250715,000000,26.34,26.34,26.155,26.19,27834,0
HGRO.US,D,20250716,000000,26.1768,26.29,26,26.28,27201,0
HGRO.US,D,20250717,000000,26.22,26.37,26.2,26.3513,20787,0
HGRO.US,D,20250718,000000,26.41,26.5,26.33,26.378,53752,0
HGRO.US,D,20250721,000000,26.375,26.5,26.35,26.4,26230,0
