<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLGR.US,D,20250623,000000,25.21,25.2551,25.11,25.2551,12546,0
BLGR.US,D,20250624,000000,25.549,25.69,25.549,25.6531,3536152,0
BLGR.US,D,20250625,000000,25.76,25.77,25.66,25.6985,41979,0
BLGR.US,D,20250626,000000,25.7892,25.97,25.7892,25.94,128287,0
BLGR.US,D,20250627,000000,26.03,26.16,25.89,26.16,94456,0
BLGR.US,D,20250630,000000,26.16,26.2581,26.145,26.2581,28321,0
BLGR.US,D,20250701,000000,26.15,26.16,25.9,26.0162,36087,0
BLGR.US,D,20250702,000000,26.02,26.184,26.02,26.184,32015,0
BLGR.US,D,20250703,000000,26.35,26.48,26.35,26.4463,14678,0
BLGR.US,D,20250707,000000,26.32,26.33,26.22,26.27,30327,0
BLGR.US,D,20250708,000000,26.24,26.28,26.2,26.2226,9264,0
BLGR.US,D,20250709,000000,26.37,26.46,26.3699,26.45,35184,0
BLGR.US,D,20250710,000000,26.34,26.5,26.33,26.465,19669,0
BLGR.US,D,20250711,000000,26.42,26.45,26.39,26.3933,43763,0
BLGR.US,D,20250714,000000,26.41,26.5,26.41,26.4723,14749,0
BLGR.US,D,20250715,000000,26.63,26.63,26.503,26.503,43537,0
BLGR.US,D,20250716,000000,26.46,26.57,26.3,26.5601,41562,0
BLGR.US,D,20250717,000000,26.64,26.75,26.6199,26.723,17227,0
BLGR.US,D,20250718,000000,26.75,26.77,26.67,26.74,45964,0
BLGR.US,D,20250721,000000,26.83,26.91,26.81,26.81,31973,0
