<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CPNM.US,D,20250314,000000,24.25,24.2765,24.21,24.2765,12629,0
CPNM.US,D,20250317,000000,24.28,24.32,24.2373,24.2823,104309,0
CPNM.US,D,20250318,000000,24.23,24.27,24.195,24.23,9727,0
CPNM.US,D,20250319,000000,24.25,24.2707,24.25,24.2707,1058,0
CPNM.US,D,20250320,000000,24.27,24.27,24.245,24.2604,19978,0
CPNM.US,D,20250321,000000,24.225,24.3,24.225,24.3,6264,0
CPNM.US,D,20250324,000000,24.3476,24.39,24.3476,24.38,18222,0
CPNM.US,D,20250325,000000,24.3806,24.4144,24.38,24.4144,6080,0
CPNM.US,D,20250326,000000,24.35,24.35,24.325,24.325,3595,0
CPNM.US,D,20250327,000000,24.315,24.315,24.2961,24.3085,3801,0
CPNM.US,D,20250331,000000,24.18,24.2112,24.15,24.2112,2047,0
CPNM.US,D,20250401,000000,24.2299,24.25,24.19,24.245,9020,0
CPNM.US,D,20250402,000000,24.25,24.292,24.23,24.2784,2578,0
CPNM.US,D,20250403,000000,24.16,24.1826,24.1101,24.13,24791,0
CPNM.US,D,20250404,000000,24.07,24.07,23.9727,23.9727,72663,0
CPNM.US,D,20250407,000000,23.9009,24.1496,23.8268,24.1496,14859,0
CPNM.US,D,20250408,000000,24.04,24.15,23.9728,23.9728,22987,0
CPNM.US,D,20250409,000000,23.9,24.24,23.88,24.2281,82373,0
CPNM.US,D,20250410,000000,24.128,24.2,24.08,24.1537,13122,0
CPNM.US,D,20250411,000000,24.159,24.2252,24.145,24.2252,9351,0
CPNM.US,D,20250414,000000,24.195,24.25,24.16,24.2053,48752,0
CPNM.US,D,20250415,000000,24.22,24.28,24.195,24.195,1152,0
CPNM.US,D,20250416,000000,24.1,24.1024,24.1,24.1024,200,0
CPNM.US,D,20250417,000000,24.15,24.15,24.08,24.1111,3889,0
CPNM.US,D,20250421,000000,24.08,24.08,24,24.025,3488,0
CPNM.US,D,20250422,000000,24.09,24.11,24.09,24.105,3361,0
CPNM.US,D,20250423,000000,24.3,24.3,24.17,24.18,10591,0
CPNM.US,D,20250424,000000,24.24,24.28,24.21,24.2713,12685,0
CPNM.US,D,20250425,000000,24.28,24.32,24.28,24.315,4804,0
CPNM.US,D,20250428,000000,24.31,24.335,24.26,24.335,9572,0
CPNM.US,D,20250429,000000,24.34,24.37,24.34,24.3658,10575,0
CPNM.US,D,20250430,000000,24.309,24.383,24.28,24.383,15989,0
CPNM.US,D,20250501,000000,24.4218,24.47,24.39,24.4347,10897,0
CPNM.US,D,20250502,000000,24.47,24.4981,24.45,24.4754,9699,0
CPNM.US,D,20250505,000000,24.45,24.48,24.43,24.4399,4361,0
CPNM.US,D,20250506,000000,24.3984,24.44,24.3984,24.436,1830,0
CPNM.US,D,20250507,000000,24.4286,24.4286,24.4242,24.4242,1653,0
CPNM.US,D,20250508,000000,24.457,24.49,24.457,24.4613,1109,0
CPNM.US,D,20250509,000000,24.4562,24.4562,24.4558,24.4558,1004,0
CPNM.US,D,20250512,000000,24.5709,24.6,24.56,24.591,21104,0
CPNM.US,D,20250513,000000,24.64,24.69,24.6,24.6516,36463,0
CPNM.US,D,20250514,000000,24.6625,24.69,24.66,24.67,6123,0
CPNM.US,D,20250515,000000,24.675,24.684,24.675,24.684,219,0
CPNM.US,D,20250516,000000,24.6928,24.72,24.66,24.7143,3539,0
CPNM.US,D,20250519,000000,24.74,24.74,24.7343,24.7343,131,0
CPNM.US,D,20250520,000000,24.719,24.719,24.68,24.7105,721,0
CPNM.US,D,20250521,000000,24.69,24.72,24.6584,24.6662,2250,0
CPNM.US,D,20250522,000000,24.72,24.72,24.66,24.6842,1217,0
CPNM.US,D,20250523,000000,24.68,24.7,24.623,24.6769,1766,0
CPNM.US,D,20250527,000000,24.75,24.75,24.7,24.7419,1381,0
CPNM.US,D,20250528,000000,24.733,24.76,24.7197,24.7197,20792,0
CPNM.US,D,20250529,000000,24.745,24.745,24.7289,24.7289,295,0
CPNM.US,D,20250530,000000,24.69,24.747,24.69,24.7435,19388,0
CPNM.US,D,20250602,000000,24.75,24.77,24.75,24.77,5269,0
CPNM.US,D,20250603,000000,24.81,24.81,24.78,24.805,3982,0
CPNM.US,D,20250605,000000,24.83,24.83,24.795,24.795,874,0
CPNM.US,D,20250606,000000,24.8105,24.8349,24.8105,24.8349,904,0
CPNM.US,D,20250609,000000,24.83,24.84,24.83,24.8322,1232,0
CPNM.US,D,20250610,000000,24.84,24.89,24.84,24.865,3389,0
CPNM.US,D,20250611,000000,24.87,24.87,24.84,24.8649,600,0
CPNM.US,D,20250612,000000,24.87,24.88,24.87,24.8773,233,0
CPNM.US,D,20250613,000000,24.84,24.86,24.82,24.8447,2637,0
CPNM.US,D,20250616,000000,24.8991,24.9044,24.88,24.9044,847,0
CPNM.US,D,20250617,000000,24.87,24.87,24.8699,24.8699,177,0
CPNM.US,D,20250618,000000,24.88,24.91,24.8628,24.8628,310,0
CPNM.US,D,20250620,000000,24.88,24.88,24.8565,24.8565,104,0
CPNM.US,D,20250623,000000,24.89,24.9199,24.89,24.9199,101,0
CPNM.US,D,20250624,000000,24.96,24.969,24.96,24.969,1469,0
CPNM.US,D,20250625,000000,24.98,24.9949,24.97,24.9949,642,0
CPNM.US,D,20250626,000000,25.01,25.0336,25.01,25.0336,5004,0
CPNM.US,D,20250627,000000,25.04,25.0545,25.04,25.0545,413,0
CPNM.US,D,20250701,000000,25.0561,25.08,25.04,25.0547,3828,0
CPNM.US,D,20250702,000000,25.06,25.0845,25.06,25.0845,216,0
CPNM.US,D,20250703,000000,25.09,25.11,25.09,25.11,102,0
CPNM.US,D,20250707,000000,25.08,25.0848,25.08,25.0848,108,0
CPNM.US,D,20250708,000000,25.095,25.095,25.0946,25.0946,125,0
CPNM.US,D,20250709,000000,25.13,25.13,25.09,25.1189,739,0
CPNM.US,D,20250710,000000,25.1124,25.13,25.09,25.1248,2212,0
CPNM.US,D,20250711,000000,25.1,25.1312,25.1,25.1295,2172,0
CPNM.US,D,20250714,000000,25.1,25.1398,25.1,25.1398,106,0
CPNM.US,D,20250715,000000,25.121,25.1259,25.12,25.1259,1084,0
CPNM.US,D,20250718,000000,25.189,25.189,25.1846,25.1846,103,0
CPNM.US,D,20250721,000000,25.2,25.2,25.2,25.2,192,0
