<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNDS.US,D,20250121,000000,50.5009,50.63,50.5009,50.63,5095,0
BNDS.US,D,20250122,000000,50.64,50.66,50.62,50.62,2452,0
BNDS.US,D,20250123,000000,50.69,50.7,50.62,50.66,15086,0
BNDS.US,D,20250124,000000,50.675,50.71,50.66,50.6805,2174,0
BNDS.US,D,20250127,000000,50.66,50.785,50.65,50.785,4804,0
BNDS.US,D,20250128,000000,50.7563,50.77,50.7075,50.77,2321,0
BNDS.US,D,20250129,000000,50.795,50.8,50.78,50.795,3958,0
BNDS.US,D,20250130,000000,50.45,50.5,50.445,50.5,5112,0
BNDS.US,D,20250131,000000,50.48,50.48,50.405,50.405,2407,0
BNDS.US,D,20250203,000000,50.29,50.34,50.2805,50.3282,3617,0
BNDS.US,D,20250204,000000,50.3134,50.3816,50.3134,50.38,2616,0
BNDS.US,D,20250205,000000,50.355,50.5,50.355,50.5,6796,0
BNDS.US,D,20250206,000000,50.5,50.535,50.46,50.46,5347,0
BNDS.US,D,20250207,000000,50.35,50.41,50.35,50.365,1489,0
BNDS.US,D,20250210,000000,50.43,50.46,50.41,50.46,1175,0
BNDS.US,D,20250211,000000,50.395,50.4168,50.395,50.4168,1353,0
BNDS.US,D,20250212,000000,50.26,50.35,50.2,50.35,3239,0
BNDS.US,D,20250213,000000,50.46,50.59,50.41,50.5687,9841,0
BNDS.US,D,20250214,000000,50.658,50.6799,50.6371,50.6371,4452,0
BNDS.US,D,20250218,000000,50.66,50.79,50.575,50.5772,21061,0
BNDS.US,D,20250219,000000,50.57,50.63,50.5,50.56,7963,0
BNDS.US,D,20250220,000000,50.52,50.57,50.4742,50.57,12185,0
BNDS.US,D,20250221,000000,50.65,50.68,50.5846,50.5846,4335,0
BNDS.US,D,20250224,000000,50.65,50.67,50.615,50.64,4343,0
BNDS.US,D,20250225,000000,50.69,50.71,50.65,50.7004,6708,0
BNDS.US,D,20250226,000000,50.75,50.8,50.7,50.7597,22751,0
BNDS.US,D,20250227,000000,50.57,50.67,50.4,50.4,26738,0
BNDS.US,D,20250228,000000,50.44,50.72,50.36,50.53,44608,0
BNDS.US,D,20250303,000000,50.5001,50.51,50.41,50.4378,33072,0
BNDS.US,D,20250304,000000,50.41,50.41,50.15,50.2613,104551,0
BNDS.US,D,20250305,000000,50.28,50.39,50.17,50.255,22984,0
BNDS.US,D,20250306,000000,50.24,50.24,50.05,50.0679,21750,0
