<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRCL.US,D,20250605,000000,69.5,103.75,64,83.23,47784339,0
CRCL.US,D,20250606,000000,96.39,123.515,92.95,107.7,60706262,0
CRCL.US,D,20250609,000000,132.72,138.57,108.4,115.25,45521142,0
CRCL.US,D,20250610,000000,115,115,101.51,105.91,25517793,0
CRCL.US,D,20250611,000000,107,120.49,106.5,117.2,26481377,0
CRCL.US,D,20250612,000000,117.5,117.9309,104.26,106.54,13416512,0
CRCL.US,D,20250613,000000,108.8,134.72,108.8,133.56,34013580,0
CRCL.US,D,20250616,000000,147.54,165.6,145.88,151.06,43781546,0
CRCL.US,D,20250617,000000,156.5,164.42,143.53,149.15,31234204,0
CRCL.US,D,20250618,000000,153.22,200.9,148,199.59,63566766,0
CRCL.US,D,20250620,000000,231.5,248.88,206.17,240.28,92427231,0
CRCL.US,D,20250623,000000,238.46,298.99,232.48,263.45,99128739,0
CRCL.US,D,20250624,000000,250.375,265,217.579,222.65,68222564,0
CRCL.US,D,20250625,000000,218.545,227.54,198,198.62,49283191,0
CRCL.US,D,20250626,000000,209.04,226.95,205.68,213.63,45550341,0
CRCL.US,D,20250627,000000,223.6469,223.6469,175.6,180.43,48112124,0
CRCL.US,D,20250630,000000,181.77,192.5,178,181.29,34461533,0
CRCL.US,D,20250701,000000,184.67,194,171.5,192.53,31252118,0
CRCL.US,D,20250702,000000,188.38,189,176,177.97,18546015,0
CRCL.US,D,20250703,000000,182,192.5,181.3901,188.77,17191952,0
CRCL.US,D,20250707,000000,193.75,208.6,186.6,207.46,31640759,0
CRCL.US,D,20250708,000000,199.765,209.5,196,204.81,22225548,0
CRCL.US,D,20250709,000000,209.36,215.6,197.25,200.68,17934427,0
CRCL.US,D,20250710,000000,208.846,209.57,199,202.9,12340104,0
CRCL.US,D,20250711,000000,203.71,206.8,182.5,187.33,18227353,0
CRCL.US,D,20250714,000000,189.27,204.91,185.54,204.7,15445172,0
CRCL.US,D,20250715,000000,198,203.4598,188.1,195.33,14758547,0
CRCL.US,D,20250716,000000,203.525,239.6984,201.32,233.2,44001740,0
CRCL.US,D,20250717,000000,225.585,244.36,220.01,235.08,29222485,0
CRCL.US,D,20250718,000000,244.9,262.97,222.49,223.78,42877368,0
CRCL.US,D,20250721,000000,226.4,231.88,213.33,216.1,18853551,0
